/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月12日 23時28分 ～ 2024年11月14日 22時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19H> 対戦ありがとうございます…時間を決めたら始めてください   (2024/11/12 23:28:56)

常闇トワ ◆> 今日はトワ罰ゲームするの辞めてあげるよw   (2024/11/12 23:29:13)

常闇トワ ◆> リノに譲るよ〜   (2024/11/12 23:29:28)

リノ> えっ   (2024/11/12 23:29:36)

エロガキ♂19H> していただいて大丈夫ですよ？   (2024/11/12 23:30:03)

リノ> 負けたらえっちなことされたんですけど、勝ったらどうすれば？   (2024/11/12 23:30:06)

常闇トワ ◆> お仕置きしてあげればいいんだよ   (2024/11/12 23:30:25)

リノ> えっとえっと   (2024/11/12 23:31:19)

リノ> 時間きめるんでしたっけ   (2024/11/12 23:31:30)

エロガキ♂19H> そうですね   (2024/11/12 23:31:37)

常闇トワ ◆> そうそう   (2024/11/12 23:31:38)

リノ> 10d3 → (3 + 1 + 1 + 3 + 1 + 1 + 2 + 1 + 2 + 1) = 16  (2024/11/12 23:32:21)

エロガキ♂19H> 短めですね、お願いします   (2024/11/12 23:33:03)

リノ> 48分まで？   (2024/11/12 23:33:10)

エロガキ♂19H> そうですね   (2024/11/12 23:33:23)

常闇トワ ◆> 頑張ってリノちゃん   (2024/11/12 23:33:25)

リノ> お仕置き、えっと   (2024/11/12 23:33:27)

リノ> とりあえず正座かな？   (2024/11/12 23:33:37)

エロガキ♂19H> わかりました…(正座して)   (2024/11/12 23:33:52)

リノ> トワさんと19Hさんの借りの話を聞きたいです   (2024/11/12 23:34:49)

リノ> （はずかしい話も罰のうちでいいですか？）   (2024/11/12 23:35:20)

常闇トワ ◆> 何したっけな〜   (2024/11/12 23:36:21)

エロガキ♂19H> そうですね…(いいと思いますよ) 前回負けた際にショタ好きのトワ様に椅子として使われてました ショタの方がいいって言われながら   (2024/11/12 23:36:42)

常闇トワ ◆> そうだっけ？あはは〜   (2024/11/12 23:37:53)

リノ> じゃあ今日は、トワさんと二人掛けします   (2024/11/12 23:38:03)

リノ> （そのかわり正座は解除で）   (2024/11/12 23:38:21)

エロガキ♂19H> ちなみに全裸でした…   (2024/11/12 23:38:45)

リノ> それはやめておきます！   (2024/11/12 23:39:13)

常闇トワ ◆> とりあえず全裸にしたんだっけ？ww   (2024/11/12 23:39:14)

エロガキ♂19H> お尻や竿を叩かれたり…   (2024/11/12 23:39:19)

リノ> （あわあわあわ）   (2024/11/12 23:39:30)

常闇トワ ◆> 馬みたいに思いっきり叩いてあげてごらんw   (2024/11/12 23:40:00)

エロガキ♂19H> それではどうぞ…(四つん這いになって)   (2024/11/12 23:40:03)

エロガキ♂19H> 脱がなくて大丈夫ですか？   (2024/11/12 23:40:24)

リノ> ご、ごめんなさい（ばちーん！）   (2024/11/12 23:40:33)

常闇トワ ◆> あはは〜やる〜   (2024/11/12 23:40:53)

リノ> 5d10 → (6 + 1 + 6 + 5 + 8) = 26  (2024/11/12 23:40:54)

エロガキ♂19H> んっ…(ピクッと反応するが揺れないように)   (2024/11/12 23:41:14)

リノ> （普通のダメージでした）   (2024/11/12 23:41:30)

エロガキ♂19H> (ダメージ計算だったんですね)   (2024/11/12 23:42:01)

常闇トワ ◆> いい感じだね〜w   (2024/11/12 23:43:07)

リノ> 男の子に負けたときも裸にはされなかったです（おろおろ）   (2024/11/12 23:43:17)

リノ> でも胸は見られました   (2024/11/12 23:43:35)

エロガキ♂19H> トワ様は悪魔だから…   (2024/11/12 23:43:39)

常闇トワ ◆> トワは負けるとよく裸にされるよ   (2024/11/12 23:44:17)

リノ> でも頼りになります！（一人だと何していいか）   (2024/11/12 23:44:42)

エロガキ♂19H> 揺れとか大丈夫ですか？   (2024/11/12 23:45:05)

リノ> 大丈夫です！（おうまさんぱかぱか）   (2024/11/12 23:45:32)

エロガキ♂19H> よかったです…トワ様は？   (2024/11/12 23:46:02)

常闇トワ ◆> おうまさん頑張って   (2024/11/12 23:46:05)

常闇トワ ◆> トワは普通かな〜   (2024/11/12 23:46:21)

エロガキ♂19H> ひひーん(揺れないようにゆっくり動く)   (2024/11/12 23:46:26)

リノ> そろそろ降りますね   (2024/11/12 23:47:17)

エロガキ♂19H> わかりました…(止まって)   (2024/11/12 23:47:44)

常闇トワ ◆> じゃあトワもおりよ〜   (2024/11/12 23:48:00)

リノ> ごほうびはニンジンでいいですか？（微妙に悪ノリ）   (2024/11/12 23:48:02)

リノ> ちょうど時間ですね   (2024/11/12 23:48:21)

エロガキ♂19H> ひひん！(悪ノリに付き合って)   (2024/11/12 23:48:24)

常闇トワ ◆> じゃあ終わりだ」   (2024/11/12 23:48:47)

リノ> ありがとうございました   (2024/11/12 23:49:04)

常闇トワ ◆> お疲れ様〜   (2024/11/12 23:49:13)

エロガキ♂19H> ありがとうございました   (2024/11/12 23:49:26)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/11/12 23:49:48)

おしらせ> リノさんが退室しました。  (2024/11/12 23:49:57)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/12 23:50:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/13 00:23:01)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/13 00:23:35)

クラリス ◆> （引きずられて入場）   (2024/11/13 00:23:53)

エロガキ♂19b ◆> やーっと！！クラリスちゃんとエッチできる～(ベットにトン)   (2024/11/13 00:24:14)

エロガキ♂19b ◆> 10d3+10 → (1 + 2 + 3 + 2 + 2 + 1 + 3 + 3 + 3 + 3) + 10 = 33  (2024/11/13 00:24:37)

クラリス ◆> はうっ（ベッドにころんと転がされ）   (2024/11/13 00:24:46)

エロガキ♂19b ◆> 57分まで！！よし！！とりあいず...脱いじゃってください！！(ビシィ！！)   (2024/11/13 00:25:19)

クラリス ◆> ううっ…やっぱり19bさんは、けだものです…！（涙目になりながら、ゆっくり一枚ずつ、服と、下着と…時間をかけて丸裸に）   (2024/11/13 00:26:40)

エロガキ♂19b ◆> 今日は一回もしてないから特にけだものモードだよー！！(クラリスに近づいて両胸を揉み人差し指で乳首を軽く撫でて♡♡)どうしてあげようかな～♡   (2024/11/13 00:28:05)

