/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月27日 01時48分 ～ 2024年12月01日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂?17A> いいよ、十分エロかったからさ   (2024/11/27 01:48:27)

エロガキ♂?17A> じゃ、またね   (2024/11/27 01:48:41)

おしらせ> エロガキ♂?17Aさんが退室しました。  (2024/11/27 01:48:44)

エロガキ♂19b ◆> ふふっ、今度は俺とも遊ぼうね～...今回は眺めるだけだったからさ！   (2024/11/27 01:48:52)

黒子ちゃん> 19さんは私と遊びたいですか？   (2024/11/27 01:50:58)

エロガキ♂19b ◆> 遊べるならね～、俺は女の子とはいつまでも遊んでたい人だからさ！！もしかして遊んでくれるのかなぁ？   (2024/11/27 01:51:50)

黒子ちゃん> ちょっと雑談多めになるかもしれませんが移動しませんか？   (2024/11/27 01:53:00)

エロガキ♂19b ◆> いいよ～...個室でいいかな？   (2024/11/27 01:53:20)

黒子ちゃん> そうですね   (2024/11/27 01:54:24)

エロガキ♂19b ◆> 了解～...お部屋作っておいたよ！   (2024/11/27 01:54:53)

おしらせ> 黒子ちゃんさんが退室しました。  (2024/11/27 01:55:38)

エロガキ♂19b ◆> お部屋ありがとうございました～！   (2024/11/27 01:56:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/27 01:56:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/27 18:13:12)

おしらせ> 波多乃神奈さんが入室しました♪  (2024/11/27 18:13:27)

波多乃神奈> 19bさん個人に連続勝ちですね。どうなっているんですかね？（首傾げ）   (2024/11/27 18:14:44)

エロガキ♂19b ◆> 俺が聞きたい...なんだか弱すぎるんだよなぁ、、んま...負けた以上は言うことを聞きましょう！   (2024/11/27 18:15:31)

波多乃神奈> 私も今日は29以上しか出なかったような…。えーと、もしあれなら移動しませんか？   (2024/11/27 18:16:48)

エロガキ♂19b ◆> んー、、いいけど罰はここでやんなくていいの？   (2024/11/27 18:17:47)

波多乃神奈> 今日は……19bさんが見られて困るお願いをして、親密度を上げようと思います。（怖）   (2024/11/27 18:18:28)

エロガキ♂19b ◆> それって新密度上がるかな！？超不安なんですけど！   (2024/11/27 18:19:05)

波多乃神奈> えーと、何回も対戦しているので、個人的にもう少し仲良くなりたい……でも罰ゲームをしないと19bさんが殺されてしまう…   (2024/11/27 18:19:50)

エロガキ♂19b ◆> 殺されないよ！？もしそうだとしたら俺は既にここにはいないし！で？移動するの～？   (2024/11/27 18:20:34)

波多乃神奈> 毎回罰ゲームをちゃんとこなしているから助かっているのです……（あらぬ誤解を生む言葉）はい、移動しましょう。19bさんが恥ずかしい所を見せたい方ならここでも構いませんよ。   (2024/11/27 18:22:01)

エロガキ♂19b ◆> それは勘弁して欲しい...お部屋はたてておいたよ！   (2024/11/27 18:22:43)

波多乃神奈> 入りました。ではこちらは出ます。お部屋有難うございました。   (2024/11/27 18:23:36)

おしらせ> 波多乃神奈さんが退室しました。  (2024/11/27 18:23:51)

エロガキ♂19b ◆> 確認しました～...こっちは抜けますねー！なにされるか不安すぎる！！   (2024/11/27 18:23:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/27 18:23:56)

おしらせ> エロガキ♂15AM ◆za77rifW.Yさんが入室しました♪  (2024/11/28 00:20:33)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/28 00:20:40)

エロガキ♂15AM ◆> いらっしゃ〜い♪   (2024/11/28 00:21:29)

クラリス ◆> （実はわたしも結構久しぶりです）   (2024/11/28 00:21:46)

クラリス ◆> さあ、なんなりと！！   (2024/11/28 00:22:13)

エロガキ♂15AM ◆> 心の準備ができたら、サイコロ振っちゃってね（わぁ、お互いリハビリ中だ）   (2024/11/28 00:22:17)

クラリス ◆> 10d3+10 → (1 + 2 + 2 + 3 + 3 + 2 + 3 + 3 + 1 + 1) + 10 = 31  (2024/11/28 00:22:32)

クラリス ◆> ほぼ平均、53分まで！   (2024/11/28 00:22:57)

エロガキ♂15AM ◆> はーい、それまでヨロシク〜   (2024/11/28 00:23:12)

エロガキ♂15AM ◆> 実は罰をあまり考えてなかったんだよねぇ……質問コーナーいってみよっか！答えたくなかったら黙秘、拒否もアリな感じでー   (2024/11/28 00:24:39)

クラリス ◆> どうぞ！   (2024/11/28 00:24:55)

クラリス ◆> （あ、キャラクターとプレイヤー、どちら基準ですか？）   (2024/11/28 00:25:26)

エロガキ♂15AM ◆> いつぶりにお部屋に来たの？(んー、プレイヤーの方でいいかな？)   (2024/11/28 00:25:45)

クラリス ◆> 1週間ぶりくらい？ で、その時は勝ち組だったので、負けての罰は半月ぐらいぶりかも！   (2024/11/28 00:26:57)

エロガキ♂15AM ◆> あっ、案外期間は空いてなかったんだねぇ。負けるのも久々なのかぁ……それじゃあ、今まで負けて受けた罰の中で、印象的なものってあったりする？具体的に答えてくれてもいいんだよ？   (2024/11/28 00:28:53)

クラリス ◆> 一緒に負けたはずの女子に裏切られて、まわされました！（名前は伏せます）   (2024/11/28 00:29:57)

クラリス ◆> 乱交好きの称号がついたのは大体あのせいですね！！   (2024/11/28 00:30:37)

エロガキ♂15AM ◆> あ、ボクそれ見かけたことあるかも〜。お姉さん、そういうのノリノリだよねぇ♡乱交の他に、好きなプレイや癖ってあるかにゃ？   (2024/11/28 00:31:44)

クラリス ◆> 愛撫はゆるく！ 挿入ははげしく！！   (2024/11/28 00:33:28)

エロガキ♂15AM ◆> ん、スケベだね♪特に愛撫してほしいところはドコ？   (2024/11/28 00:34:56)

クラリス ◆> 本当は全身まんべんなくと言いたいですが30分では到底足りないので、愛情こめていただいてるのが感じられれば何処でも！   (2024/11/28 00:36:26)

クラリス ◆> （どこをどう触っても感じてくれるし受け身プレイの優しさが凄いって言われた事ありますけど、要するにこういう事なんです）   (2024/11/28 00:38:31)

エロガキ♂15AM ◆> なるほどにゃあ、結構時間かけてほしいタイプか。愛撫でトロトロぉ…ってなったあとに、容赦なくおちんぽでド突かれたいと♪可愛い！♡   (2024/11/28 00:39:03)

エロガキ♂15AM ◆> (大好評みたいだね♪)   (2024/11/28 00:39:41)

エロガキ♂15AM ◆> それじゃ、好みのおちんぽはズバリ？   (2024/11/28 00:40:05)

クラリス ◆> 程々の大きさでお願いします！ ビッグサイズはやっぱり（仮想といえども）痛いです！   (2024/11/28 00:41:17)

クラリス ◆> （個人的には何センチとか具体的な数字は伏せていただいたほうが有り難いですけども、大きい場合はなんとかします！）   (2024/11/28 00:42:37)

エロガキ♂15AM ◆> あるあるだね〜。なんでも大っきければいいってもんじゃないしね♪じゃあ、今後してみたいプレイとか受けてみたい罰ってある？   (2024/11/28 00:44:14)

エロガキ♂15AM ◆> (とくに思いつかなかったらパスでいいから！)   (2024/11/28 00:47:52)

クラリス ◆> アフター部屋が出来てから「後続組が追いついて乱交発生」をまだやってないので、まずはそれですね！ 罰はすぐに思いつかないかな（痛い汚いは人並みにNGです）   (2024/11/28 00:48:03)

クラリス ◆> お言葉に甘えて罰はパスで！   (2024/11/28 00:48:42)

エロガキ♂15AM ◆> あ〜、確かにまだアフター部屋で見たことない光景かも！そのためにも、今後もお部屋を盛り上げていかないとだね♫   (2024/11/28 00:50:13)

