/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月04日 23時36分 ～ 2025年03月09日 21時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> ぱーんーつ！　ぱーんーつ！（コール）   (3/4 23:36:43)

エロガキ♂19b ◆> パンツへの執念が！？   (3/4 23:37:16)

レミリア＝S> とっ・・・とっておきよ///（スカート脱ぎ捨て、、どろわ脱ぎ捨て。黒のT晒す   (3/4 23:37:51)

エロガキ♂13Al> おー……食い込みそう……（しゃがんでじーっと見ている。ごくり……）   (3/4 23:38:43)

エロガキ♂19b ◆> あ...始める前に時間振っとくね～   (3/4 23:39:06)

十六夜咲夜 ◆> (見えるくらいにめくって…黒の下着があらわに)   (3/4 23:39:11)

エロガキ♂19b ◆> 10d3+10 → (2 + 3 + 3 + 2 + 2 + 2 + 2 + 2 + 2 + 2) + 10 = 32  (3/4 23:39:15)

十六夜咲夜 ◆> お嬢様、煽りすぎですわよ…   (3/4 23:39:40)

エロガキ♂19b ◆> 2人とも黒ねぇ...実は咲夜ちゃんが合わせてたり？   (3/4 23:39:46)

十六夜咲夜 ◆> おっぱいにパンツに…ほんとみんな好きねぇ…   (3/4 23:40:23)

レミリア＝S> そ・・そうかしら？///（あたふた   (3/4 23:40:35)

十六夜咲夜 ◆> いえ、合わせてはいませんわよ？見ようと思えば見て合わせられますけど…(ただの悪用)   (3/4 23:41:04)

レミリア＝S> んま～そうね。・・・ところで・・・制限時間って必要なの？（子首かしげ   (3/4 23:41:30)

エロガキ♂13Al> コーディネートしているのか……それとも黒がたしなみなのかっ。……さっきのお返し。（レミリアのめくったスカートの中、ショーツの細い箇所を指先でつんつんっ）   (3/4 23:41:55)

エロガキ♂19b ◆> 好きじゃない人はいないと思うぞ！(咲夜ちゃんのおっぱいを揉み)うわぁ...それ時間停止の使い方がエッチじゃない～？   (3/4 23:42:03)

レミリア＝S> 黒下着は「大人のレディ」とか・・・図書館の本で書いてあったような。（ぽかん   (3/4 23:42:59)

エロガキ♂19b ◆> 一応ルールだからね！過ぎたあとにもっとしたいならアフター部屋もあるし、個室で続きってパターンも、あくまでこの部屋を使うリミットだと思ってくれれば？   (3/4 23:43:08)

十六夜咲夜 ◆> ひゃっ！？そ、そういう悪用はしてないですわよっ！？(真偽は定かではない…二次創作的展開)   (3/4 23:43:55)

レミリア＝S> なるほど・・・。あ、咲夜「メイド服」用意して。（ちらみ、にやにや   (3/4 23:44:11)

エロガキ♂13Al> 負けた側のナカに上下関係があるのもなかなか複雑な……。メイド服で何するんだろう？するる……と後ろに回りこんでお尻を見たりもしている。エロガキなので）   (3/4 23:44:56)

十六夜咲夜 ◆> ？？はい、わかりました。(次の瞬間、メイド服を)   (3/4 23:44:58)

レミリア＝S> そして・・・つんつんするくらいなら・・・ひと思いにガッツりさわんなさいよ///（１３の手首掴んでむにゅっと手のひらを自ら割れ目をかぶせるように触らせ   (3/4 23:46:10)

十六夜咲夜 ◆> お、お嬢様っ！？！？   (3/4 23:46:33)

レミリア＝S> よっ（眼鏡のメイドさんに変身   (3/4 23:46:48)

エロガキ♂19b ◆> 悪用してないって言う人ほどやりそうだけどね～...(咲夜ちゃんの乳首をコリコリと弄って♡)レミリアちゃんなんだかんだ乗り気だ！？   (3/4 23:47:32)

エロガキ♂13Al> こういうのには手順というものがっ！（って言いつつも、本人からの許可が出たのなら下着の中にも指をするっと潜り込ませて……割れ目を直になぞり、クリトリスを探ってすり、すり♥）……って言いながら着替えるなんて器用な……。   (3/4
23:47:51)

レミリア＝S> 命名「私が主で主がメイドで」♪   (3/4 23:48:33)

十六夜咲夜 ◆> ひゃっ、乳首ばっかり器用に…(13君に黒いパンツ見せつけたまま…後ろから乳首くりくりされて)   (3/4 23:49:17)

レミリア＝S> 歯や着替えはそこそこ得意よ・・・お坊ちゃま♪（黒笑み   (3/4 23:49:17)

レミリア＝S> 咲夜、時間いっぱいまで二人でメイドするわよ♡（びくびく震えつつ   (3/4 23:50:01)

十六夜咲夜 ◆> (あ、ロスワのメイドお嬢様ですわね…なるほど)   (3/4 23:50:23)

エロガキ♂13Al> マイペースだなー……でも、さすがにここに牙生えてたりはしなくてよかった。（ほっとしながらも、自分でたくし上げさせたところをゆっくり擦って、徐々に反応しはじめたら指がつぷ……♥　とナカに入り込み。甘くかき回していく）   (3/4
23:50:40)

十六夜咲夜 ◆> んっ…お嬢様、かしこまりましたぁ…///   (3/4 23:50:47)

エロガキ♂19b ◆> 咲夜ちゃんとは沢山遊んでるからね～...乳首を弄るぐらいなら朝飯前かも？(レミリアちゃん達の様子を見ながら乳首を弄り続けて♡)   (3/4 23:50:54)

十六夜咲夜 ◆> 言い方…っまあ一時期連敗してましたから否定はできないですけど…っ   (3/4 23:51:49)

レミリア＝S> へぇ～昨夜もしていると・・）   (3/4 23:52:04)

エロガキ♂19b ◆> ねー、大連敗だったよね～。俺としてはありがたかったけど！(片手で乳首を弄りながらもう片方のてで黒い下着を優しく触って♡)   (3/4 23:53:19)

レミリア＝S> っ・・・////（びくっ・・・思わず足を内股に締める・・・で、びっくりして蝙蝠の翼広げる   (3/4 23:54:50)

十六夜咲夜 ◆> わっ…んっ、いくらなんでも手慣れすぎ…っ(お嬢様に見られながら…胸とスカートの中と好き勝手弄られ…)   (3/4 23:54:55)

レミリア＝S> 坊ちゃまが・・・メイド服以外に「希望コス」とかない？（にま   (3/4 23:55:34)

エロガキ♂19b ◆> 手慣れてるのはお嫌い？なんてね♡(下着の中に指を入れクリを摘まんで弄ってみて♡)   (3/4 23:56:05)

十六夜咲夜 ◆> んっ…わ、私も聞いてみようかしら…なんて…あっっ♡   (3/4 23:56:39)

エロガキ♂13Al> せっかく着替えtくれたから格好はそのままで。でも、さっきできなかったから、ちゅーしたい。（大事なトコロを指でかき混ぜるように刺激しながら。顔を上げると、かぷ……と、牙ではなく唇で噛みつくようにレミリアの唇に吸いついて）   (3/4
23:57:05)

エロガキ♂19b ◆> 咲夜ちゃんに着せるなら～制服とか？...できればパツパツがいいかも？♡(そのままオマンコに指を滑らせ、クチュクチュ♡と弄ってみて♡)   (3/4 23:58:30)

十六夜咲夜 ◆> こ、こら、13くん…っ、お嬢様に…っ///(自分のことよりもお嬢様を最優先)   (3/4 23:58:43)

レミリア＝S> んぷっ////・・・。（ゆっくり目を閉じ重なり密着確認すればゆっくり密着させたまま口開き舌を相手の口の中へ   (3/4 23:59:18)

十六夜咲夜 ◆> あら…紅魔生徒会かしらぁっ…んっ…///やぁっ…♡   (3/4 23:59:21)

エロガキ♂13Al> ふ……ぅ、んっ……ん、っ……♥（ちゅ、ちゅ……と音を立てて吸いついてから、舌を受け入れて口内で絡め合わせ、くちゅ、くちぃ……♥　唾液が絡む音を立てていって。スカートの中ではクリトリスを探って、すり、すり♥　と刺激して行く）   (3/5
00:00:38)

エロガキ♂19b ◆> そーんな感じ♡...あれも結構好きなんだよねぇ♡(Gスポットを指で捕らえトントンっと叩き♡)   (3/5 00:01:01)

十六夜咲夜 ◆> (あと10分くらいかな)   (3/5 00:01:11)

十六夜咲夜 ◆> ひゃあっっ、ど、どっちにする…っ？   (3/5 00:01:29)

レミリア＝S> あら・・・もうそんな時間？（きょとり   (3/5 00:02:06)

エロガキ♂19b ◆> いまはメイド服でいいよー♡屋敷の主とそのメイド...同じメイド姿で弄ばれてね♡   (3/5 00:02:29)

十六夜咲夜 ◆> ぅんんっ、はぁ、はあぁ…そこだめぇ…っ   (3/5 00:03:12)

エロガキ♂19b ◆> 咲夜ちゃんはほんと弱いとこ分かりやすいからさー♡遊んでて楽しいよ♡(執拗にGスポットを刺激しながらもう片方の手は乳首をカリカリと苛め続け♡)   (3/5 00:04:58)

レミリア＝S> ハァ・・ハァ・・・んっ///（びくっ。）・・ふふっ///ちょっと失礼///（ゆっくり離れ）咲夜・・・ごめん。身体・・・もうポッカポカ///（黒Tショーツ脱ぎ捨てる。指でつまみ持ち上がれば・・・べっちょべちょ   (3/5 00:05:00)

エロガキ♂13Al> 時間はすぐに飛んで行く……アフターを準備した方がいいのかなー？（指を抜いて。レミリアが咲夜に甘えるような、見せつけるような動作でショーツを脱いで見せるのを見て）   (3/5 00:06:20)

十六夜咲夜 ◆> お嬢様…私も…///(同じように…パンツを置いて…お嬢様に抱きつく形で)   (3/5 00:08:05)

十六夜咲夜 ◆> (主従揃ってアフター行きですわね…)   (3/5 00:08:24)

エロガキ♂19b ◆> ...どろどろになったところで女の子同士が抱きつく...とんでもなくエッチじゃない？   (3/5 00:09:45)

レミリア＝S> ・・・しちゃう？・・アフター・・・（出来上がった顔で笑い　咲夜   (3/5 00:09:52)

レミリア＝S> 咲夜はNGある？（ところでって言いたげにちらみ   (3/5 00:10:41)

十六夜咲夜 ◆> ええ…お供しますわ…っ///(ぬるぬる同士合わせる形で…男性陣誘っちゃいそう)   (3/5 00:10:58)

エロガキ♂13Al> ……これで二人で楽しまれちゃったら俺ら当て馬だからー……ちゃーんと最後まで付き合ってもらいたいなー。（レミリアの後ろから。メイドスカートに硬くなってるのをぐりぐり♥）   (3/5 00:11:05)

十六夜咲夜 ◆> …痛いのや汚いのは無理ですわね   (3/5 00:11:23)

エロガキ♂19b ◆> 見るのも楽しいけど～...どうせアフター行くならまた咲夜ちゃんのことを孕ませたいなー、なんてね♡   (3/5 00:12:01)

レミリア＝S> 「痛めつける」は？（よっこらせと１３をおんぶしてわざと自分からお尻に固いの密着させる   (3/5 00:12:33)

十六夜咲夜 ◆> …時間ね…アフター行き…っ   (3/5 00:12:39)

十六夜咲夜 ◆> …？？   (3/5 00:12:50)

エロガキ♂13Al> ……腕力の差……！（背負われてびっくり）   (3/5 00:13:03)

レミリア＝S> 咲夜が私のお尻をビンタ///（にやぁ   (3/5 00:13:19)

十六夜咲夜 ◆> …滅相もありません；   (3/5 00:13:38)

レミリア＝S> あら・・・私は「吸血鬼」よ？　さ、みんなでアフター行きましょ///   (3/5 00:14:04)

十六夜咲夜 ◆> (お嬢様ドM説…)   (3/5 00:14:12)

エロガキ♂19b ◆> ま、とりあいずアフターにいこうー！！(咲夜ちゃんをお姫様だっこして連れていくね)   (3/5 00:14:29)

十六夜咲夜 ◆> お部屋ありがとうございました…   (3/5 00:15:02)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/5 00:15:04)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (3/5 00:15:05)

レミリア＝S> ふふっ。冗談よ   (3/5 00:15:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/5 00:15:18)

レミリア＝S> さいきましょ。   (3/5 00:15:22)

おしらせ> レミリア＝Sさんが退室しました。  (3/5 00:15:27)

おしらせ> アリナ・クローバー ◆NPSBFZvbr2さんが入室しました♪  (3/5 13:11:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/5 13:11:08)

アリナ・クローバー ◆> 10d3+10 → (2 + 3 + 3 + 2 + 1 + 3 + 3 + 3 + 3 + 1) + 10 = 34  (3/5 13:11:35)

エロガキ♂19b ◆> とうちゃーく！...これまでおっぱいとオマンコを苛めたから～、今回はいよいよ最後まで、かな♡って長！？...45分まで！   (3/5 13:12:12)

アリナ・クローバー ◆> ほら、好きにしなさいよ。(受付嬢の格好でスカートを捲りあげて)   (3/5 13:12:15)

エロガキ♂19b ◆> 好きにさせてもらいまーす！...(トコトコと近づき下着を優しく触り♡)いやーついに自分からスカートを捲ってくれるなんてね～♡...ちょっと嬉しいかも♡   (3/5 13:13:19)

アリナ・クローバー ◆> 負けたから仕方なくよ。(恥ずかしそうな顔をしながらも睨みつけては)っんん、っんん   (3/5 13:14:11)

エロガキ♂19b ◆> 仕方なくねぇ～...連敗してるし実はなんとなく負けるって思ってたり？...(下着の中に指を滑らせクリの先端を爪でカリカリと苛めて♡)   (3/5 13:16:06)

アリナ・クローバー ◆> そんな事は無いから…っんん、っん、あっ(不思議と負けるかもとは思ってしまってるところは…いやいや、そんなこと…下着の中に指をいれられてクリをいじられてはビクッとしてしまい)   (3/5 13:17:46)

エロガキ♂19b ◆> そう～？...ま、そういうことにしといてあげるね♡いい感じに濡れてきたねぇ～♡今日は最後まで...いきたいところがあるから少し急ぎめに♡(クリを弄っていた指をしたに滑らせオマンコの中へと挿入♡クチュクチュと音を立てながら掻き回して♡)
  (3/5 13:20:03)

アリナ・クローバー ◆> 何をちょっと…っんん、(クリを弄られて身体を震わせていたら…そのまま指が割れ目に入り込んできて掻き回されては、相手の肩に手を置いて震え)   (3/5 13:22:29)

エロガキ♂19b ◆> あはっ♡いい反応～♡普段自分でしたりはしないの～？(ニヤニヤと笑いながら指を動かし続け...Gスポットを探り当て重点的に弄ってみて♡)   (3/5 13:24:13)

アリナ・クローバー ◆> っんん、そんなことを…あんたに言うわけ…ぁん(指が中で動かれては、色々と探られて、弱いところをいじられ続けてしまうと、指を締め付けてしまっていて)   (3/5 13:25:41)

エロガキ♂19b
