/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月25日 00時27分 ～ 2025年03月30日 22時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/25 00:27:43)

おしらせ> リタ・モルディオさんが入室しました♪  (3/25 00:28:25)

リタ・モルディオ> ほら、お兄ちゃん♪（むぎゅっと抱き着く   (3/25 00:28:50)

エロガキ♂19b ◆> おわぁっ！...(急に抱きつかれびっくりして)な、何かな？...と、とりあいずさきに時間だけ決めるからっ！   (3/25 00:30:03)

エロガキ♂19b ◆> 10d3+10 → (2 + 3 + 1 + 1 + 3 + 1 + 3 + 1 + 3 + 2) + 10 = 30  (3/25 00:30:35)

エロガキ♂19b ◆> 1時までっ！...   (3/25 00:31:54)

リタ・モルディオ> ふふっ。ちゃんと「勝負に参加すれば」アタシのお口やまんこ使い放題なのにねぇ～♡♪（さっそく胸を露出・・・相手の口に自分の胸近づけ抱きしめ   (3/25 00:33:45)

エロガキ♂19b ◆> あはは～..まぁ、人それぞれだからその辺にっ...んんっ！(リタの背に腕を回して抱き返すも思わず乳首に吸い付いてしまい)んっ...   (3/25 00:35:41)

リタ・モルディオ> おいしそうにしゃぶりついちゃって～///♡うりうり///（乳首を相手の口の中へねじ込み。歯の感触とかに自分の頬も赤くなる   (3/25 00:37:43)

エロガキ♂19b ◆> んんっ！んん！！(乳首を優しく噛んでコリコリと刺激し)おいひいかも...んくっ！(チンポもあっという間に大きくしちゃって♡)   (3/25 00:39:52)

リタ・モルディオ> んっと///（適当に楽しんだら離し）んっ（手を後ろにまわし恥じらいつつ）ぬ、脱がせて・・・いいよ。おにちゃん///（さりげなくおねだり）わたし、ちゃんと。・・お着換えできないの///   (3/25 00:43:01)

エロガキ♂19b ◆> そのおねだりは...あはっ♡わかった、任せて(リタの服を掴み1枚1枚脱がしていき下着姿に、そのまま下着も脱がしてリタを裸にすると自分の服も脱ぎ捨て♡)   (3/25 00:45:22)

リタ・モルディオ> そんなおねだりに思考全振りとか・・・////（むすり恥じらいつつ…ツンデレ   (3/25 00:46:31)

エロガキ♂19b ◆> 恥じらう姿も可愛い～♡はぁはぁ...昨日は中途半端に終わったし...もう我慢できないかも？(ビキッ♡とフル勃起しているチンポを見せつけ)リタにおねだりされたら何でもしちゃうかも？♡なんて   (3/25 00:49:07)

リタ・モルディオ> ・・はぁ～んま～リボン外し忘れてるしね。（呆れつつほら、仰向けに寝て・・・と   (3/25 00:51:22)

エロガキ♂19b ◆> は～い！(大人しく仰向けに寝てチンポを上に剃りたたせ、ビクビクと震わせ♡)   (3/25 00:52:26)

リタ・モルディオ> んっ・・///（上にまたがり・・・腰、ゆっくり下ろし肉棒を飲み込んでゆく）きっ昨日焦らしまくったせいで・・///♡。ふっふといっ///　ぐっんっんん//（眉しかめ腰を落とすまんこ拒絶してるのを無視して呑み込んでゆく）あっ・・・あぁぁぁ・・・（先端が入ればもう重力のままずるるるとはいってゆく
  (3/25 00:56:20)

エロガキ♂19b ◆> おっ！...締まりすごっ♡めっちゃ気持ちいぃぃ...♡(小さなオマンコの締め付けに身体を震わせ腰を少し浮かせちゃって♡限界まで我慢していたからかチンポの先っちょをプクッと膨らまし♡)絡み付いてきて...すごっい♡♡   (3/25
00:58:39)

リタ・モルディオ> はっはっ・・・んっ//（手を頭の後ろで組んで蟹股でスクワット運動）ほっほらきっきもち・・・いい？（どんどん腰が早く   (3/25 01:01:00)

エロガキ♂19b ◆> それやばっ♡気持ちよすぎる...あぁっ！！我慢できないっ！！もうっ...イグッ！！(強い締め付けに目の前に映る光景に我慢できず、突然子宮に向けて濃厚精子を大量射精♡...)   (3/25 01:04:21)

リタ・モルディオ> ほら、出すだけじゃなくて「胸の揺れ」もみなさいよ///（はぁはぁとにやっと笑いながら）んあぁぁぁぁ////（肉棒のリボンをほどき中出しを受け入れる   (3/25 01:07:01)

エロガキ♂19b ◆> はぁはぁはぁ...あはっ♡...リタの全てに魅了されそう♡その胸にもオマンコにも顔にもね...でも時間をとっくに過ぎてるみたい♡   (3/25 01:08:30)

リタ・モルディオ> んっ・・・あらあら・・・んじゃ。あたしも、眠いし・・・そろそろ眠いし・・・最後にいいもん。みせてあげる///（ふーふーとにやけ   (3/25 01:12:15)

