/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年05月12日 06時27分 ～ 2025年05月25日 13時30分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

黒神めだか> しつこい、出来ないものは出来ない   (5/12 06:27:40)

エロガキ♂17L ◆> まぁ、とりあえず始めるか(相手に近づいて優しく服の上から胸を揉み始めながら)勝ったら何を命令しようと思ってたのか聞こうかな？   (5/12 06:28:26)

エロガキ♂17L ◆> …？大丈夫か？   (5/12 06:33:20)

エロガキ♂17L ◆> こりゃ寝落ちたか？まぁ無言退出まで責任もって見送るとしようかな   (5/12 06:43:41)

おしらせ> 無言時間が25分を超えたため、黒神めだかさんが自動退室しました。  (5/12 06:52:51)

エロガキ♂17L ◆> お疲れ様   (5/12 06:53:22)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (5/12 06:53:24)

おしらせ> 猫猫さんが入室しました♪  (5/12 21:52:36)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが入室しました♪  (5/12 21:52:54)

猫猫> ～♪（エアマットローション準備中   (5/12 21:52:56)

猫猫> おかえりなさい・・・ませ☆♪（にぱっキラッ   (5/12 21:53:20)

エロガキ♂12KI ◆> さーて、この貧相でちんちくりんな姉ちゃんをどうしたもんか。とりま対ありー。   (5/12 21:53:26)

エロガキ♂12KI ◆> …って、何してんの…？(ドン引き)   (5/12 21:53:38)

猫猫> 罰ゲーム負けたからお前を昇テ・・・ゲフンゲフン。奉仕するめの準備。（真顔   (5/12 21:54:58)

エロガキ♂12KI ◆> うっわ何か碌でも無いもん企んでんぞコイツ。(ジト目じとぉ～…)   (5/12 21:55:58)

猫猫> ・・・ガキのくせに察しがいいな。（真顔、きょとん）   (5/12 21:56:48)

エロガキ♂12KI ◆> 生憎同族的な勘が働いてんのか姉ちゃんには容赦しないで良いって事だけは分かる。(腕組みふんす)   (5/12 21:57:49)

猫猫> 勝負（サイコロ/肉を斬らせて）で勝ちを譲って試合（主導権をぶんどる/骨を断つ）に勝つ作戦。が一瞬でパーだ。（真顔   (5/12 21:58:51)

エロガキ♂12KI ◆> えーと？毒とか好きな変態な姉ちゃんなんだよなー…？お偉いさんお抱えの処方箋技師みたいなもん？   (5/12 21:59:22)

エロガキ♂12KI ◆> じゃああれだ、よく昔の王族で有りがちなガチでヤバい媚薬とか劇薬も知ってそうだよな。シャブも真っ青なガンギマリでもさせる？   (5/12 22:00:23)

猫猫> ただの「薬屋　薬師」ですが。なにか？   (5/12 22:00:26)

エロガキ♂12KI ◆> 対魔忍の感度3000倍とか有りそうな媚薬でイキ地獄逝こうぜ♡   (5/12 22:01:17)

猫猫> 毒ならある程度抵抗持ってます。（キリッ   (5/12 22:01:44)

猫猫> お時間設定よろしく。   (5/12 22:02:23)

エロガキ♂12KI ◆> うい   (5/12 22:02:34)

エロガキ♂12KI ◆> 10d3＋10 → (2 + 2 + 3 + 1 + 3 + 1 + 2 + 2 + 2 + 3) + 10 = 31  (5/12 22:02:56)

エロガキ♂12KI ◆> 平均値みたいなもんか   (5/12 22:03:09)

猫猫> さて・・・まずは・・・こうかな？（昔の中国の服脱ぎつつ   (5/12 22:04:00)

エロガキ♂12KI ◆> んじゃ娼館とか裏の用途で使われてそうな違法シャブキメてイキ狂おうな変態姉ちゃん   (5/12 22:04:18)

エロガキ♂12KI ◆> ん、ちゃくちゃく行こうかー。(着物を脱いでくのを眺めつつ控えめな肉付きに鼻を鳴らし)   (5/12 22:05:06)

エロガキ♂12KI ◆> あ、時間は33分までなー。   (5/12 22:06:16)

猫猫> さぁ、どうぞ。（エアマットの上で正座でちょこん。ぱくり、奥歯あたりに錠剤仕込みつつ   (5/12 22:07:22)

エロガキ♂12KI ◆> あいよー。ヤバい薬は今のうちに噛んで飲んどけよー？口移しとかで巻き添えとか嫌だかんな。(こちらも服と下着を脱ぎ裸で向き合い、先に有り得そうな展開にジト目送って釘を差し)   (5/12 22:09:03)

猫猫> 大丈夫です。そこまでのアホはしませんので。（桶のローション手でかきまぜながら   (5/12 22:10:12)

エロガキ♂12KI ◆> アホはしなくても計画的に巻き込んで道連れしてきそうだかんなー。(しれっと毒吐きつつ暇潰しに裸をつんつんつつき)   (5/12 22:11:33)

猫猫> ・・・///（いろいろつつかれ顔真っ赤になりつつ）そ、そんな・・・ちきんな攻めでよいのですか？（ぼーっとした顔で   (5/12 22:13:26)

エロガキ♂12KI ◆> んー？ガチで攻めんのは効果出てきたらなー。ほれ、股開いておまんこ見せてみー？(すべすべの肌に手を這わせて下になぞっていくと内股へ迫っていき)   (5/12 22:16:38)

猫猫> ～♪（ゆっくり身体をのけぞらせM文字で脚広げる・・・と、べっちょべちょのスジをみせる   (5/12 22:18:24)

エロガキ♂12KI ◆> ふぅん…？(掌でおまんこ覆い割れ目を縦になぞるとくりからあなるを何度も往復して指先擦り)   (5/12 22:21:51)

猫猫> ・・・///（ゆっくり、呼吸しながらビクビク震えうっとり）ガキのくせになかなかじらして・・・くれる///（うっとり   (5/12 22:23:49)

エロガキ♂12KI ◆> (おまんこ撫でる動きから両方の穴に指が入り奥まで押し込まれていき、中で指を手前に折り曲げるとくちゅくちゅ上側の壁を何度も中から擦り上げ)   (5/12 22:25:19)

猫猫> んっ・・・んおっ////（まゆしかめ身体震わせながら舌だし息をあらげドキドキ   (5/12 22:26:31)

エロガキ♂12KI ◆> どうよ、こことか効く？(相手の反応を見つつぐちゅぐちゅと穴を穿る音が室内響き渡り、手首捻ってぐりぐり押し込んだりと両穴の中の弱点探り)   (5/12 22:27:54)

猫猫> んぐっ///・・・そっそこ・・・くり、、くりの裏側っいいよ///（うっとり   (5/12 22:29:29)

エロガキ♂12KI ◆> ふぅーん？(弱点分かるとそこを放置し二つの指で肉壁を摘む様におまんことあなるの中で動かし、両穴の隔てる壁を挟むと指を引っこ抜いていきぞりぞりと削って)   (5/12 22:31:29)

猫猫> んっ・・んんっんおぉおぉっ（眉しかめエアマットに完全にねそべり身体びくびく   (5/12 22:34:04)

エロガキ♂12KI ◆> ん、時間か…。あんま鳴かなかったな～。(そのままぬぽんっ、勢いよく指を抜き取り穴を裏返る勢いで削ぎ。汁に塗れた指を口にしゃぶらせ体液味合わせ)   (5/12 22:35:37)

猫猫> ふー・・ふー・・・////（身体ふるわせぐったり。   (5/12 22:36:15)

エロガキ♂12KI ◆> ま、こんな所かなー？   (5/12 22:36:50)

猫猫> っ（こりっと唇かみしめ、ゆっくり身体起こす   (5/12 22:37:23)

エロガキ♂12KI ◆> さて、時間過ぎたし解散の流れー？   (5/12 22:37:56)

猫猫> ん～・・・続きしてもいいけど。（ゆっくり深呼吸   (5/12 22:38:29)

エロガキ♂12KI ◆> 俺はどうしよっかなー。のんびりしたい気もするし、少し休憩でー。   (5/12 22:40:09)

猫猫> んじゃ・・・解散でいい？（服着ながら   (5/12 22:40:49)

