/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月11日 18時19分 ～ 2024年10月12日 01時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂r16> 今週に限れば人のこと言えないがきちんと寝ろよ？   (2024/10/11 18:19:06)

エロガキ♂r16> はい、こんばんは   (2024/10/11 18:19:12)

エロガキ♂19u> r16君こんばんは〜。   (2024/10/11 18:19:28)

エキドナ ◆> こんばんは、不審者かな？   (2024/10/11 18:20:02)

エロガキ♂r16> ある意味そうではある。もしもしポリスメン？   (2024/10/11 18:20:28)

エロガキ♂19u> 窓から出てったんで窓から入ってきました。まぁ不審者ですねぇ〜。   (2024/10/11 18:20:35)

エロガキ♂19u> うおっと？   (2024/10/11 18:20:38)

エロガキ♂19u> 逃げますかぁー(何しに来た)   (2024/10/11 18:20:52)

エロガキ♂r16> えぇ…   (2024/10/11 18:21:06)

エキドナ ◆> 愉快な仲間たちと言う表現が正しいのかな(くす、)   (2024/10/11 18:22:23)

エロガキ♂r16> え、じゃあ俺もなんかした方がいいか？   (2024/10/11 18:22:44)

エロガキ♂19u> 愉快な仲間たち……(うんうん、)   (2024/10/11 18:23:33)

エキドナ ◆> 好きにしたまえ、ボクの部屋でも無いからね(←)   (2024/10/11 18:23:34)

エロガキ♂19u> (カメラ片手にステンバーイ…)   (2024/10/11 18:23:54)

エロガキ♂r16> そこのカメラ小僧どうするか   (2024/10/11 18:24:11)

エキドナ ◆> 毒を吐いた方が絵になるのなら桃髪のメイドにでも変わろうか？   (2024/10/11 18:24:50)

エロガキ♂19u> 1:2かな？いいね、かかってきなぁ！！(え？)   (2024/10/11 18:25:19)

エロガキ♂r16> やっちまってくだせぇ。エキドナ様()   (2024/10/11 18:25:36)

エキドナ ◆> ボクかい？ボクは肉体派じゃないんだけど、、(公式運動音痴だよ、、)   (2024/10/11 18:26:18)

エキドナ ◆> 魔法でも良いのかな？   (2024/10/11 18:26:40)

エロガキ♂19u> レスバさせるなら前身の方が得意だったりするよ。だってあの子、口の悪さ代表だもの。   (2024/10/11 18:26:48)

エロガキ♂19u> 掛かってきたよ、僕は女子供だろうと殴れないからね。   (2024/10/11 18:27:18)

エロガキ♂r16> 魔法でいいんじゃないですかい？(謎の小物ムーブ)   (2024/10/11 18:27:18)

エロガキ♂19u> えﾞ？   (2024/10/11 18:27:25)

エキドナ ◆> その希望を叶えるとしようかな、、   (2024/10/11 18:27:32)

エロガキ♂19u> 魔法ﾞ？   (2024/10/11 18:27:32)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/11 18:27:34)

おしらせ> ラム ◆r8To80Q7JEさんが入室しました♪  (2024/10/11 18:27:44)

エロガキ♂19u> ふぇぇ……   (2024/10/11 18:27:48)

エロガキ♂19u> じゃあ僕もあっちの子呼んでこよう。任せたよ前身君！(裏声、)   (2024/10/11 18:29:12)

ラム ◆> 呼びつけておいて何の歓迎も無いの？愚図ね   (2024/10/11 18:29:14)

エロガキ♂19u> だってよ16君！！！(おい)   (2024/10/11 18:29:28)

おしらせ> エロガキ♂19uさんが退室しました。  (2024/10/11 18:29:31)

エロガキ♂r16> おや、おかえり   (2024/10/11 18:29:44)

エロガキ♂r16> トイレい上Amazonラン   (2024/10/11 18:29:55)

エロガキ♂r16> 誤変換が暴発したから気にしないでくれ   (2024/10/11 18:30:04)

おしらせ> エロガキ♂16uさんが入室しました♪  (2024/10/11 18:30:04)

エロガキ♂16u> 暴発所で済まなそうだけど？   (2024/10/11 18:30:16)

エロガキ♂r16> つまり魔法の仕業か()   (2024/10/11 18:30:37)

ラム ◆> ラムの時間を無駄にした事を悔いて遺書に財産は全てこのラムに捧げた上で死になさい   (2024/10/11 18:30:49)

エロガキ♂r16> 俺は悪くないので遺書書かないし死なない   (2024/10/11 18:31:29)

エロガキ♂16u> 君への比例を詫びるために塩でも撒いといたよ。あと、箒を逆さにして玄関の前に立ててこようか？(にっこり、)   (2024/10/11 18:31:34)

エロガキ♂16u> 遺書を書いてそれで額でも叩けばいいのかな？   (2024/10/11 18:32:42)

エロガキ♂r16> 遺書書いて叩きつけら火炙りにでもされんじゃね？   (2024/10/11 18:33:14)

ラム ◆> 辞世の句は読み終わったかしら？   (2024/10/11 18:33:53)

エロガキ♂r16> 俺は読んだつもりは無いのでそっちの人だけどーぞ   (2024/10/11 18:34:18)

エロガキ♂16u> 君こそ懺悔の時間は済んだかな？   (2024/10/11 18:34:26)

エロガキ♂16u> (煉炭でも用意しておこうか…？全滅させる覚悟ある人、)   (2024/10/11 18:34:51)

エロガキ♂16u> (尚魔法の存在…)   (2024/10/11 18:35:05)

エロガキ♂r16> ほら、便利ワードあるじゃないか。高度な技術は魔法とウンタラカンタラって   (2024/10/11 18:35:41)

ラム ◆> ラムが懺悔？ハッ！世迷言ね、ラムはとても可愛いから生きているだけで持て囃されるべきなのよ   (2024/10/11 18:36:03)

ラム ◆> 思ったより眠気が強いわね、、   (2024/10/11 18:36:18)

エロガキ♂16u> 子供は早く寝なよ(下衆顔、)   (2024/10/11 18:36:35)

エロガキ♂r16> 寝なよ、寝て起きてからそこの人処すればいいと思う()   (2024/10/11 18:36:52)

エロガキ♂16u> 処す？僕を？(←)   (2024/10/11 18:37:07)

エロガキ♂r16> そだよ。俺とばっちりで死にたくねーもん   (2024/10/11 18:37:27)

エロガキ♂16u> まぁまぁ、同い歳じゃないか。道連れと逝こうじゃないか…(にっこり、)   (2024/10/11 18:38:08)

エロガキ♂r16> 逃げていいか？   (2024/10/11 18:39:03)

エロガキ♂16u> ダメかな〜♡   (2024/10/11 18:39:14)

ラム ◆> ガキが、、(お口悪、、)   (2024/10/11 18:39:18)

エロガキ♂r16> え、俺も巻き込まれんの？(ガクブル)   (2024/10/11 18:39:32)

エロガキ♂16u> 今本性出てたよ、こわぁい……(くぅん…←)   (2024/10/11 18:39:51)

ラム ◆> 今度の罰ゲームを楽しみにしておくわ、クズ共、、いえ羽虫様方   (2024/10/11 18:40:41)

エロガキ♂16u> r16君は多分大丈夫、僕が巻き込んでも生き残れるよ(ぐっ、)   (2024/10/11 18:40:41)

エロガキ♂r16> そもそも巻き込むなって   (2024/10/11 18:41:23)

エロガキ♂r16> なんもしてないのに巻き込まれてる?!   (2024/10/11 18:41:33)

エロガキ♂16u> 肝に銘じておくよ、この貧相な桃頭さん(ぴきぴき…)   (2024/10/11 18:41:44)

ラム ◆> ラムは大人だから時と場所を弁えるからあなた達は今この場で死になさい   (2024/10/11 18:42:15)

エロガキ♂16u> (他人事でr16君を見てる←)   (2024/10/11 18:42:18)

エロガキ♂r16> えー……。そもそも俺被害者だが？他人巻き込むの良くないが   (2024/10/11 18:43:02)

ラム ◆> (ラムのキャラ崩壊してるわ、、)   (2024/10/11 18:43:31)

エロガキ♂16u> 僕は子供だから君が一番恥をかきそうなタイミングで脚を引っ張って転ばせに行くまで死ねないかなぁ…。   (2024/10/11 18:43:36)

エロガキ♂16u> ……大人？(じと、)   (2024/10/11 18:43:49)

エロガキ♂16u> (ぷーくす)   (2024/10/11 18:43:56)

エロガキ♂16u> 旅は道連れだよ、兄弟。相手が水色の子じゃないから仕方ないよ(他責にする人の屑)   (2024/10/11 18:44:35)

エロガキ♂r16> よし、逃げれる隙があったら全力で逃げる   (2024/10/11 18:44:52)

エロガキ♂16u> わかった。それじゃあ僕は先に行くから、ここは頼んだよ(？)   (2024/10/11 18:45:43)

エロガキ♂r16> どーぞどーぞ   (2024/10/11 18:46:15)

ラム ◆> (ほんとに意識落ちそうので寝ます、、)   (2024/10/11 18:46:56)

エロガキ♂16u> (おやすみなさい。ゆっくり休んで。)   (2024/10/11 18:47:10)

エロガキ♂r16> (はい、おやすみ)   (2024/10/11 18:47:10)

ラム ◆> また来るわ、命が惜しいなら貢物でも用意なさい   (2024/10/11 18:47:31)

おしらせ> ラム ◆r8To80Q7JEさんが退室しました。  (2024/10/11 18:47:34)

エロガキ♂16u> 貢物か…募金で貰える赤い羽根でいいかな？(舐め腐ってるけど本気なのだ。)   (2024/10/11 18:48:18)

エロガキ♂16u> さて、張り合いも終わった事だし脱皮して……来ても来なくてもいいかな。   (2024/10/11 18:49:05)

エロガキ♂r16> いいんじゃない？何が喜ぶものなんてわからんし。んじゃ俺はコンビニの茶菓子でも用意しとくか。2000円位で売ってる箱のやつ   (2024/10/11 18:49:26)

エロガキ♂r16> さてと、ちょうどいい時間だし俺は落ちよう   (2024/10/11 18:50:00)

エロガキ♂16u> お疲れさま、また何れだね   (2024/10/11 18:50:16)

エロガキ♂r16> だな、次あのピンクといたら俺は逃げる   (2024/10/11 18:50:32)

エロガキ♂16u> え？逃がさないよ？(満面の笑み)   (2024/10/11 18:50:49)

エロガキ♂16u> まぁ、その時はその時だけどね   (2024/10/11 18:51:03)

エロガキ♂16u> ……(しれっとあのピンク呼ばわりしたから後が怖いだろうなぁ…)   (2024/10/11 18:51:27)

エロガキ♂r16> で後ほど   (2024/10/11 18:51:31)

エロガキ♂16u> あぁ、また。お気をつけて〜。   (2024/10/11 18:51:45)

おしらせ> エロガキ♂r16さんが退室しました。  (2024/10/11 18:51:47)

エロガキ♂16u> 今日は何も予定を考えてないんだよね〜…。人が増えてくるまでは大人しくして…今か！   (2024/10/11 18:56:41)

おしらせ> エロガキ♂16uさんが退室しました。  (2024/10/11 18:56:57)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/11 19:12:28)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/11 19:14:25)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/11 19:35:57)

エキドナ ◆> 30分は眠れたから良い方かな、、   (2024/10/11 19:36:24)

エキドナ ◆> 少しだけ遊ぼうかな、と思ったけど、、悩んでおこうか、、   (2024/10/11 19:41:32)

エキドナ ◆> 楽しそうだけれど今の頭でついていける気がしないね、、   (2024/10/11 19:42:22)

おしらせ> エロガキ♂19uさんが入室しました♪  (2024/10/11 19:45:26)

エキドナ ◆> (ボクは公式で腕立てすら出来ないんだよね、、)   (2024/10/11 19:45:35)

エキドナ ◆> おや、話していたんじゃないのかい？   (2024/10/11 19:45:51)

エロガキ♂19u> 非力過ぎませんかね…？   (2024/10/11 19:45:58)

エロガキ♂19u> あぁ、まぁ、そうですね。けどほら、あっちで長々話してたら待機したい人とか居たら悪いかなと。   (2024/10/11 19:46:24)

エロガキ♂19u> え、気遣いするの？とか言われたら泣きますね、(真顔、)   (2024/10/11 19:46:42)

エキドナ ◆> 仕方ないじゃないか、キミたちのさっきの話で例えるならINTは無限にあるから無能ではないよ   (2024/10/11 19:47:40)

エキドナ ◆> 気遣いが出来るアピールならもう少し早めにするべきだったかな？すごい熱量だったよ   (2024/10/11 19:48:31)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/11 19:49:15)

エロガキ♂19u> うお、その表記懐かしい。AGI型好きでしたね〜…(何の話、)実際各々の能力に長所短所ある方が楽しみはあるんですけど。   (2024/10/11 19:49:15)

エロガキ♂19u> 熱量って？   (2024/10/11 19:49:29)

エロガキ♂16r> こんばんは   (2024/10/11 19:49:33)

エロガキ♂19u> そしてこんばんは〜。   (2024/10/11 19:49:34)

エロガキ♂16r> 用事が終わりましてよ   (2024/10/11 19:49:40)

エロガキ♂19u> 16r君はお疲れさまですね〜。   (2024/10/11 19:50:45)

エキドナ ◆> 動画で少しだけ履修はしていたからね、今のは知らないけれども、、ボクみたいなのが居たらセッションは壊すだろうけれどね   (2024/10/11 19:50:57)

エキドナ ◆> 中身が濃くて見て分かる人は強い共感が出来そうだったからね   (2024/10/11 19:51:58)

エロガキ♂19u> サイコロ関連についてはクトゥルフでなんやかんやある、位の知識しかないですね〜…。つまりintは低め。   (2024/10/11 19:52:20)

エキドナ ◆> お疲れ様、この時期の用事となると、、祭り関連かな、、   (2024/10/11 19:52:36)

エロガキ♂19u> (サイコロ全くわからない子への教養タイムだったなんて…)   (2024/10/11 19:52:46)

エロガキ♂16r> おや、swの話でもしてるかい？   (2024/10/11 19:53:03)

エロガキ♂16r> CoC？あれはダイスに完全敗北してるよ俺は   (2024/10/11 19:53:42)

エキドナ ◆> ボクも聞き齧りでしかないよ、ただ外なる神のお話なら有名どころくらいは一部理解出来たかな、と思いたいけれどね   (2024/10/11 19:54:16)

エロガキ♂16r> Swは俺も聞きかじり程度だな…   (2024/10/11 19:55:22)

エキドナ ◆> そろそろこの辺りの話はやめておこうか、入りたくてもはいれない人が出てくるかも知れない   (2024/10/11 19:55:59)

エロガキ♂19u> 仕方ない……この流れを断ち切る時がきましたね。   (2024/10/11 19:56:19)

