/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月12日 23時32分 ～ 2024年10月13日 03時48分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エキドナ ◆> 窓から出入りする不審者ならすぐ治るよ   (2024/10/12 23:32:33)

愛宕> それじゃ、直撃かかすったか幸運判定での回避ね。1d100で20以下だったら直撃でいいかしら？   (2024/10/12 23:32:53)

エロガキ♂19u> 暴論の極みで殴られた僕の心癒せるお医者様います！？   (2024/10/12 23:32:56)

エロガキ♂16r> ヤーナムは数週して夢から覚めた側だから   (2024/10/12 23:32:59)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/12 23:33:20)

エキドナ ◆> 19のキミ。ダイスロールの時間だよ   (2024/10/12 23:33:27)

エロガキ♂19u> なんで！？！？   (2024/10/12 23:33:37)

エロガキ♂19u> こんばんは！   (2024/10/12 23:33:39)

エロガキ♂19b ◆> ヤーナムだって！？3デブの時間か？ということでこんばんは～   (2024/10/12 23:33:50)

エロガキ♂16r> こんばんは   (2024/10/12 23:33:55)

エロガキ♂12Ω ◆> ナニが出るかなナニが出るかな   (2024/10/12 23:33:55)

エキドナ ◆> 20以下で刺突らしいよ(くす、)   (2024/10/12 23:33:56)

エロガキ♂19u> 私19u！今なんかダイスに運命を握られてる変な人！   (2024/10/12 23:34:01)

愛宕> ナイスタイミングで19君が増えたわね。　こんばんは　Ｂ君とＵ君になるのかしら？   (2024/10/12 23:34:04)

エロガキ♂19u> 草。受けてたちます。   (2024/10/12 23:34:13)

エロガキ♂16r> 頑張れ   (2024/10/12 23:34:19)

エロガキ♂12Ω ◆> 19b兄ちゃんお疲れー。   (2024/10/12 23:34:25)

エキドナ ◆> 不審者と19の彼で良いかな   (2024/10/12 23:34:29)

エロガキ♂19u> 受けて勃ちます。   (2024/10/12 23:34:35)

エロガキ♂19b ◆> 状況がわからん！！   (2024/10/12 23:34:39)

愛宕> （これで刺さったら、私の罪悪ゲージがあがるのかしらね   (2024/10/12 23:34:49)

エロガキ♂19u> 状況は……混迷を極めています(適当、)   (2024/10/12 23:34:58)

エロガキ♂19u> ダイスはいくつだい？(謎のやる気)   (2024/10/12 23:35:08)

エロガキ♂19b ◆> とりあいず、ダイスを振ればいいのか？？   (2024/10/12 23:35:14)

エキドナ ◆> (罪悪感感じる前に彼の息の根を止めておくよ←)   (2024/10/12 23:35:15)

エロガキ♂12Ω ◆> 受けで勃つとかネコ？じゃん   (2024/10/12 23:35:35)

エロガキ♂19u> もういっそ男子諸君で振ろうか……(にっこり、)   (2024/10/12 23:35:39)

エキドナ ◆> 1d100の20以下が回避だっけか、、   (2024/10/12 23:35:48)

エロガキ♂16r> おれふらなーい   (2024/10/12 23:35:54)

エロガキ♂19u> にゃーん♡(キッツ、)   (2024/10/12 23:35:55)

エロガキ♂19u> アッシェンテ！！！   (2024/10/12 23:36:07)

愛宕> 回避と命中が入れ替わってないかしら？（20以下回避って   (2024/10/12 23:36:11)

エキドナ ◆> そうだったかな？少し適当だったよ   (2024/10/12 23:36:26)

エロガキ♂12Ω ◆> じゃあ俺アシェットで   (2024/10/12 23:36:29)

エロガキ♂19u> 命中率80ってこと！？……燃えてきた(阿呆、)   (2024/10/12 23:36:40)

エロガキ♂16r> 命中率と回避率別だから()   (2024/10/12 23:37:00)

