/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月14日 03時40分 ～ 2024年10月14日 13時04分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> ……そしてどうしよう。4時になるよ？   (2024/10/14 03:40:59)

エロガキ♂19b ◆> 在庫処理したいだけじゃねぇか！！！   (2024/10/14 03:41:10)

エロガキ♂19b ◆> んま、さすがに死ぬのは勘弁だからやめておくよ～(再び本を開き読み始め)   (2024/10/14 03:41:51)

ベアトリス ◆> それは契約上無理かしら、ベティはお母様に言われて今ここに居るだけかしら。お母様が戻れと言われたならおまえを殺してでも戻るのよ   (2024/10/14 03:42:14)

胡桃 ◆> (怖いんだけど！！)   (2024/10/14 03:42:39)

ベアトリス ◆> 賢明な判断かしら。   (2024/10/14 03:43:06)

ベアトリス ◆> (精霊の契約は時に命より重いのかしら、)   (2024/10/14 03:43:34)

エロガキ♂19b ◆> さすがに死んだら女の子と遊べなくなるからねぇ   (2024/10/14 03:43:59)

エロガキ♂19b ◆> んん、、というか死ぬ可能性あるなら胡桃ちゃんと契約した方がいいのか？...なんか最近結構ぶっとばされること多いし...うーん   (2024/10/14 03:48:03)

胡桃 ◆> うーん…？契約するのー……？(眠た目堂主。首こっくんこっくんしてるし、)   (2024/10/14 03:49:53)

胡桃 ◆> 丁度いい抱き枕……(ちらっとベアトリスちゃんを見て。)   (2024/10/14 03:50:20)

エロガキ♂19b ◆> あは、眠いならこの話しはまた今度～。素面の時にねー   (2024/10/14 03:51:14)

ベアトリス ◆> 眠たいなら無理せず寝るのかしら、、な、何なのかしらその目、、すごく嫌な予感がするのよ、、   (2024/10/14 03:51:25)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/14 03:51:57)

エロガキ♂13UC> めっ――   (2024/10/14 03:52:04)

エロガキ♂13UC> ちゃっ、すっきりした～♪（つやつや～   (2024/10/14 03:52:15)

エロガキ♂19b ◆> ほーん、、これは面白いことになりそうな予感～(クスクス笑いながら二人を見て)   (2024/10/14 03:52:33)

ベアトリス ◆> また増えたのよ！？こんばんはかしら！これでいいのかしら！   (2024/10/14 03:52:39)

胡桃 ◆> 契約内容はね〜……(眠いけど契約書取り出す。顧客は大事なの。)末代まで掛かかっても払いきれないモラの〜…   (2024/10/14 03:53:02)

エロガキ♂13UC> ん～、増えてまずかったの？（あれ？って   (2024/10/14 03:53:03)

胡桃 ◆> うーん……こんばんは〜   (2024/10/14 03:53:10)

エロガキ♂13UC> ん？なんか微妙な空気？   (2024/10/14 03:53:26)

胡桃 ◆> 私は眠たいだけ〜   (2024/10/14 03:53:41)

ベアトリス ◆> まずい訳じゃないけれどベティは馴れ馴れしい人間しか見てないから警戒してるのかしら   (2024/10/14 03:53:46)

エロガキ♂13UC> 大丈夫？胡桃お姉ちゃん。　おっぱい揉んで刺激する？   (2024/10/14 03:53:59)

胡桃 ◆> 後抱き枕頂戴！(がばっ)   (2024/10/14 03:54:07)

エロガキ♂19b ◆> はいはい契約はまた今度～、ちゃんと面と向かってやろうね～   (2024/10/14 03:54:10)

エロガキ♂13UC> あー、まぁでも子供で礼儀正しい方が珍しくない？　俺とか特にエロガキなわけだし？＜馴れ馴れしい   (2024/10/14 03:54:45)

ベアトリス ◆> うにゃ〜！なにするのかしら！離すのかしら！(じったばった、出来ない命令中、、)   (2024/10/14 03:55:28)

胡桃 ◆> さらーっと私の胸を触ろうとしたね？この胸に、魅力を感じたね！(どやっ)   (2024/10/14 03:56:01)

エロガキ♂19b ◆> あっは！！面白い光景～写真撮っとこ(ｶｼｬ!!   (2024/10/14 03:56:28)

エロガキ♂13UC> ちっぱいはちっぱいでいいと思うよ？　胡桃お姉ちゃんは、ちっぱいっても美人だし？   (2024/10/14 03:56:35)

ベアトリス ◆> ベティには関係無いかしら、それにベティは必要が無いなら来ないのかしら   (2024/10/14 03:56:49)

エロガキ♂13UC> ま、選べって言われたらでっかい方選ぶけど～♪   (2024/10/14 03:56:58)

胡桃 ◆> 見てみて！可愛い！可愛い抱き枕なの！！(お目目ぱっちり。19b君にもお裾分けしちゃう？)   (2024/10/14 03:57:00)

エロガキ♂13UC> そして、抱き枕って……あぁうん、ベティお姉ちゃん？が警戒するのもわかるわ～   (2024/10/14 03:57:32)

胡桃 ◆> 私の魅力はね〜…胸じゃないんだよ？ある子は言ってたよ、お尻だってね！(自分で言ってて悲しくない？悲しくないよ、お尻は自信あるから！)   (2024/10/14 03:57:53)

エロガキ♂19b ◆> わかるぞ～抱きしめたくなるいいサイズだもんなぁ！！(ｶｼｬｶｼｬｶｼｬ!!   (2024/10/14 03:57:58)

ベアトリス ◆> そっちの人間は対象外だから攻撃出来るのよ！(静止の鏃の魔法準備中、)   (2024/10/14 03:58:11)

エロガキ♂19b ◆> 俺は眠くないから大丈夫～、胡桃ちゃんは中も絶品なんだよなぁ～   (2024/10/14 03:58:38)

エロガキ♂13UC> 状況がカオスだってのだけは分かった……ま、頑張れ（特にベティお姉ちゃん、たぶんどっちも味方ではないやつに囲まれてる）   (2024/10/14 03:58:54)

エロガキ♂19b ◆> あっはは！！抱きはしないけど写真は撮るよ～、こんな面白い光景撮らない方がもったいないしねぇ～   (2024/10/14 03:59:33)

胡桃 ◆> はぁ〜〜…七七ちゃんくらいの大きさでいいよね〜……えへへへへ…(抱き抱えたベアトリスちゃん床に降ろして。うん……満足、)   (2024/10/14 03:59:39)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/14 03:59:50)

エロガキ♂12Ω ◆> よいしょーっと。ちかれたちかれた。   (2024/10/14 04:00:13)

エロガキ♂19b ◆> ほんとに4時か！？ってぐらい集まるな   (2024/10/14 04:00:26)

エロガキ♂19b ◆> こんばんはっと   (2024/10/14 04:00:33)

エロガキ♂12Ω ◆> こんな時間まで皆まだ起きてんのかー。よっすよっすー。   (2024/10/14 04:00:53)

エロガキ♂13UC> ま、休みと休みの間だから？   (2024/10/14 04:00:59)

エロガキ♂13UC> ちーっす   (2024/10/14 04:01:07)

ベアトリス ◆> はー！はー！酷い目にあったのよ、、お母様の命令さえ無ければ、、全員砂に変えてやったのよ、、！(離されたからじたばたして椅子に座り直して)   (2024/10/14 04:01:16)

胡桃 ◆> あ、12Ω君だ！さっきは本当にごめんねー…！(唐突に素になる堂主。情緒不安定かな、)   (2024/10/14 04:01:32)

エロガキ♂19b ◆> 巻き込まないで！？   (2024/10/14 04:01:33)

ベアトリス ◆> もー！こんばんはかしら！   (2024/10/14 04:02:02)

エロガキ♂13UC> さて、とりあえずカオスっぽいし、俺は一旦退くわ～　またな～   (2024/10/14 04:02:14)

エロガキ♂12Ω ◆> お疲れ胡桃姉ちゃんー。ダチカ姉ちゃんと言い皆大変そうだなー。マジで大丈夫かー？   (2024/10/14 04:02:37)

エロガキ♂19b ◆> はいよ～おつかれユニコーン   (2024/10/14 04:02:47)

ベアトリス ◆> さよならなのよ！   (2024/10/14 04:02:51)

胡桃 ◆> えー…行っちゃうの〜？ゆっくり休むんだよ？   (2024/10/14 04:02:57)

エロガキ♂13UC> お、おう、マジユニコーンで定着させる気かよ？   (2024/10/14 04:03:07)

おしらせ> エロガキ♂13UCさんが退室しました。  (2024/10/14 04:03:12)

エロガキ♂12Ω ◆> ベアト姉ちゃんもこんばんはー。何か胡桃姉ちゃんに巻き込まれて大変そうだな。御愁傷様です。   (2024/10/14 04:03:27)

