/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 02時51分 ～ 2024年10月15日 13時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/15 02:51:09)

栞葉るり> それも魅力の一つですよ？わたくしはモエチャッカファイアみたいにシラフで淡々とされるのも好きですが…！あの歌ずるくないですか？男でも女でも可愛い歌とか！！   (2024/10/15 02:51:17)

エキドナ ◆> なんだかな、、本当に、、   (2024/10/15 02:51:52)

エロガキ♂19b ◆> 聞いたことないなぁ、、あとで聞いてこよ   (2024/10/15 02:51:54)

エロガキ♂19b ◆> 全く関係ないんだけどさ、トリップって被ったりするものなの？   (2024/10/15 02:53:06)

栞葉るり> ……そこに気付くとは勘のいいガキですね   (2024/10/15 02:53:32)

エロガキ♂19b ◆> なにかしってるのかシスター！   (2024/10/15 02:54:11)

エキドナ ◆> 同じ文字なら被るんじゃないのかい、、？   (2024/10/15 02:54:18)

栞葉るり> トリップのパスワード？元にした文字列が同じなら被ることもあるかもしれませんね！ちなみにおっぱいとかああいうトリップは公開トリップと言って公開されているものも多数存在しますけど   (2024/10/15 02:54:38)

栞葉るり> ……トリップの文字列をコピーして検索すると、過去の悪事だとかバレる、なんてこともあるかもしれませんね。これは犬の戯言だと思ってください♪   (2024/10/15 02:55:30)

エロガキ♂19b ◆> なるほどねぇ、、いや別で利用してる部屋で全く同じトリップの人がおったからさ、気になったんやけどそういうことね   (2024/10/15 02:55:36)

エキドナ ◆> 同じ人だろうね、公開分以外なら   (2024/10/15 02:56:05)

栞葉るり> なので、本人と示すためのトリップでしたら被ることのないような文字列を設定したほうが個人の証明になるかもしれません   (2024/10/15 02:56:51)

エロガキ♂19b ◆> トリップ変えようかな...うーん..同じ人がだいぶやらかしてそうな人っぽいからさぁ、、変えた方がいいか   (2024/10/15 02:57:33)

エロガキ♂19b ◆> みんなきっと色とプロフで気づいてくれると信じて..   (2024/10/15 02:57:55)

エキドナ ◆> 今理解出来たよ、どうも頭が働いてるようで眠っているのかもしれないね、、   (2024/10/15 02:58:10)

エロガキ♂19b ◆> ちょっと変えてくるねー   (2024/10/15 02:58:31)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/15 02:58:38)

エキドナ ◆> キミのプロフは簡潔でそしてそこなのが残念だと記憶してるよ。   (2024/10/15 02:58:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 02:59:08)

エロガキ♂19b ◆> こんな感じか、、プロフに関しては、、許して...   (2024/10/15 02:59:33)

エキドナ ◆> (賑やかな彼女が嫌に静かになったかな、、)   (2024/10/15 03:00:50)

