/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 13時14分 ～ 2024年10月15日 21時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

雪花ラミィ> おやつ食べ終わったら遊ぶ？遊ぶかい？（）   (2024/10/15 13:14:41)

エロガキ♂13HL ◆> …お邪魔じゃないなら♪   (2024/10/15 13:15:13)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/15 13:16:03)

エロガキ♀15kb> どうも～こんにちは～　今日は思いっきり不発でちょっと不満だったNotカービィです。もぉ、最近ラミィさんたちとだべってるけど遊べてないので～イジめられるか、いじめてください♡   (2024/10/15 13:16:14)

エロガキ♂14C ◆> 3 連 敗   (2024/10/15 13:16:19)

エロガキ♂14C ◆> （ﾋﾞﾀﾞｧﾝ）   (2024/10/15 13:16:34)

エロガキ♂13HL ◆> おかえり♪そういう日もあるよ〜   (2024/10/15 13:16:57)

エロガキ♂14C ◆> ヒント:昨日からの総算 そんなわけで出戻りです。改めてこんにちは。   (2024/10/15 13:17:50)

エロガキ♂13HL ◆> 多分ここにいるガキくん達はみんなでは無いにしろほぼほぼ遊びに行ったけど不発だった勢ですね♪(おなじく)   (2024/10/15 13:18:43)

エロガキ♂13HL ◆> 見てたけどクラリスお姉ちゃん強くなってるね〜(うんうん)   (2024/10/15 13:19:10)

エロガキ♀15kb> そして、お帰りなさいというところでしょうか……？   (2024/10/15 13:20:21)

エロガキ♂14C ◆> ただいまです、もう負け続けです。15ねーさんはさっきぶりです（ボロボロ）   (2024/10/15 13:20:56)

エロガキ♀15kb> 先日は、うなじとワキペーくらいで……こぉもっとビクンビクンしたいのでラミィさん、いじめるかいじめられるか選んでください！   (2024/10/15 13:21:21)

エロガキ♀15kb> ある意味、仮面取ればとも言えますが……仮面は1対1だと外すのにためらう…（主に勝った場合に動きができないから！   (2024/10/15 13:22:31)

エロガキ♂14C ◆> ラミィおねーさんも比較的罰ゲーム優しいからねー……優しい同士組んじゃうと勝った時大変そーだよね（ずずず）   (2024/10/15 13:23:42)

エロガキ♂13HL ◆> kbお姉ちゃんにもいつか続きをしないとだしね〜…？(にこっ)…   (2024/10/15 13:23:50)

エロガキ♂13HL ◆> まぁそれはそう…勝ったとしても僕もどっちかと言うと優しめだからな〜   (2024/10/15 13:24:26)

エロガキ♀15kb> 最近、見てるとHL君、すっかり受けメス属性発動してないですか？（アタシ、なんだかんだ受け寄りなんですよ？ですよ？   (2024/10/15 13:24:43)

エロガキ♂14C ◆> （なんか13HLくんがウェークアップしとるんだが）   (2024/10/15 13:24:44)

エロガキ♂13HL ◆> んーあー元々責め属性の方が少なめだから…可愛がられたり甘やかされたりする方が好きだからねー？…メスはないよー！？…(まぁそれでもキャラ崩壊起こしてもいいなら意地悪く責めもしますけど…！)   (2024/10/15 13:26:55)

エロガキ♂13HL ◆> (14Cくん…まだ大丈夫です！)   (2024/10/15 13:27:14)

