/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月16日 16時10分 ～ 2024年10月17日 00時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> まぁいいや、それじゃあまた暇潰しにくるなー。   (2024/10/16 16:10:46)

エロガキ♂12Ω ◆> ばーい。   (2024/10/16 16:10:48)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/16 16:10:56)

おしらせ> フェルンさんが退室しました。  (2024/10/16 16:10:58)

エロガキ♂18D ◆> ええ、またです。お二方、お疲れ様でした。   (2024/10/16 16:11:11)

エロガキ♂18D ◆> 少々タイミングが悪かったようですね…仕方がありませんね、時間潰しに画面と向き合いましょうか…   (2024/10/16 16:12:23)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/16 16:12:28)

エロガキ♂13HL ◆> みなさんお疲れ様でした〜……！   (2024/10/16 16:12:41)

エロガキ♂13HL ◆> また人が増えた時に来ましょうかね〜お疲れ様でしたー   (2024/10/16 16:13:13)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/16 16:13:14)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/16 17:41:54)

エロガキ♂18D ◆> ふーっ…何とか終わりましたね……誰が来るか、分かりませんが、とりあえず待つといたしましょうか……   (2024/10/16 17:42:44)

エロガキ♂18D ◆> また来ます   (2024/10/16 17:52:24)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/16 17:52:27)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/16 19:00:48)

シャーロット・レイス ◆> こんばんは   (2024/10/16 19:00:56)

シャーロット・レイス ◆> そのうち誰かは来るでしょうね。   (2024/10/16 19:03:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/16 19:10:45)

エロガキ♂14C ◆> こんばんは。この時間だと人の出入りも少ないみたいですね。   (2024/10/16 19:11:17)

シャーロット・レイス ◆> こんばんは   (2024/10/16 19:12:52)

シャーロット・レイス ◆> まあ、そうみたいね。本当に静かなのよね。   (2024/10/16 19:13:16)

エロガキ♂14C ◆> でも、なんだかんだゲーム部屋に行ったりしたらいきなり人が増えそうな気もしますね。僕じゃなくておねーさんが、ですけど。   (2024/10/16 19:14:39)

シャーロット・レイス ◆> まあ、…三人までならぎり対応は可能だけど…   (2024/10/16 19:16:12)

エロガキ♂14C ◆> 出来るもんなんですね……。それはそれですごいなあと、尊敬しちゃうのでした。   (2024/10/16 19:17:12)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/16 19:18:34)

シャーロット・レイス ◆> でもね。相手がたまに変なふうになってしまう時もあるからね。複数は少しの思いやりないと変にはなるから   (2024/10/16 19:18:41)

エロガキ♂13HL ◆> こんばんは〜♪(ぺこり)   (2024/10/16 19:18:41)

シャーロット・レイス ◆> こんばんは   (2024/10/16 19:19:07)

エロガキ♂14C ◆> 13HLくんこんばんはー   (2024/10/16 19:19:33)

エロガキ♂13HL ◆> シャーロットお姉ちゃん…複数で責められるのが好きと…。(唐突に聞こえてきた複数の対応という言葉を聞き間違てメモメモ)   (2024/10/16 19:19:54)

エロガキ♂14C ◆> あー、確かにそれはそうかもですね。それを受け止める側になるおねーさんはすごく大変でしょうし。   (2024/10/16 19:20:04)

エロガキ♂13HL ◆> 14Cくんこんばんは〜！   (2024/10/16 19:20:05)

エロガキ♂13HL ◆> 複数をできる方は素直に尊敬に値しますね   (2024/10/16 19:20:24)

エロガキ♂14C ◆> そーいうのもあるから、シャーロットおねーさんに関わらず遊んでみたいおねーさんがいても、既に先入りが多いと見送ることも多々ありだったり。   (2024/10/16 19:21:17)

エロガキ♂13HL ◆> 14C君の言ってるのわかる…。そういうことも稀にあるよね〜仕方なし   (2024/10/16 19:22:16)

シャーロット・レイス ◆> 何にせよ。ちゃんと決めておかないと複数やるときは、こうゆうのが起こるからね。必ず   (2024/10/16 19:24:29)

おしらせ> エロガキ♂16Tさんが入室しました♪  (2024/10/16 19:25:21)

エロガキ♂16T> こんばんは～   (2024/10/16 19:25:34)

シャーロット・レイス ◆> こんばんは   (2024/10/16 19:25:39)

エロガキ♂13HL ◆> こんばんは〜♪   (2024/10/16 19:25:45)

エロガキ♂14C ◆> こんばんはー。   (2024/10/16 19:25:49)

エロガキ♂16T> シャーロットお姉さんは複数にされたいのか…(ニヤニヤ)   (2024/10/16 19:26:20)

エロガキ♂14C ◆> そんなわけで僕はおねーさんたちを困らせない程度に好き放題するをモットーにします！好き放題してる時点で、とかエロガキのくせにとか言わないでね！   (2024/10/16 19:26:30)

エロガキ♂16T> 相手を困らせないのは基本だよね～   (2024/10/16 19:27:08)

シャーロット・レイス ◆> そうね。されたいのはあるわね。(胸を持ち上げて見せて)   (2024/10/16 19:27:13)

エロガキ♂14C ◆> （またこのおねーさん挑発してる…）   (2024/10/16 19:27:31)

エロガキ♂16T> うわっ…シャーロットお姉さんのおっぱい…すごいボリューム感…(挑発されてるな…じろじろ)   (2024/10/16 19:27:53)

エロガキ♂13HL ◆> されたいのはあったのですね……って最初あった時より…えっちな雰囲気出すようになりました…？(こんな素直に言ってくれるタイプだっけ……？挑発やばいねー)   (2024/10/16 19:28:32)

エロガキ♂14C ◆> もう1人くらい乗り気なおねーさんいるならゲームしに行きません？ってお誘いしたいくらいなんだけどねー。   (2024/10/16 19:28:45)

