/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 01時35分 ～ 2024年10月18日 07時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、私のお仕事は済ませたよ〜(レスポンス鈍い…。)   (2024/10/18 01:35:32)

シラベドンナ> ちんちんがあることには違いないがね！（例外からは目を背けつつ）   (2024/10/18 01:35:59)

エロガキ♀15kb> え？（自分の下腹部パンパン……ない、ない！   (2024/10/18 01:36:40)

エロガキ♂19b ◆> ほんとこの人チンチン好きだな...   (2024/10/18 01:36:40)

シャーロット・レイス ◆> 腰を痛めるのは危ないですからね。   (2024/10/18 01:36:56)

胡桃 ◆> 騎乗位も危ないよね…(？)   (2024/10/18 01:37:13)

エロガキ♀15kb> そういえば、シャーロットさんとかシラベさんって、メスガキはご自分で相手するって意味でありなんでしょうかね？なしなんでしょうか？   (2024/10/18 01:37:26)

エロガキ♂19b ◆> 今日8発だったからな...まだできるけど、休憩は必要～   (2024/10/18 01:37:43)

シャーロット・レイス ◆> そうですね。私の中では、ありですけど。   (2024/10/18 01:41:03)

シラベドンナ> 私はそういったケースもシミュレーションしているよ！   (2024/10/18 01:41:23)

エロガキ♀15kb> あ、じゃぁシャーロットさんは勝負しても全然OKっと……あ、シラベさんもなんだ。というか、現状いままででダメな人、ガキ側で違くない？って言いに来たキリ見かけない人はいても、通ってる方でまだあってないかも？   (2024/10/18
01:42:29)

胡桃 ◆> そもそもさ、エロガキなら女の子も含まれない？(それが言わゆるメスガキに当たると思うし。)   (2024/10/18 01:44:31)

エロガキ♀15kb> あー、一応同性NGの人もいなくはないかな～と……つ、常に自分が異常でないかを一度考えているといいますか……あ、あはは   (2024/10/18 01:45:27)

胡桃 ◆> キタ…kbちゃん！！   (2024/10/18 01:45:48)

エロガキ♀15kb> いえ、ここでは普通にキタちゃんでいいですよ！？   (2024/10/18 01:46:08)

シャーロット・レイス ◆> そこは、人によりけりになるかとは思いますよ。(ここの人は変にこじらせる人はいないと思いますが。)   (2024/10/18 01:47:06)

胡桃 ◆> 配慮(？)ある子で私は嬉しい、悩んでたりしたら遠慮なく私を頼ってもいいよー？(突然目が冴えた、後ろからそっと抱き着いて。ない胸頑張って押し付けながら頭撫でり。)こういう場だと、いろんな悩み抱えるよね〜…   (2024/10/18
01:47:38)

胡桃 ◆> (さっきまで寝掛けてたのに凄くない？やっぱり私は罪な堂主だよ。)   (2024/10/18 01:48:22)

シラベドンナ> 性別に限らず皆何かしらＮＧとＮＧ要素を持つものだと思うけれど、そのあたりは擦り合わせて上手いこと解決するから気にしないでもいいんじゃあないかな！   (2024/10/18 01:48:50)

エロガキ♀15kb> いえ、ほら、アタシこのスタイルが出来るとはいえ、やっちゃうノンデリ系だったりなので……その（メスガキ、ある意味実行に移しても、定着するのがアタシと、Σちゃん？だったかくらいで）   (2024/10/18 01:48:54)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/18 01:49:16)

胡桃 ◆> 楽しめるのが一番だけど、楽しむのに我を通し過ぎた結果本末転倒になるってことだけなければ私はいいかな〜？   (2024/10/18 01:49:28)

胡桃 ◆> 犬！(こら。)   (2024/10/18 01:49:34)

シャーロット・レイス ◆> 胡桃さんは本当に寝なくて大丈夫なの。しっかり寝ないと   (2024/10/18 01:49:48)

エロガキ♀15kb> なので、人と違うことしている自覚は常に持っておきたいな～というか……アタシの場合、生えてる人も、男の娘もぜんぜんOKだし……その辺、自分がどの程度ずれてるのか、常にある程度観測しておきたいというか……でして？   (2024/10/18
01:49:49)

栞葉るり> シグマといえば……ﾀｲﾁｮｳ！ｵｶﾗﾀﾞﾉﾎｳﾊ(岩マンX)   (2024/10/18 01:49:59)

エロガキ♀15kb> そ、そうですよ！胡桃さんはよく寝ないと大きくなれないですよ！   (2024/10/18 01:50:10)

栞葉るり> ご機嫌麗しゅう〜   (2024/10/18 01:50:15)

エロガキ♂19b ◆> こんばんは～   (2024/10/18 01:50:32)

エロガキ♀15kb> どうも、るりさん　委員長とご一緒した時以来？   (2024/10/18 01:50:38)

