/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 07時34分 ～ 2024年10月19日 00時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> 優しい先生でも居眠りしたらそりゃ怒る   (2024/10/18 07:34:14)

エロガキ♂19b ◆> 結構完成度の高いパックマン作って提出したのに！！許してくれよぉ！   (2024/10/18 07:34:34)

エロガキ♂18Z> 先生「君ならもっと高みに行けるはずだ。だから許さん」かもしれない   (2024/10/18 07:35:48)

エロガキ♂16r> どっちのパックマンかわからんけど壁走とかさせたらいいんじゃない？()   (2024/10/18 07:36:49)

エロガキ♂19b ◆> 適当なこといいやがって！！　アーケード番のパックマンの   (2024/10/18 07:37:01)

エロガキ♂19b ◆> 方   (2024/10/18 07:37:04)

エロガキ♂16r> あー、なんかを食べつつフルーツ集めるほうね   (2024/10/18 07:37:17)

エロガキ♂16r> あの黄色い粒の名称知らないのよね   (2024/10/18 07:37:47)

エロガキ♂18Z> 先生「今流行りのAPEX？それを目指して頑張るんだ」(鬼先生)   (2024/10/18 07:38:29)

エロガキ♂19b ◆> そういうこと～、、ゴーストのAI作るのが一番しんどかった...   (2024/10/18 07:38:34)

エロガキ♂19b ◆> エペはもう衰退しましたよ先生   (2024/10/18 07:38:44)

エロガキ♂18Z> お疲れ様だなぁ…   (2024/10/18 07:38:49)

エロガキ♂16r> まぁ、衰退しただけで終わってないから()   (2024/10/18 07:39:17)

エロガキ♂18Z> 先生「なんだと…なら、ムシキングなら大丈夫…だよな？」(古い)   (2024/10/18 07:39:33)

エロガキ♂19b ◆> どれだけ古い先生なんだよ！！   (2024/10/18 07:40:10)

エロガキ♂18Z> まあ、ヴァロラントの方が面白いしね(ぐでーん)   (2024/10/18 07:40:21)

エロガキ♂16r> 先生「ならばスーパーマリオ(ファミコン版)だ」   (2024/10/18 07:40:25)

エロガキ♂19b ◆> 個人的マイブームはガンダム   (2024/10/18 07:40:56)

エロガキ♂18Z> 先生「64マリオでも構わないぞ」   (2024/10/18 07:40:57)

エロガキ♂18Z> サンダーボルト漫画で見てるな〜   (2024/10/18 07:41:21)

エロガキ♂16r> ガンダムは止まってるなぁ   (2024/10/18 07:41:41)

エロガキ♂19b ◆> バトルオペレーション2っていうゲームがあってな   (2024/10/18 07:41:44)

エロガキ♂19b ◆> 無料でできる神ゲーなんや   (2024/10/18 07:41:56)

エロガキ♂19b ◆> サンダーボルトすきなら、アトラスやサイコザク、アッガイ軍団もおるぞ   (2024/10/18 07:42:35)

エロガキ♂19b ◆> パフェガンもいる(最強)   (2024/10/18 07:42:58)

エロガキ♂16r> ほむ   (2024/10/18 07:43:15)

エロガキ♂18Z> 先生「だが、先生はガンダムオンラインが好きなんだ」(古い)   (2024/10/18 07:43:30)

エロガキ♂19b ◆> なんと！三ガンダムもペーネロペーもいます！   (2024/10/18 07:44:07)

エロガキ♂18Z> バトオペ2はねー。よくゲルルグとドムとザクをよく使ってた〜   (2024/10/18 07:44:26)

エロガキ♂16r> 全くわからん   (2024/10/18 07:44:41)

エロガキ♂19b ◆> 皆大好きユニコーンもいるし基本的にはなんでもいるぞ！   (2024/10/18 07:45:07)

エロガキ♂18Z> まあ、要は俺TUEEEEなガンダムがいるって話だね   (2024/10/18 07:45:13)

エロガキ♂16r> なるほどね   (2024/10/18 07:45:27)

エロガキ♂18Z> でもガンダムオンラインの方が機体種類豊富だったから終了したのかなちい   (2024/10/18 07:46:15)

エロガキ♂19b ◆> まぁ、有名なのをあげたからモブ機体もいっぱいある   (2024/10/18 07:46:17)

エロガキ♂18Z> ヒルドルブとか？   (2024/10/18 07:46:41)

エロガキ♂19b ◆> いるよ   (2024/10/18 07:46:48)

エロガキ♂18Z> オッゴ←   (2024/10/18 07:46:59)

エロガキ♂16r> わからん()   (2024/10/18 07:47:06)

エロガキ♂18Z> マイナーだからねぇ(多分)   (2024/10/18 07:47:23)

エロガキ♂19b ◆> 戦車って思ってくれればええよ   (2024/10/18 07:47:35)

エロガキ♂18Z> あ、そろそろ支度をしなければ…   (2024/10/18 07:48:02)

エロガキ♂16r> おっけ   (2024/10/18 07:48:18)

エロガキ♂16r> てらさい   (2024/10/18 07:48:20)

エロガキ♂18Z> では〜、一旦お疲れ様です〜(シュバババ)   (2024/10/18 07:48:21)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/18 07:48:28)

エロガキ♂19b ◆> お疲れさま～   (2024/10/18 07:48:38)

エロガキ♂19b ◆> おれもちょっと勝負部屋いってくるね～、超高確率で戻ってくるけど！   (2024/10/18 07:53:59)

エロガキ♂19b ◆> またね～   (2024/10/18 07:54:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/18 07:54:07)

エロガキ♂16r> いってらー、俺も行こうかなー   (2024/10/18 07:54:10)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/18 07:55:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/18 09:19:54)

エロガキ♂19b ◆> のんびりとお話ししてくれる人は来るかねぇ   (2024/10/18 09:21:40)

エロガキ♂19b ◆> お邪魔しました！！   (2024/10/18 09:36:56)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/18 09:36:59)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 12:22:38)

エロガキ♂14C ◆> なんやかんやで気がつけばお昼時だね、こんにちはー。最近お昼時にも一戦やってることがあるから行ってみようかどうかと考え中。   (2024/10/18 12:23:24)

エロガキ♂14C ◆> そーいや居酒屋店主風邪引いてるって昨日ログで見かけたっけか。季節の変わり目の風邪は厄介だからちゃんと休養して欲しいけど……酒も薬、なんて言って飲んでる所しか想像出来ないの……うーん……   (2024/10/18 12:25:25)

エロガキ♂14C ◆> 実際急に冷えてきたもんねー。いよいよ人肌恋しい季節ってやつだよね。僕は年がら年中人肌恋しいけど（？）   (2024/10/18 12:27:01)

エロガキ♂14C ◆> そんなわけでまた頃合見計らって来てみるねー。   (2024/10/18 12:27:36)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 12:27:39)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/18 13:11:56)

胡桃 ◆> お昼から勝負…皆元気だね〜。   (2024/10/18 13:13:05)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/18 13:14:43)

胡桃 ◆> いらっしゃーい！   (2024/10/18 13:14:59)

エロガキ♂18Z> こんにちは〜。いやー、勝負羨ましい(ノソノソ)   (2024/10/18 13:15:16)

胡桃 ◆> こればっかりはタイミングだったりするからねー…仕方ないと言ったら仕方ないよ。   (2024/10/18 13:15:52)

エロガキ♂18Z> そうですよね〜。まあ、何回か待機したら何時かは勝負ができたりしますし、のんびりが良いですね〜   (2024/10/18 13:16:46)

エロガキ♂18Z> (昨晩みたいなオーバーキルされたら逆に気持ちいいからされたい人)   (2024/10/18 13:17:33)

胡桃 ◆> (もしかしてマゾなの？って堂主は目を細めた。)   (2024/10/18 13:18:11)

エロガキ♂18Z> (勝負事でオーバーキルされたら悔しい気持ちよりも気持ちいい気持ちが勝るから！マゾではない！って弁明)   (2024/10/18 13:19:43)

胡桃 ◆> 冗談は置いといて…普段勝負する時は別の子でするんだっけ？   (2024/10/18 13:20:57)

エロガキ♂18Z> ですね〜。ただショタ練習でしてる感じなのでこの皮でも勝負はするかなーと？一先ずは気分で使い分けていこうかなと〜   (2024/10/18 13:22:31)

胡桃 ◆> ショタ(高身長)君もいるし、もうエロガキ君たちは名称だけの概念だよね…。気分による使い分け…攻めたい時と、甘えたいとか攻められたい時で変えるってことかな。   (2024/10/18 13:24:47)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/18 13:25:00)

エロガキ♂13HL ◆> ふぁ……おはようございます(ぺこっ)   (2024/10/18 13:25:16)

胡桃 ◆> 昨日はお楽しみだった子だ、こんにちは。   (2024/10/18 13:25:33)

エロガキ♂13HL ◆> ん？昨日そんなにお楽しみだっけ……？   (2024/10/18 13:26:38)

エロガキ♂18Z> まあ、概念ではあるかもしれない…。それに近いかもしれませんねー。ショタで甘えるみたいなのはしたことが無かったので初めてなりに色々模索をしながらしてる感じー。この皮なら好きにできるしね……(挿入の関係上)   (2024/10/18
13:27:01)

エロガキ♂18Z> こんにちは〜   (2024/10/18 13:27:05)

胡桃 ◆> 気のせいかなー？まぁ私はどっちでもいいんだけどね。   (2024/10/18 13:28:15)

エロガキ♂13HL ◆> ふふっ…楽しめましたよーって…胡桃ちゃんからするとどっちでもよかったのか〜。そちらも中々にねー？   (2024/10/18 13:29:28)

胡桃 ◆> 実際甘えてきて無条件に可愛いのはやっぱり歳も下で…小柄な子なのかな…。(確かに15前後位から下の子は甘え傾向？)   (2024/10/18 13:29:55)

胡桃 ◆> 私はねー…昨日は恥をかかされただけだよ！(皆にちやほやされてた。最後以外は！)   (2024/10/18 13:30:30)

エロガキ♂13HL ◆> それはそれは♪(後でチラ見したけど……最後凄かったね〜)   (2024/10/18 13:31:04)

エロガキ♂18Z> 小動物が甘えてきたら可愛いのと一緒ですよね〜(まあ、ショタチンの皮を剥かせる為に作ったとは言えない)   (2024/10/18 13:31:17)

エロガキ♂18Z> ハーレムでしたよね…   (2024/10/18 13:31:36)

胡桃 ◆> 勝ったのに対象私になってるの変じゃない！？   (2024/10/18 13:33:07)

エロガキ♂13HL ◆> まぁそれだけみんなから愛されてるんですよ〜胡桃ちゃん♪よかったじゃないですか！(にこっ)   (2024/10/18 13:34:04)

エロガキ♂18Z> 日頃からお疲れ様だったですしねー。慰労だと思えば良いかも？   (2024/10/18 13:34:30)

胡桃 ◆> 私は皆に気を遣わせすぎって思ったけどね〜…あれはあれで楽しかったけどさ…   (2024/10/18 13:35:06)

エロガキ♂18Z> (楽しかったなら定期的にハーレム堂主を開催するしかない)   (2024/10/18 13:35:44)

胡桃 ◆> (開催しなくていいから。護摩杖で軽く額をぺし。)   (2024/10/18 13:36:08)

エロガキ♂18Z> あふん(たんこぶが出来てしまい)   (2024/10/18 13:36:48)

エロガキ♂13HL ◆> 胡桃ちゃんともまた対戦しなきゃですね…。最近は相談事とかでしか連れ込まれてない(申し訳ない状態)   (2024/10/18 13:37:09)

エロガキ♂18Z> 自分もバトルしてない方はバトルをしていきたい所ではありますね〜。   (2024/10/18 13:37:46)

胡桃 ◆> それはお誘いの言葉かなって思ったけど、今はやめておこうかな。私は不定期に顔を出すことにしたよ。(個室の件は黙っておくけど。)   (2024/10/18 13:38:48)

エロガキ♂18Z> ふむふむ〜   (2024/10/18 13:39:15)

エロガキ♂18Z> 逆に不定期で対戦出来たらめちゃくちゃラッキーになりそうですね   (2024/10/18 13:39:49)

エロガキ♂13HL ◆> お誘いの言葉の意味も若干含んでましたよーって…不定期…レアキャラみたいでいいかも…！   (2024/10/18 13:40:12)

エロガキ♂18Z> 運気上昇待ったナシ…！   (2024/10/18 13:40:56)

胡桃 ◆> あまりいついつに来るよって言ってもさ、その時間狙ってスケジュール調整とかしてまで来る人がいても困るし(対戦できてない子には申し訳ないけどね？)   (2024/10/18 13:41:19)

エロガキ♂13HL ◆> ふむふむなるほどですね……   (2024/10/18 13:43:16)

胡桃 ◆> 13HLくんは反応悪くなるタイミングかな？   (2024/10/18 13:43:39)

エロガキ♂18Z> スナイプはゲームでもそうですけど、される側からしたら何かね〜。ってなりますしね〜   (2024/10/18 13:43:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/18 13:43:52)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 13:43:52)

エロガキ♂14C ◆> （すかすかっ）   (2024/10/18 13:44:03)

