/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 06時26分 ～ 2024年10月19日 11時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂14Y ◆> アカネは余んないだろ、オレなんか即指名するだろうし   (2024/10/19 06:26:22)

エロガキ♂15KS> もしくはお前に◯万課金してるんだからエロいことさせろ！みたいな。   (2024/10/19 06:26:38)

星 ◆> ひどいキャバ客みたい。   (2024/10/19 06:26:57)

エロガキ♂19b ◆> 草   (2024/10/19 06:27:06)

胡桃 ◆> 星のそれは正論…(目逸らし。)同数でも同じこと言う人二人いたらその時点でグダるからね〜…。   (2024/10/19 06:27:07)

エロガキ♂18D ◆> 被るとめんどくさくなる(個人的感想)から誰でもいいは事実なんですよねぇ……   (2024/10/19 06:27:09)

エロガキ♂14Y ◆> オレはそこらへんメンドイから、基本的に何も考えずに即決めしてんな   (2024/10/19 06:27:16)

エロガキ♂14Y ◆> 被ったらサイコロでいいべ…   (2024/10/19 06:27:35)

エロガキ♂18D ◆> ちょっと笑った＞キャバ客   (2024/10/19 06:27:48)

エロガキ♂15KS> 誰でもいい。って結局他人任せだもんね～。   (2024/10/19 06:27:54)

星 ◆> めんどくさくなるからって避けた結果めんどくさくなってちゃ意味ないんじゃ……？   (2024/10/19 06:28:13)

エロガキ♂15KS> 其処まで言うならうちは！このダイスで決めるぜ！って1d2とかでも用意して決めちゃえばいいんだ。   (2024/10/19 06:28:14)

胡桃 ◆> 番号についてはゲーム部屋のログから拾うしかないね。多人数の時はサイコロ振り始める前に、エロガキ側と版権側で誰が順に来たかを纏め書きしちゃうのも手では…(ううん、手間がかかる。)   (2024/10/19 06:29:00)

エロガキ♂15KS> ちなみに最近の超課金は雲璃ちゃんです…けど、多分サンデーお兄様が上書きする…。オスにチンポは入らないのに…。   (2024/10/19 06:29:28)

エロガキ♂18D ◆> 確かに……それはそうですが…自我出しすぎるとなんだこいつってなりそうで…自分がめんどくさいですね、これ   (2024/10/19 06:30:04)

エロガキ♂19b ◆> 雲璃.....っは！！   (2024/10/19 06:30:07)

胡桃 ◆> 指名制はさー…あまり言いたくないけど、単純に指名した人取れなかった時に露骨に対応悪くなる人とが出ないかって心配も私にはあったり…(気を遣いすぎ？)   (2024/10/19 06:30:10)

新条アカネ> 困ったらダイス、基本は磯野ーえっちしよーぜーぐらいの軽いノリで誘った方が却ってスムーズにいくわけかぁ   (2024/10/19 06:30:10)

胡桃 ◆> アカネさんのそれは多分真理だよ(真顔。)   (2024/10/19 06:30:34)

星 ◆> やっぱり人数が多いならエロガキは移動次第ダイス振って高い人から或いは勝負部屋入室順に指名。「誰でもいい」「譲る」はナシでいいと思うよ、というかそれで一旦やってよ。上手く回らなかったらその時考えるから。   (2024/10/19 06:30:43)

星 ◆> 胡桃が。   (2024/10/19 06:30:45)

エロガキ♂15KS> ふーたお堂主の言う通り、選ばれなかった……ってことを気にする人がいないとは断言出来ないんだよね～…。   (2024/10/19 06:30:54)

胡桃 ◆> さっすが星……うん？(一瞬頼れる〜！って思った私を返して！)   (2024/10/19 06:31:15)

新条アカネ> 胡桃ちゃんもそう言うんなら、なるべくそーしてみよ♪   (2024/10/19 06:31:16)

エロガキ♂18D ◆> (流れるような責任転嫁…美しすぎる)   (2024/10/19 06:31:20)

エロガキ♂19b ◆> やっぱり指名制度は滅びるべきなのです！！   (2024/10/19 06:31:28)

エロガキ♂15KS> そうそう。アカネちゃんの言う通り。そもそも手軽にダイスして、手軽に女の子誘って、手軽にちんぽっぽしたり反逆のルルーシュされるお部屋…だよね？   (2024/10/19 06:31:37)

胡桃 ◆> よーし！私は脱指名制を……とりあえず試験的にやってみるね(自信ないから結局暫定処置。サイコロはサイコロに任せるんだよ！)   (2024/10/19 06:32:04)

エロガキ♂15KS> わーわー（拍手。）   (2024/10/19 06:32:15)

星 ◆> 勿論その時は私も一緒に考えるから。ね、胡桃。（ポイント稼ぎの開拓者、）   (2024/10/19 06:32:17)

エロガキ♂19b ◆> 手軽に30分ぐらい合法的に女の子とパコパコできるからねぇ   (2024/10/19 06:32:19)

胡桃 ◆> 私は出来る堂主だからね…テレパシーなんて御茶の子さいさいだよ〜？＞エキドナさん。   (2024/10/19 06:32:50)

星 ◆> 理路整然としたことを語ったせいで変な発作が出てきた。ホタルの髪を食べたい。   (2024/10/19 06:32:57)

エロガキ♂14Y ◆> 色々試していきましょかー(あんま気負わずにね、部屋主さん)   (2024/10/19 06:33:02)

エロガキ♂15KS> ホタルのスカートをめくる風になりたい…。   (2024/10/19 06:33:24)

新条アカネ> ルルーシュって聞いたからギアスかけて催眠プレイでもするのかな？と一瞬思っちゃったよ、あはは♪   (2024/10/19 06:33:38)

胡桃 ◆> 星は顔がいいから狡くない…？(ポイントはあげるけど。あとホタルさんの髪はできないけど。)   (2024/10/19 06:33:51)

クラリス ◆> やっていいのはやられる覚悟のあるやつだけ？   (2024/10/19 06:34:08)

エロガキ♂18D ◆> 試行錯誤してより良くしていければいいですね…協力は惜しみませんので。(星さんのその発作は大丈夫なのか…？大丈夫なんだろう)   (2024/10/19 06:34:11)

星 ◆> でしょ。（にしし、と笑って。）   (2024/10/19 06:34:11)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 06:34:17)

エロガキ♂15KS> 今回は雑談部屋にお邪魔したけど、ゲームする時はそのぐらいのゆるさで誰かと遊ばせてもらえると嬉しいなー。と思いつつ…。ルールも見とかなきゃ。   (2024/10/19 06:34:38)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 06:34:50)

星 ◆> （キャラ変更ボタンだ！）   (2024/10/19 06:34:51)

エロガキ♂18D ◆> 行ってらっしゃいませ、堂主…？   (2024/10/19 06:34:53)

新条アカネ> それは真理…だね   (2024/10/19 06:34:56)

エロガキ♂19b ◆> そんな難しいルールじゃないから大丈夫よ～   (2024/10/19 06:34:58)

エロガキ♂15KS> 旅人ォ！   (2024/10/19 06:35:10)

エロガキ♂18D ◆> (戻ってきた～～！！！)   (2024/10/19 06:35:11)

蛍 ◆> (胡桃にホタル違いでお願いって、押し出されてきた旅人はこちら。)   (2024/10/19 06:35:23)

