/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 11時13分 ～ 2024年10月19日 13時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13 ◆> おやすみ〜   (2024/10/19 11:13:58)

星 ◆> （試運転してみて違うってなったのかな……、）   (2024/10/19 11:14:00)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 11:14:05)

エロガキ♂13 ◆> (でも試運転って大事…！)   (2024/10/19 11:14:27)

エロガキ♂18Z> おやすみなさい〜   (2024/10/19 11:14:31)

蛍 ◆> その前に一つだけ。13君はアルファベット何か決めておいで？(言い忘れてた。)   (2024/10/19 11:14:38)

エロガキ♂13 ◆> はっ…！   (2024/10/19 11:14:45)

エロガキ♂13 ◆> ごめ〜ー！！   (2024/10/19 11:14:53)

おしらせ> エロガキ♂13 ◆za77rifW.Yさんが退室しました。  (2024/10/19 11:14:55)

蛍 ◆> またね。(2度目のお手振り。)   (2024/10/19 11:14:58)

おしらせ> エロガキ♂13M ◆za77rifW.Yさんが入室しました♪  (2024/10/19 11:15:08)

蛍 ◆> (いい子だなぁって。)   (2024/10/19 11:15:11)

おしらせ> サーニャさんが入室しました♪  (2024/10/19 11:15:16)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 11:15:17)

エロガキ♂18Z> お疲れ様ですとおかえりー   (2024/10/19 11:15:17)

サーニャ> (こんなもんっすよ。俺は)   (2024/10/19 11:15:35)

星 ◆> ドア付近が大変混雑しております、（アナウンス、）   (2024/10/19 11:15:42)

エロガキ♂13M ◆> 教えてくれてありがと、蛍お姉さん！またね〜   (2024/10/19 11:15:50)

エロガキ♂18Z> 出会い頭の衝突に注意…   (2024/10/19 11:16:07)

サーニャ> (そんだけっすわ。じゃあ改めて〜/いちごミルク吸い、)   (2024/10/19 11:16:22)

おしらせ> サーニャさんが退室しました。  (2024/10/19 11:16:29)

エロガキ♂13M ◆> おつかれにゃ〜   (2024/10/19 11:16:47)

星 ◆> ………あ、もしかして私に言ってた？   (2024/10/19 11:16:53)

栞葉るり> わたくし、ガチ外ですよ？天気悪いので朝兼お昼ごはん済ませて、食料買って引きこもろうかな、と…   (2024/10/19 11:17:10)

エロガキ♂13M ◆> じゃない？たぶん星お姉さんに言ってたと思う？   (2024/10/19 11:17:35)

エロガキ♂19b ◆> 俺もいまそとー、なんならバイト先で買い物中..   (2024/10/19 11:17:49)

星 ◆> るりは……車に気を付けてね？（ピノコニーの車はガンガン轢いてくるからな、）   (2024/10/19 11:17:52)

エロガキ♂13M ◆> は、恥ずかしくないんかぁぁ！？このワンさん！   (2024/10/19 11:18:01)

星 ◆> そっか、私か……。   (2024/10/19 11:18:08)

栞葉るり> (がん。よろけて立ち止まる犬)   (2024/10/19 11:18:11)

エロガキ♂13M ◆> シンプルに危ないよ！？   (2024/10/19 11:18:27)

エロガキ♂18Z> 引きこもり中〜(どや)   (2024/10/19 11:18:33)

エロガキ♂13M ◆> 歩きスマホだめ！めっ！です！   (2024/10/19 11:18:44)

栞葉るり> ぜんぜん？何か恥ずかしいことしてますか？なんかそういうデータとかあるんです？か   (2024/10/19 11:18:46)

星 ◆> （じゃあ、サーニャ……だっけ。しっくり来たならよかった、またね。伝言届け、）   (2024/10/19 11:18:50)

エロガキ♂18Z> 歩きスマホで事故はよくあるしねー   (2024/10/19 11:18:55)

栞葉るり> 歩いてはないですねぇ、今は。無言だと歩いてます！！   (2024/10/19 11:19:19)

エロガキ♂19b ◆> ほんと、歩きスマホはよくない～！   (2024/10/19 11:19:25)

エロガキ♂13M ◆> この部屋はないけど！ないけどさぁ…！(こっちが恥ずかしくなるよぉ…)   (2024/10/19 11:19:39)

エロガキ♂18Z> 止まってしてるならよし   (2024/10/19 11:19:43)

エロガキ♂13M ◆> とりあえず、気を付けて帰ってね？   (2024/10/19 11:20:09)

エロガキ♂18Z> 道端に転がっている小石に躓かないようにね〜   (2024/10/19 11:21:03)

星 ◆> （13Mとるりを交互に見て首を傾げた。るりの恥ずかしいショットがあるって聞いたんですけど、）   (2024/10/19 11:21:15)

エロガキ♂13M ◆> 今日のお昼どうしようっかにゃ〜   (2024/10/19 11:21:48)

栞葉るり> (恥ずかしいショットですか？ローアングル的な…)   (2024/10/19 11:21:55)

エロガキ♂13M ◆> (ん！？ない、ないよ！？アレ、ボクが会話ミスった！？ﾃﾝﾔﾜﾝﾔ)   (2024/10/19 11:22:51)

エロガキ♂18Z> お昼は天ぷらの予定〜   (2024/10/19 11:23:01)

星 ◆> るり、早く帰ってこないと私……寝ちゃうよ！？（謎の脅し部、）   (2024/10/19 11:23:04)

エロガキ♂19b ◆> ちょっと木材切るので離席するねー   (2024/10/19 11:23:29)

エロガキ♂18Z> えび天丼を作るんだ…   (2024/10/19 11:23:34)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 11:23:56)

エロガキ♂13M ◆> 天ぷらいいねぇ、海老好きぃ♡できれば、ぶっといヤツを口いっぱいに頬張りたいにゃあ♡   (2024/10/19 11:24:09)

エロガキ♂13M ◆> いってら〜   (2024/10/19 11:24:18)

星 ◆> （よくわからないけど私にはわからない何かがあるんだろう、拗ね星。）   (2024/10/19 11:24:25)

星 ◆> 18Z、私の分は？   (2024/10/19 11:24:37)

エロガキ♂18Z> えびは大きい方が良いよねー(言い方がちょっと卑猥に見えてしまった←)   (2024/10/19 11:24:52)

エロガキ♂18Z> え？エビの殻を出汁に使った味噌汁なら……(びくっ)   (2024/10/19 11:25:19)

エロガキ♂13M ◆> エビはプリプリな身のぶっといヤツに限るよ！うん！   (2024/10/19 11:25:56)

星 ◆> それも美味しいけど……？   (2024/10/19 11:26:01)

栞葉るり> エビは水に済んでる虫ですよ(友人談)   (2024/10/19 11:26:16)

星 ◆> なんと……？今回に限り……？   (2024/10/19 11:26:16)

エロガキ♂13M ◆> どうしよう…夕ご飯は焼き肉だから、あんまガッツリしたの食べたくない…   (2024/10/19 11:26:45)

エロガキ♂18Z> んねー。フライにしても良いし、唐揚げにしても良いしね〜。ぶっといエビ食いたい……｡   (2024/10/19 11:26:48)

栞葉るり> まぁでも陸上の虫よりは清潔感あるので抵抗感少ない人多いでしょうね！   (2024/10/19 11:26:57)

栞葉るり> 今から帰りますぅ〜。待っててくださいねぇ(ぽんぽん)   (2024/10/19 11:27:35)

エロガキ♂13M ◆> なんか前に、エビの尻尾は食うなって言われた。……ムシの殻だから？   (2024/10/19 11:27:37)

エロガキ♂18Z> 星さんにはあれをあげよう。エビの竜田揚げ   (2024/10/19 11:27:38)

栞葉るり> え？(頭から丸ごと尻尾まで食べてた)   (2024/10/19 11:27:58)

エロガキ♂18Z> 尻尾美味いけどなー   (2024/10/19 11:28:03)

星 ◆> ん……。（ぽんぽんされた、）   (2024/10/19 11:28:24)

エロガキ♂13M ◆> なんか…加熱消毒してれば問題ないとか、なんとか…？うーん、忘れた！   (2024/10/19 11:28:36)

エロガキ♂18Z> 生はちょっとね   (2024/10/19 11:28:47)

星 ◆> エビの竜田揚げ……。（微妙に聞き慣れない、）   (2024/10/19 11:28:52)

栞葉るり> むしろ揚げてないと頭からいけませんよ(ばりむしゃ)   (2024/10/19 11:29:18)

エロガキ♂13M ◆> 車エビの竜田揚げ好きぃ♪丸っこくて可愛いんだ♪   (2024/10/19 11:29:25)

エロガキ♂18Z> レシピ見ないでノリで作るからねー。エビの竜田揚げめちゃくちゃ美味かったぜい   (2024/10/19 11:29:31)

星 ◆> なんだっけ……エビの尻尾の成分が虫に近いみたいな話…？その理屈だと13Mと18Zもほぼイコールだけど……。   (2024/10/19 11:29:54)

エロガキ♂18Z> あと鉄板で殻付きエビをプレスしてたこせんみたいにして食うのも美味い   (2024/10/19 11:30:06)

星 ◆> （ちなみに私とるりは怪しいところ、星核の器と犬なので。）   (2024/10/19 11:30:22)

栞葉るり> どっちも同じ虫じゃないですか、胃袋に入れば同じです(犬)   (2024/10/19 11:30:31)

エロガキ♂18Z> むきエビで竜田揚げしたら簡単だしね〜。   (2024/10/19 11:30:33)

星 ◆> るり、エビは、虫じゃない。   (2024/10/19 11:30:47)

栞葉るり> (人ではないですから！)   (2024/10/19 11:31:00)

エロガキ♂18Z> 聞いた話だと海老のしっぽの味は蝉とか？   (2024/10/19 11:31:04)

エロガキ♂13M ◆> エビが虫ならカニも虫？   (2024/10/19 11:31:12)

栞葉るり> エビとカニは虫と言い張る人に心当たりがあるもので…   (2024/10/19 11:31:46)

星 ◆> まあいいや、竜田揚げもらうね。（ばりもぐむしゃ、）   (2024/10/19 11:31:51)

エロガキ♂18Z> (昆虫食意外に白米に合うからたまーに食うからなぁ)   (2024/10/19 11:32:04)

栞葉るり> (つまり蝉はおいしい)   (2024/10/19 11:32:05)

エロガキ♂13M ◆> エビ剥いてると殻がチクチクして手が痛くなりゅ……   (2024/10/19 11:32:14)

エロガキ♂19b ◆> 戻りました～...危うく指とお別れするところだったよ～   (2024/10/19 11:32:18)

エロガキ♂18Z> はい〜。あとマヨネーズ付けたらなお美味いよ〜(星さんにマヨネーズをすっ)   (2024/10/19 11:32:42)

エロガキ♂18Z> おかえりー   (2024/10/19 11:32:49)

エロガキ♂13M ◆> 蝉爆弾、喰らえ！(瀕死のセミファイナルだぁぁ！！)   (2024/10/19 11:32:58)

星 ◆> ほあえり。（もぐむしゃ、）   (2024/10/19 11:33:05)

エロガキ♂19b ◆> んで、なんか美味しそうな話をしてるけどお昼ごはんの話でもしてたの～？   (2024/10/19 11:33:13)

星 ◆> （マヨネーズ付けた。……まあ、ほぼ揚げイワグラシガニかな…。）   (2024/10/19 11:33:25)

エロガキ♂13M ◆> おかえり〜   (2024/10/19 11:33:26)

エロガキ♂18Z> エビの殼むきかー。ちょっと冷凍して、尻尾辺りをぐって押したら綺麗に取れる〜   (2024/10/19 11:33:35)

栞葉るり> あ、セミなんですけど。成虫はお腹外して胸の筋肉を生食で確かいけます。一番美味しいのは蛹から羽化したてのソフトシェルの緑色のセミです。そのまま揚げてまるごといけますよ〜   (2024/10/19 11:33:40)

エロガキ♂13M ◆> そうそう、お昼ご飯の話   (2024/10/19 11:33:43)

栞葉るり> 昆虫食の話でした！(軌道修正)   (2024/10/19 11:34:02)

エロガキ♂19b ◆> お昼...たぶん今日はラーメンだなぁ、、一蘭のラーメンが食べたい(切実)   (2024/10/19 11:34:34)

エロガキ♂18Z> では〜、エビの竜田揚げお値段は8000ペリカになります〜(レシートをすっ)   (2024/10/19 11:34:38)

栞葉るり> わたくし、一度でいいからドムドムバーガーのカニ丸ごと入ってるハンバーガー食べてみたいんですよねぇ   (2024/10/19 11:35:10)

エロガキ♂13M ◆> あー、ソフトシェルの話をYouのtubeで見たな…ホモ◯ピさん   (2024/10/19 11:35:12)

エロガキ♂18Z> ソフトシェルクラブしかない……!   (2024/10/19 11:35:33)

エロガキ♂13M ◆> ペリカ！？ここ、ペリカなの！？   (2024/10/19 11:35:34)

栞葉るり> はい、期間限定で売ってるアレですね。旗持ってて可愛いヤツ   (2024/10/19 11:36:00)

エロガキ♂18Z> はい〜。ペリカになります〜(1円が100ペリカ)   (2024/10/19 11:36:32)

エロガキ♂13M ◆> 画像見てきたけど、確かにちょっと可愛い……え、コレを口いっぱいに頬張るの？   (2024/10/19 11:36:34)

星 ◆> （レシート……ってことは代わりに支払ってくれたんだろう、ありがとう。って美少女の笑みを向けておいた、）   (2024/10/19 11:36:52)

エロガキ♂18Z> (食い逃げだ！！ひっ捕らえい！)   (2024/10/19 11:37:22)

エロガキ♂13M ◆> (ここに犬のお巡りさんがいます！)   (2024/10/19 11:37:52)

エロガキ♂18Z> ハンバーガーなら赤レンガ倉庫内にあるアメリカンバーガーをもう1回食べたいなー   (2024/10/19 11:38:04)

エロガキ♂13M ◆> ……バーガーキングが食べたい   (2024/10/19 11:38:22)

エロガキ♂18Z> (代わりに13Mくん任せた！(他力本願)   (2024/10/19 11:38:42)

エロガキ♂13M ◆> (え！じゃあ19bお兄さんに丸投げ！)   (2024/10/19 11:39:15)

星 ◆> あげるって言って食べさせた後にお金を請求するのは罪にならないの…？（今なら謝るだけで許してあげるよ、強気。）   (2024/10/19 11:39:21)

エロガキ♂19b ◆> んにゃ！？なんか丸投げされた！？   (2024/10/19 11:40:02)

エロガキ♂18Z> ふっ、未成年だから罪にはならない……はず(脱兎準備)   (2024/10/19 11:40:21)

エロガキ♂13M ◆> 18って……成人じゃない？   (2024/10/19 11:40:48)

エロガキ♂19b ◆> 2000万信用ポイントならあるけど....   (2024/10/19 11:40:54)

星 ◆> 18歳は成人でしょ。   (2024/10/19 11:40:58)

エロガキ♂13M ◆> ボクは可愛いから無罪〜♪   (2024/10/19 11:41:15)

エロガキ♂18Z> だから逃げる準備をしてるのさ……(ピュー)   (2024/10/19 11:41:20)

エロガキ♂13M ◆> 信用ポイントってなんにゃ…？   (2024/10/19 11:41:32)

エロガキ♂18Z> 自分は15万信用ポイントなら……   (2024/10/19 11:41:48)

エロガキ♂18Z> 星さんの世界のお金〜   (2024/10/19 11:42:02)

星 ◆> 逃がさない、自分の体型を恨むんだね！（帽子投げた、これだけで許してあげよう……。）   (2024/10/19 11:42:04)

エロガキ♂13M ◆> あ、そうなんだぁ…へぇ〜(未プレイなので分からず…てかネーミングよ)   (2024/10/19 11:42:30)

エロガキ♂18Z> (スポッとフィットする帽子に困惑)   (2024/10/19 11:42:34)

エロガキ♂19b ◆> 1信用ポイント１円って考えてくれればいいよ   (2024/10/19 11:42:43)

星 ◆> （この帽子ツボとか割れるよ、）   (2024/10/19 11:43:05)

エロガキ♂13M ◆> タメになるにゃ〜   (2024/10/19 11:43:16)

エロガキ♂18Z> 育成に信用ポイント奮発したから少なくなった……   (2024/10/19 11:43:28)

エロガキ♂13M ◆> やーい、スッカラカ〜ン   (2024/10/19 11:43:52)

エロガキ♂18Z> (あべし…！と時間差で倒れふす)   (2024/10/19 11:43:55)

エロガキ♂19b ◆> つまり、、皆のごはんぐらいなら余裕でおごれるというわけだ！   (2024/10/19 11:44:14)

エロガキ♂18Z> 良いもん！星さんを酷使して稼ぐし！   (2024/10/19 11:44:27)

星 ◆> あ、そうだ。ここって色んな版権作品が集まってくるクロスオーバー空間だけど、色んな世界の色んな薬……ギャグで済むようなの、罰ゲーム用に集めてるんだけど……。何か知らない？（こういうの、って某ウマの体が光る薬を例に。）   (2024/10/19
11:44:50)

エロガキ♂13M ◆> あ、そうじゃんお昼！……ハンバーガーにしよっかなぁ…チーズ系か、竜田系か、季節限定も…捨てがたい   (2024/10/19 11:45:06)

星 ◆> （ルアンのはダメだよ、記憶飛ぶでしょ。）   (2024/10/19 11:45:13)

エロガキ♂18Z> 性転換薬とか？   (2024/10/19 11:45:17)

星 ◆> 罰として軽いのから重いのまで一通り揃えたいんだよね。性転換もありか……。   (2024/10/19 11:45:49)

エロガキ♂18Z> (こち亀に出ていた育毛剤とかもあったなー)   (2024/10/19 11:45:59)

エロガキ♂19b ◆> 薬は知らんなぁー、、というか薬なんてたまーに媚薬使うやつがいるぐらいだし...   (2024/10/19 11:46:06)

星 ◆> 基本として媚薬、勃起薬、嘔吐剤……はやめとこう。   (2024/10/19 11:46:29)

エロガキ♂13M ◆> 性転換…ボクはあんま抵抗ないにゃ〜。可愛いのに変わりはないし♪   (2024/10/19 11:46:30)

エロガキ♂18Z> あと若返りの薬とか？   (2024/10/19 11:46:34)

エロガキ♂19b ◆> これ以上若返ってどうするんだ？   (2024/10/19 11:46:54)

エロガキ♂13M ◆> ……ロリコン？   (2024/10/19 11:47:04)

星 ◆> 語尾が可愛くなるやつとか、猫耳が生えるやつ……若返りか、それもいいね。本格的にエロガキだ。   (2024/10/19 11:47:07)

栞葉るり> アポキトシン4869ですね(コナンのアレ)   (2024/10/19 11:47:19)

エロガキ♂18Z> 自分が使うわけじゃないから……   (2024/10/19 11:47:25)

エロガキ♂13M ◆> あ、ちがうショタコン   (2024/10/19 11:47:25)

星 ◆> いや、罰リスト用だから飲むのはエロガキだよ。まあ逆の時に使ってもいいと思うけど……。   (2024/10/19 11:47:56)

エロガキ♂19b ◆> クラリスちゃん当たりに使ってみたいな、若返り薬   (2024/10/19 11:48:08)

エロガキ♂18Z> あとはなんだろー。   (2024/10/19 11:48:12)

エロガキ♂13M ◆> ソレならもう飲んでるにゃ……たまに15とか17になるよボク☆そのお薬は常備してる！   (2024/10/19 11:48:24)

エロガキ♂18Z> チンチンが小さくなる薬？   (2024/10/19 11:48:44)

エロガキ♂13M ◆> ケモ化もいいね♪ボク猫がいいにゃ〜♪   (2024/10/19 11:48:54)

エロガキ♂19b ◆> おいまて、とんでもないのをだすなぁ！   (2024/10/19 11:48:56)

エロガキ♂18Z> www   (2024/10/19 11:49:06)

エロガキ♂13M ◆> おっぱい大きくなって、擬似ふたなり…？   (2024/10/19 11:49:23)

星 ◆> ちんちんがケモ化？わかった。（豚のとかになるのかな。）   (2024/10/19 11:49:25)

エロガキ♂18Z> 螺旋状……   (2024/10/19 11:49:37)

栞葉るり> あー、クラリスさんが言ってましたっけ。罰ゲーム用意するのが苦手な人用にってやつ   (2024/10/19 11:49:37)

エロガキ♂13M ◆> わー！？まざった！   (2024/10/19 11:49:40)

エロガキ♂19b ◆> と、、とんでもない薬が爆誕した...   (2024/10/19 11:49:58)

エロガキ♂18Z> ブラックジャックでしたっけ？確か   (2024/10/19 11:50:09)

エロガキ♂13M ◆> 違うの！尻尾とか耳がいいのぉ！おちんちんはやだぁ！   (2024/10/19 11:50:15)

エロガキ♂18Z> 13mくんが飲まされたらクリチンになるのかな？   (2024/10/19 11:50:35)

星 ◆> そうそう。本当にリストとして置く以外にもこういう薬とか首輪、小道具みたいなのを置いておくだけで女の子側も罰を考えやすいんじゃないかなって。＞るり   (2024/10/19 11:50:44)

エロガキ♂13M ◆> ひっ…？！クリチンやだよぉ…そんなの絶対泣く自信ある……   (2024/10/19 11:51:22)

エロガキ♂19b ◆> 首輪いいねぇ...   (2024/10/19 11:51:33)

エロガキ♂18Z> 手足枷、猿轡、アイマスク、耳栓とか道具も色々あるしねー。   (2024/10/19 11:51:42)

星 ◆> 負けた時だけを考えて来るんじゃなく、勝った時も楽しく罰を与えられる子が増えればいいよね、って思うんだけど……。   (2024/10/19 11:51:45)

栞葉るり> ついつい会話に逃げがちですが…まぁ、そればっかりだとですしねぇ。あと、わたくしの友達も言ってました…罰を受けに来てるのに！罰なんか考えてるわけないじゃん！と   (2024/10/19 11:51:54)

星 ◆> もう一回言うけど、あんたたちが付ける側だよ。＞19.18   (2024/10/19 11:52:05)

エロガキ♂18Z> 泣くだろうね…   (2024/10/19 11:52:05)

エロガキ♂13M ◆> あとは…貞操帯？   (2024/10/19 11:52:05)

エロガキ♂18Z> 射精出来ないように縛るのもあるな   (2024/10/19 11:52:26)

エロガキ♂19b ◆> この人たち嬉々として自分を陥れる可能性のあるものを、提示してやがる！   (2024/10/19 11:53:03)

エロガキ♂18Z> 勝てば問題ないから……   (2024/10/19 11:53:18)

エロガキ♂13M ◆> まぁ、こういう部屋に来るのって負けたがりのM♀が大半だし♪勝ったときのことなんか考えてないよねぇ♫   (2024/10/19 11:53:26)

栞葉るり> ソフトアンドウェット…エロガキから射精機能を奪った(淡々と)こうなるわけですね   (2024/10/19 11:53:29)

星 ◆> 罰思いつかないから、話で時間を潰す……よりもみんなが楽しめるように……う   (2024/10/19 11:53:33)

栞葉るり> う？   (2024/10/19 11:53:45)

エロガキ♂18Z> し   (2024/10/19 11:53:50)

星 ◆> なんか真っ当なこと話してると発作出ちゃいそ……。   (2024/10/19 11:53:53)

エロガキ♂18Z> まあまあ、気にしない気にしない   (2024/10/19 11:54:08)

エロガキ♂13M ◆> ろ   (2024/10/19 11:54:09)

栞葉るり> 豚ちんとか言うからでしょ…(じと)   (2024/10/19 11:54:16)

星 ◆> 18と13が欲しいって言うから……。   (2024/10/19 11:54:51)

エロガキ♂18Z> (言ってないのよなぁって顔)   (2024/10/19 11:55:11)

エロガキ♂13M ◆> ボク欲しいって言ったっけ？！適当な発言はしてたけどさぁ！？   (2024/10/19 11:55:24)

エロガキ♂18Z> チンチン小さくなる薬しか言ってないもん！   (2024/10/19 11:55:39)

エロガキ♂13M ◆> 無難にオナホ置いておけば何とかなる？   (2024/10/19 11:55:48)

栞葉るり> イッたなら仕方ないですね(立場上弱い人の発言を信じます)   (2024/10/19 11:56:07)

エロガキ♂18Z> TENGA？冷えピタゼリー？   (2024/10/19 11:56:13)

エロガキ♂13M ◆> あ、搾乳機   (2024/10/19 11:56:24)

エロガキ♂13M ◆> ……は、メス側か   (2024/10/19 11:56:36)

エロガキ♂18Z> オスミルクを吸い取るのか……   (2024/10/19 11:56:42)

星 ◆> （ちょっとだけ、もうちょっとだけ真面目に話すと。）こういう罰……は、受ける側に技量が求められると思うから。女の子達が勝った時も楽しいと思ってもらえるようにするのはあんた達にかかってると思う。（だからよろしくね、）＞エロガキs  
(2024/10/19 11:56:50)

エロガキ♂13M ◆> 搾精機…てきな？   (2024/10/19 11:57:01)

エロガキ♂18Z> 13mくんが似合いそう＞搾精機   (2024/10/19 11:57:44)

エロガキ♂13M ◆> わぁお…責任重大…。お部屋盛り上げるためなら手伝うけどにゃ   (2024/10/19 11:57:49)

星 ◆> 意訳するね。精々私たちを楽しませてみろ！   (2024/10/19 11:57:52)

エロガキ♂13M ◆> 大喜利…！？   (2024/10/19 11:58:02)

栞葉るり> おもしろいリアクションできたら、モテモテになるかもしれませんしねぇ(にこ)   (2024/10/19 11:58:08)

エロガキ♂18Z> つまり負かせろ！か…   (2024/10/19 11:58:20)

エロガキ♂13M ◆> は、ははぁ…冗談キツイにゃ〜…   (2024/10/19 11:58:29)

星 ◆> まあ普通に上手い人の方が人気の竿にはなるだろうね…。   (2024/10/19 11:58:32)

エロガキ♂19b ◆> うまい人は必然的に選ばれるしねぇ..   (2024/10/19 11:59:09)

エロガキ♂13M ◆> 受け上手いガキっているの…？見たときないけど…   (2024/10/19 11:59:10)

エロガキ♂18Z> だね〜   (2024/10/19 11:59:16)

栞葉るり> ぶっちゃけますと、エロガキはモブの竿程度にしか見てないのでその技術の差でしか評価をつけられないんですよね！   (2024/10/19 11:59:44)

栞葉るり> がんばってください♡   (2024/10/19 11:59:59)

星 ◆> 雲璃は19bのお尻掘ってきゃっきゃしてたよ。（しれっ、）   (2024/10/19 12:00:00)

