/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 17時10分 ～ 2024年10月19日 23時22分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ゆんゆん> この時間は微妙かもね…また夜になれば人が集まるかもだけど   (2024/10/19 17:10:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 17:12:06)

ゆんゆん> あっ…お帰りなさい…！   (2024/10/19 17:12:24)

エロガキ♂19b ◆> 誰かいる気配がした！こんばんは！(シュタ！！   (2024/10/19 17:12:34)

ゆんゆん> えっと…少し疑問に感じた唐突な質問…いいかな？   (2024/10/19 17:13:04)

エロガキ♂19b ◆> ん？何でも答えるよー   (2024/10/19 17:13:32)

ゆんゆん> ゲームのお部屋にショタとロリ限定？みたいな感じのお部屋もあるんだけど…ショタとロリって何歳までとか基準があるのかなー…って   (2024/10/19 17:14:51)

エロガキ♂19b ◆> 15ぐらいじゃないのかなぁ？俺は年齢的にそこにはいけないから行ってないけど   (2024/10/19 17:15:26)

エロガキ♂16r> おかえりー   (2024/10/19 17:15:48)

エロガキ♂19b ◆> たでーま   (2024/10/19 17:16:29)

ゆんゆん> うーん…15かぁ。私は何となく13くらいまでかな？とか思っちゃったよ   (2024/10/19 17:16:31)

エロガキ♂16r> (ロリは明確な定義あるけどショタは明確な定義ないんだよね)   (2024/10/19 17:16:40)

ゆんゆん> この辺は個人の感覚もあるよね   (2024/10/19 17:16:50)

エロガキ♂19b ◆> 14もいるからねぇ...まじで個人の感覚だと思う   (2024/10/19 17:17:54)

エロガキ♂16r> んね   (2024/10/19 17:18:01)

エロガキ♂16r> ちなみにロリ行ける前提で言うと中学生から高校1年ぐらい…かね   (2024/10/19 17:19:07)

エロガキ♂16r> なんでショタはロリとかみたいに段階分け？されてないんだろ(純粋な疑問)   (2024/10/19 17:19:58)

ゆんゆん> わたし的にロリは小学生までのイメージかな？中学生って結構、見た目も大人じゃない⁉︎   (2024/10/19 17:20:14)

エロガキ♂19b ◆> わからん...   (2024/10/19 17:20:51)

エロガキ♂16r> 小学校高学年はアリスっていう別の呼び方になる。で、小6はロリになる   (2024/10/19 17:21:08)

ゆんゆん> そ…そうなのー⁉︎変な知識植え付けられた…   (2024/10/19 17:21:34)

エロガキ♂16r> 多分普通に生活してたら一生使わない知識だと思うよ   (2024/10/19 17:22:36)

エロガキ♂19b ◆> 同じくとんでもない知識を知った気がする、、感謝   (2024/10/19 17:22:54)

エロガキ♂16r> ちなみに、ご高齢の方を恋愛方向の意味で好きになる人たちにも呼び方はある()   (2024/10/19 17:23:55)

ゆんゆん> ご高齢って何歳くらいなんだろう…   (2024/10/19 17:24:16)

エロガキ♂19b ◆> 詳しすぎるだろ...尊敬   (2024/10/19 17:25:02)

エロガキ♂16r> とりあえず老人だから60で見ていいんじゃないかい？   (2024/10/19 17:25:47)

エロガキ♂19b ◆> ちなみに呼び方は？   (2024/10/19 17:26:58)

エロガキ♂16r> ジェントロフィリア   (2024/10/19 17:27:19)

エロガキ♂19b ◆> なるほど...これも覚えとこー、、教えてくれてありがと！！   (2024/10/19 17:29:01)

エロガキ♂16r> 絶対使わねぇ知識だけどな！   (2024/10/19 17:29:13)

エロガキ♂19b ◆> アリスは使いそう...   (2024/10/19 17:30:21)

エロガキ♂16r> まだそっちの方が使う()   (2024/10/19 17:30:33)

エロガキ♂16r> ちなみにアリスより下の年代の呼び方もあるぞ()   (2024/10/19 17:31:13)

エロガキ♂19b ◆> なんでだよ！？   (2024/10/19 17:31:18)

エロガキ♂16r> 知らん！   (2024/10/19 17:31:24)

エロガキ♂16r> さらに言うならアリスの下の下まであったはず()   (2024/10/19 17:32:06)

エロガキ♂19b ◆> あまりにもありすぎて、ゆんゆんも硬直してるぞ...   (2024/10/19 17:32:44)

エロガキ♂16r> このように女児の呼び方は沢山あるんよ(ここまで話を戻す)   (2024/10/19 17:33:21)

エロガキ♂16r> なのに男の方には細かい分類分けが一個もない(真面目に探せば出るかもだけど)   (2024/10/19 17:33:51)

ゆんゆん> う…うん、聞いてる聞いてる…！   (2024/10/19 17:33:55)

エロガキ♂16r> ショタの定義がふわふわしてるのもそのせい()   (2024/10/19 17:34:34)

エロガキ♂19b ◆> なーるほどなぁ...   (2024/10/19 17:34:51)

エロガキ♂16r> とまぁ、無駄知識を押し付けてみました()   (2024/10/19 17:35:40)

