/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月20日 12時41分 ～ 2024年10月20日 21時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ13♂AC ◆> あっ、大丈夫だよ♪心配してくれてありがとねー   (2024/10/20 12:41:39)

星 ◆> この部屋、狭い部屋と繋がる伝声管でもあるの？   (2024/10/20 12:42:07)

胡桃 ◆> え、じゃあ…趣味にしたらいいの？(小悪魔的な笑み作ってみよ。だっていつも顔で負けてる気がするし…あ、今顔作っても見られてないやこれ。)   (2024/10/20 12:42:11)

胡桃 ◆> 私は大体テレパシー…＞伝声管   (2024/10/20 12:42:36)

エロガキ♂16r> 声頑張って響かせてるんだよ、きっと   (2024/10/20 12:42:46)

エロガキ♂19b ◆> 今あなたの脳に直接...   (2024/10/20 12:42:52)

エロガキ♂18D ◆> (伝声管……と聞くと……いや、やめよう。あまりにもコア過ぎる)   (2024/10/20 12:43:12)

胡桃 ◆> (壁が薄いのかも？よく聞こえるよ、ナニかが。)   (2024/10/20 12:43:25)

キタサンブラック> ……（壁が薄い……   (2024/10/20 12:43:51)

エロガキ♂16r> すっとんとん   (2024/10/20 12:44:04)

胡桃 ◆> キタちゃんは何を考えたのかな…？   (2024/10/20 12:44:06)

星 ◆> そういうこと。私の観察を趣味にして。（全然可愛い顔見ることができてない。視界は漆黒。帽子。カブト虫。胡桃の匂い。イチジクのタルト。お香。カブト虫。）   (2024/10/20 12:44:24)

キタサンブラック> 胡桃さん、なんのことですかね？（にっこりぃ   (2024/10/20 12:44:29)

胡桃 ◆> この子達今度合法的な形でお仕置しないとね〜(なんでもないよ？って満面の笑み。にっこりだよ、うん。)   (2024/10/20 12:45:03)

エロガキ♂18D ◆> (カブト虫……？二回出た……？何故……？)   (2024/10/20 12:45:51)

エロガキ♂19b ◆> (天国いこうとしてるんじゃね？)   (2024/10/20 12:46:07)

星 ◆> ……また久しぶりに列車のお客様をゲーム部屋に送るか……。（今じゃないけど。スマホすいすい、）   (2024/10/20 12:46:13)

エロガキ♂18D ◆> 胡桃さんは普通に可愛いんですけどねぇ……   (2024/10/20 12:46:15)

エロガキ♂16r> (何気にタルトも2回出るよねアレ)   (2024/10/20 12:46:31)

エロガキ♂19b ◆> ！？雲璃か！   (2024/10/20 12:46:43)

星 ◆> 迷い中。   (2024/10/20 12:46:57)

胡桃 ◆> (面白い癖の子が知り合いにいるね。前にそういうノリでロルしてる人見た気がするけど＞エキドナさん(壁越し)   (2024/10/20 12:47:27)

胡桃 ◆> 唯一18Dさんだけが私を褒めてくれてる…今度サービスしてあげるからね？(葬儀を。)   (2024/10/20 12:48:08)

