/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 07時17分 ～ 2024年10月21日 21時07分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 15kbちゃんには負けてるからいつか勝ちたいな〜   (2024/10/21 07:17:23)

エロガキ♀15kb> もちろん、入って大丈夫ですよ～♪おはようございます。   (2024/10/21 07:17:46)

常闇トワ ◆> トワは大丈夫だよ〜   (2024/10/21 07:17:48)

エロガキ♂11T> 15kbさんははじめましてですね   (2024/10/21 07:18:06)

エロガキ♀15kb> あら、そういう感じだったんですね。お時間合えば、いつでもお受けしますよ♪   (2024/10/21 07:18:13)

エロガキ♂11T> トワお姉さん、いつものとこはすれ違いだったね   (2024/10/21 07:18:30)

エロガキ♀15kb> はい、どうも、初めまして……ですかね？（すみません。余り数字で記憶を仕切れなくて……   (2024/10/21 07:18:35)

常闇トワ ◆> そうだったんだ〜w   (2024/10/21 07:19:06)

エロガキ♂11T> いえいえ、女の子のエロガキさんとは絡んだことなかったんで、新鮮です   (2024/10/21 07:19:22)

常闇トワ ◆> 15kbも正体知ればわかるかもねw   (2024/10/21 07:20:11)

エロガキ♀15kb> そうなんですね。まぁ、アタシともうお一人？くらいしかいないみたいですからね（まぁ、アタシみたいに両方OKな人は少ないみたいですし   (2024/10/21 07:20:12)

エロガキ♀15kb> ん？正体というか   (2024/10/21 07:20:21)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/21 07:20:25)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/21 07:20:40)

常闇トワ ◆> おかえりキタちゃん   (2024/10/21 07:20:57)

キタサンブラック> これだけのことですけどね（仮面外せば、ウマ耳ピコピコさせつつ）   (2024/10/21 07:20:59)

エロガキ♂11T> あー、キタさんでしたか…   (2024/10/21 07:21:26)

常闇トワ ◆> キタちゃんに今度は勝ちたいな〜   (2024/10/21 07:22:26)

エロガキ♂11T> トワお姉さんはキタさんに負けっぱなしで…色々されちゃってるってことか…   (2024/10/21 07:23:12)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/21 07:23:17)

キタサンブラック> ん～お時間あれば、今でも個室で個人戦でもしますか？   (2024/10/21 07:23:24)

エロガキ♂17L ◆> おはようございます   (2024/10/21 07:23:33)

キタサンブラック> どうも～おはよーございます   (2024/10/21 07:23:45)

常闇トワ ◆> 今からは時間ないからな〜   (2024/10/21 07:23:56)

常闇トワ ◆> 夜に勝負したいかな〜   (2024/10/21 07:24:08)

エロガキ♂11T> トワお姉さん、時間ないのか…   (2024/10/21 07:24:11)

キタサンブラック> まぁ、朝だとそうですよね～。アタシも時間あるっても今からだと1時間……ちょっとかな？くらいですし   (2024/10/21 07:24:33)

エロガキ♂17L ◆> トワ様これから仕事なんじゃない？＜時間無い   (2024/10/21 07:24:38)

キタサンブラック> では、夜にでもお部屋でも、個室で個人戦でも、お誘いいただければ♪   (2024/10/21 07:25:00)

常闇トワ ◆> じゃあ夜に個人戦したいな〜   (2024/10/21 07:25:34)

キタサンブラック> 了解しました♪是非に、是非に～♪   (2024/10/21 07:25:53)

エロガキ♂11T> (俺もトワお姉さんとしたいのにな…)   (2024/10/21 07:25:58)

常闇トワ ◆> 11君も終わったらしてあげるよ   (2024/10/21 07:26:23)

エロガキ♂11T> ありがとう～トワお姉さん   (2024/10/21 07:26:42)

エロガキ♂17L ◆> 俺は時間合えばかな〜、普通に忙しいし   (2024/10/21 07:27:15)

エロガキ♂11T> トワお姉さん、何時くらいなら大丈夫かな？   (2024/10/21 07:27:50)

キタサンブラック> トワさん、大人気で大変そうですね～♪（うらやましいですねぇ～なんて）   (2024/10/21 07:28:42)

エロガキ♂17L ◆> (そういえば、ウマのアニメ最近見始めた人←)   (2024/10/21 07:28:54)

エロガキ♂11T> キタさんとはきちんと勝負したことないですね～   (2024/10/21 07:29:37)

常闇トワ ◆> トワは人気者だから忙しいな〜   (2024/10/21 07:29:42)

常闇トワ ◆> 今日は早くここに来れるかな〜   (2024/10/21 07:30:15)

キタサンブラック> アタシですか？　アタシは……そういえば、単独勝負あまりしませんからね～   (2024/10/21 07:30:34)

常闇トワ ◆> キタちゃんとは勝負したけど負けちゃったからな〜   (2024/10/21 07:31:06)

キタサンブラック> 1人で勝った時に、やることが思いつかないので……あまり待機というより、誰かがいるところにお邪魔して2対2とかにしたり、さっきのKB状態でお相手したりなので   (2024/10/21 07:31:13)

キタサンブラック> あはは……あの時は、確か3対1とかじゃなかったですか？   (2024/10/21 07:31:39)

エロガキ♂17L ◆> 確かにキタちゃんは複数の時にいることが多いイメージあるな……   (2024/10/21 07:31:47)

常闇トワ ◆> そうだよ〜だから今度は個人戦したいの   (2024/10/21 07:32:08)

キタサンブラック> なるほど、そういうことなら是非に1対1で、どちらかがギブするまで行きましょう♪   (2024/10/21 07:32:38)

エロガキ♂11T> 複数がいいんですね～　キタさんは   (2024/10/21 07:32:40)

エロガキ♂17L ◆> というか、それ言ったら、キタちゃんもトワ様も1:1で勝負したことないな俺   (2024/10/21 07:33:09)

常闇トワ ◆> トワ負けないからね   (2024/10/21 07:33:09)

キタサンブラック> ん～？……そうとも限らない、ですよ？何となくで待機しているだけなので？＜複数が云々   (2024/10/21 07:33:22)

エロガキ♂11T> どちらかがギブするまではヤバそう…   (2024/10/21 07:33:23)

キタサンブラック> はい、是非にアタシを負かして……トワさんに悪戯されるのも楽しみです♪   (2024/10/21 07:33:50)

エロガキ♂11T> トワお姉さんとは最近、タイマン勝負しかしてない   (2024/10/21 07:34:06)

常闇トワ ◆> 最近はタイマンが多い気がするな〜   (2024/10/21 07:34:29)

エロガキ♂11T> キタさんが牝になるとこ、見てみたい気もするな～   (2024/10/21 07:34:47)

エロガキ♂17L ◆> エンドレス5d10……(ボソッ)   (2024/10/21 07:34:52)

キタサンブラック> ？　先ほども言いましたけど、そもそもにアタシと（Notメスガキ）1対1で対戦したことある人の方が絶対少ないと思いますよ？   (2024/10/21 07:35:04)

エロガキ♂11T> トワお姉さん、タイマンしすぎだよね～控えないとかな…   (2024/10/21 07:35:29)

エロガキ♂17L ◆> 絶対っていうかほぼ無いと思うけどな、見てる限り   (2024/10/21 07:35:46)

キタサンブラック> 1対1の方が、ヤリタイことを決めてる時には絶対動きやすいですけど、相手次第な部分もあるので   (2024/10/21 07:36:33)

エロガキ♂17L ◆> 【誤字った〜、絶対→少ないだわ】   (2024/10/21 07:36:35)

常闇トワ ◆> 複数だとプレイ激しいかったりするからタイマンの方が気が楽かな〜   (2024/10/21 07:36:37)

エロガキ♂11T> なるほどね…ほぼないのか   (2024/10/21 07:36:53)

キタサンブラック> 複数乱交がうまく行った時の達成感もすごいですけどね♪   (2024/10/21 07:37:08)

エロガキ♂11T> 複数乱交の達成感はわかる気がする   (2024/10/21 07:37:47)

キタサンブラック> 言った通り、アタシ、一人で相手に勝ってもやることに困る傾向が強いので……誰かがいるところにお邪魔して、その人と勝った場合も適当に雑談だったり、お相手の内容に乗っかってって感じしかあまり動けないので。   (2024/10/21
07:38:04)

エロガキ♂17L ◆> そろそろ、口調をこちらに戻すとしますか……(唐突な丁寧口調)   (2024/10/21 07:38:07)

