/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 21時07分 ～ 2024年10月22日 12時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> (ぬるん)こんばんは〜   (2024/10/21 21:07:43)

サーニャ> 昨日の足2号じゃ〜ん？   (2024/10/21 21:08:00)

栞葉るり> アズレンはこれでもまだ健全(？)ですよ！もっとやばいのありますし、なんならyoutubeじゃ消されるクラスのがゴロゴロと…。あと愛宕さんでも普乳枠なので…(レベルが違いすぎる)   (2024/10/21 21:08:06)

栞葉るり> いらっしゃいませ〜   (2024/10/21 21:08:15)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 21:08:22)

エロガキ♂19b ◆> まじで？アズレン始めようかな...   (2024/10/21 21:08:41)

エロガキ♂18Z> アズレンは胸と衣装のせいで性癖破壊された子供は数しれず…   (2024/10/21 21:08:50)

愛宕> こんばんは〜♡でも私も大きいわよ〜？ほら、ぼいんぼいん揺らせる♡   (2024/10/21 21:09:18)

栞葉るり> 今からアズレンは…どうなんでしょうね。衣装が限定だったりして、この衣装かわいい〜ってなってもいつでも買えるわけじゃないですから…。   (2024/10/21 21:09:49)

エロガキ♂18Z> 愛宕さんの胸はかなりでかいからなぁ…   (2024/10/21 21:10:18)

エロガキ♂18Z> 復刻を待つしかないしね…   (2024/10/21 21:10:36)

栞葉るり> ええ！愛宕さんは大きいんですよ！！でも上がやばすぎる…！！(大鳳とかあのへんから壊れだした気がしました、胸のレベルが)   (2024/10/21 21:10:42)

愛宕> そうね〜…♡大鳳とか樫野ちゃんとか♡ネットでも有名なんじゃない？♡   (2024/10/21 21:11:18)

エロガキ♂18Z> (胸戦闘力エグいからね！！)   (2024/10/21 21:11:19)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/21 21:11:31)

エロガキ♂18Z> おかえりー   (2024/10/21 21:11:37)

シラベドンナ> やあ、こんばんは！   (2024/10/21 21:11:39)

栞葉るり> 愛宕さんをナニに例えると16cmくらすですが、25cmみたいな化け物がトップに居ますからね！！   (2024/10/21 21:11:56)

サーニャ> どうも〜   (2024/10/21 21:11:59)

エロガキ♂19b ◆> こんばんは～(2回目)   (2024/10/21 21:12:01)

栞葉るり> おかえりなさいー   (2024/10/21 21:12:04)

シラベドンナ> しばらくあまりにも調子が良かったから、ノーリスクでちんちんを見ることができる場所だと勘違いしていた…   (2024/10/21 21:12:18)

エロガキ♂18Z> 黒人チンチンレベルはわかりみ深いな   (2024/10/21 21:12:35)

栞葉るり> (今更…？って顔)   (2024/10/21 21:12:36)

栞葉るり> もしかしてシラベドンナさんってポンコツ…   (2024/10/21 21:12:55)

エロガキ♂18Z> (でも自分はみしてないっていう←)   (2024/10/21 21:13:00)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/21 21:13:10)

エロガキ♂18Z> こんばんは〜   (2024/10/21 21:13:18)

サーニャ> どうも〜   (2024/10/21 21:13:34)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 21:13:42)

サーニャ> うし、じゃ！そゆことで   (2024/10/21 21:13:44)

栞葉るり> さて、わたくしは一旦失礼して…お便り投稿しますかぁ。ではでは〜   (2024/10/21 21:13:44)

おしらせ> サーニャさんが退室しました。  (2024/10/21 21:13:48)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/21 21:13:48)

愛宕> こんばんは〜♡♡その例え面白いわね♡♡   (2024/10/21 21:13:51)

愛宕> お疲れ様〜♡   (2024/10/21 21:13:56)

エロガキ♂18Z> お疲れ様です〜   (2024/10/21 21:14:00)

エロガキ♂18D ◆> こんばんは、お邪魔いたします～、皆どっかしらでドンパチやってますね…   (2024/10/21 21:14:08)

エロガキ♂18Z> だね〜   (2024/10/21 21:14:18)

エロガキ♂18D ◆> 挨拶考える間に二人消してしまった…   (2024/10/21 21:14:24)

エロガキ♂18D ◆> 行ってらっしゃいませ、お二方。   (2024/10/21 21:14:34)

シラベドンナ> 少年諸君の可愛らしい頼みを聞きつつ、ちんちんを見せてもらえる部屋だろう？   (2024/10/21 21:14:41)

エロガキ♂19b ◆> 伝えようと思ったことはどうやら他の皆が伝えてくれそうだな...   (2024/10/21 21:15:13)

エロガキ♂18Z> 勝てば見してもらえるから…間違いではないはず？   (2024/10/21 21:15:44)

愛宕> そうね♡♡いっつも胸への視線が痛いのよ？♡   (2024/10/21 21:16:13)

エロガキ♂18D ◆> どっちにしろ見ることにはなるんですよ、問題はおもちゃにされるかオモチャになるか…   (2024/10/21 21:16:32)

エロガキ♂18D ◆> って、愛宕さんはその格好のままなんですね…   (2024/10/21 21:16:44)

愛宕> まぁ着替える理由も無かったから…♡いつもの服の方がみんなは好きかしら？   (2024/10/21 21:18:38)

シラベドンナ> 少年に対する服装としては正しいと言えるな。むしろ正装まであるぞ！   (2024/10/21 21:18:42)

エロガキ♂18D ◆> いえ、むしろ気に入ったのかな、と思いまして…そう言えばその服でやってないですねぇってちょっと考えたくらい、ですかねぇ…   (2024/10/21 21:19:48)

エロガキ♂18Z> 衣装はどれも好きですからね〜   (2024/10/21 21:19:53)

エロガキ♂19b ◆> 個人的には普段やつのが好きかな～   (2024/10/21 21:20:01)

エロガキ♂18D ◆> そう言うとシラベドンナさんの服装もそそる服装ではありますが……   (2024/10/21 21:20:19)

愛宕> ありがと♡♡普段のやつは…着衣おっぱい？が皆好きなのかしら…♡こっちの衣装は下乳とかくい込みが…   (2024/10/21 21:20:45)

エロガキ♂19b ◆> ちょっと外すね！！すぐに戻るよ   (2024/10/21 21:20:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 21:20:52)

エロガキ♂18Z> 行ってらっしゃいー   (2024/10/21 21:20:59)

エロガキ♂18D ◆> はい、いってらっしゃいませ重役……   (2024/10/21 21:21:03)

