/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月22日 12時13分 ～ 2024年10月22日 21時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星 ◆> お腹いたぁい……（よわよわ星ちゃん、）   (2024/10/22 12:13:20)

星
◆> 急に生活リズム変えたから？期限切れの牛乳飲んだからかな……。あ、お腹出して寝たからかも。ゴミ箱から拾った食材で作ったチャーハン……は関係ないか。これから寒くなると思って冷凍庫にしまってたアイス全部まとめて食べちゃったから……？（部屋の隅うずくまり開拓者、）
  (2024/10/22 12:17:17)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 12:19:06)

パンドラ ◆> こんにちは、、心当たりが多そうですね、、？(じぃ、)   (2024/10/22 12:20:06)

星 ◆> あ、パンドラ。でもどうだろう、私のお腹ってそう簡単に壊れるのかな？（何かの陰謀かもしれない……って強がっておこう。三角座りになった。）   (2024/10/22 12:21:27)

パンドラ ◆> お隣失礼しますね、、(お隣に腰を降ろして、正座崩してから見上げて)何が原因かは分かりませんけれど、少し横になられてみては、、？(お膝の上にどうぞって差し出して)   (2024/10/22 12:23:32)

星 ◆> やった、お腹壊してみるもんだね！（思いがけない幸運に笑顔になった。差し出されたお膝、というか腿に顔を埋め。思い切りうつ伏せ、）   (2024/10/22 12:25:10)

パンドラ ◆> あら、、うつ伏せになられるとは思っても見ませんでした、、大丈夫ですか？少しは楽になりますか？(彼女の息遣いが薄布越しで生温かく感じて擽ったさとで小さく微笑んで、彼女の髪に指を通して手櫛で漉いてさらさら撫でて)   (2024/10/22
12:28:24)

星 ◆> 息は苦しいけど体は休まってると思う。（すーはー、すーはーと半ば深呼吸気味に体の内外の空気を循環させて。美少女の太ももを抜けた空気は万病に効くからね、って親指立てた拳を突き出して“イイね！”した。）   (2024/10/22 12:32:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 12:33:44)

エロガキ♂19b ◆> こんにちは～...(ヒョコ)   (2024/10/22 12:34:17)

パンドラ ◆> そうですか、、(イイね、を頂きました。けれどすごく擽ったく感じてしまいますね、、手も暇ですから髪撫で続けておきましょうか、)   (2024/10/22 12:35:01)

パンドラ ◆> こんにちは、今朝はよく眠れましたか？   (2024/10/22 12:35:19)

エロガキ♂19b ◆> ちゃんと2時間眠れたよ～、、ロリッ子の前で落ちてしまったのが唯一の悔いだね   (2024/10/22 12:36:06)

星 ◆> ん？誰か来た？（美少女の太ももに顔を埋めながらただひたすらに息を繰り返す開拓者がそこにいた、）   (2024/10/22 12:37:06)

パンドラ ◆> 2時間は短いのでは、、?それから彼女はその言いつけに従っていたので眠らないとずっと居たでしょうね、、   (2024/10/22 12:37:46)

エロガキ♂19b ◆> 足フェチのお兄さんが来たとだけ言っておこう！！   (2024/10/22 12:37:48)

パンドラ ◆> はい、足を見ると興奮する御方が来ましたよ、？(ただただ髪撫で続けておきますね、、生温かい息の湿気で少し太腿擦り合わせて湿気は逃がしておきましょう、)   (2024/10/22 12:39:26)

