/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月25日 01時03分 ～ 2024年10月25日 12時24分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> こんばんは～   (2024/10/25 01:03:54)

エロガキ♂13J> こんばんは〜14お兄さん、そうなの？昨日はそんなにダメだったんだ…   (2024/10/25 01:04:03)

エロガキ♂19b ◆> んま、こういうときもあるさーそれに昨日はフラグをたてまくって見事に回収したからね..仕方なし～   (2024/10/25 01:04:33)

エロガキ♂14C ◆> 来ちゃダメだった？なんて聞き方は意地悪だね。ホントはシャーロットおねーさんに楽しませたいけど、最近忙しいみたいだしねー。僕とのタイミングなかなか合わないしー。   (2024/10/25 01:05:06)

シャーロット・レイス ◆> まあ、次負かしたら、実演してもらうと思ってるわ。(駅弁を)   (2024/10/25 01:05:27)

エロガキ♂13J> そうなの！？そりゃ、きついねぇ…フラグ立てると高確率で折れるんだよね、あの部屋   (2024/10/25 01:05:29)

シャーロット・レイス ◆> 来れるの大体この時間…くらいだからね。   (2024/10/25 01:06:46)

エロガキ♂14C ◆> （フラグバッキバキに折ってく強いおねーさんとかもいるけどね…！）   (2024/10/25 01:06:58)

シャーロット・レイス ◆> 昨晩は煽りまくって、勝負して、ギリギリ勝てたけどね。   (2024/10/25 01:07:18)

エロガキ♂19b ◆> 次は負けないよ～   (2024/10/25 01:07:33)

エロガキ♂14C ◆> だよねー。遅い時間までいつもお疲れ様っ。（お茶すすす）   (2024/10/25 01:07:42)

エロガキ♂13J> いや、すごいなぁ……それで勝てるとか凄すぎる……   (2024/10/25 01:08:08)

エロガキ♂13J> あ、これならあるからみんな分どうぞー（金平糖を3人に配り）   (2024/10/25 01:08:37)

エロガキ♂19b ◆> 皆気遣いが、、すごいな..俺もなんかした方がいいか？   (2024/10/25 01:09:42)

シャーロット・レイス ◆> 私が勝っても、謝罪から色々と聞くだけだからね。   (2024/10/25 01:09:57)

エロガキ♂14C ◆> ん、ありがと13Jくん。と言ってもこれはまた明日かな。僕はほぼほぼ挨拶に来たようなもんだし（あふ、とあくび漏らし）   (2024/10/25 01:10:28)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/10/25 01:10:59)

シャーロット・レイス ◆> ありがとう。(13J君から金平糖をもらって一粒食べて)   (2024/10/25 01:11:02)

エロガキ♂14C ◆> あ、咲夜おねーさんこんばんはっ。……風邪、引いたりしてない？   (2024/10/25 01:11:20)

十六夜咲夜 ◆> こんばんは。今日はのんびりね。(紅茶セットをどこからともなく)   (2024/10/25 01:11:33)

エロガキ♂19b ◆> 咲夜ちゃんこんばんは～   (2024/10/25 01:11:34)

エロガキ♂13J> あ、そうなの？たまたま持ってるだけだよ〜基本的には金平糖持ってるだけだし〜   (2024/10/25 01:11:39)

十六夜咲夜 ◆> ええ、心配かけたわね…   (2024/10/25 01:11:51)

エロガキ♂13J> 咲夜お姉さん、こんばんは〜よろしくね？   (2024/10/25 01:12:01)

十六夜咲夜 ◆> ええ、よろしく。初めましてかしら？   (2024/10/25 01:12:16)

エロガキ♂14C ◆> 無理しちゃダメだよ？眠い時は素直に言ってくれれば僕も配分考えるのにさー。（ぴと、じー）   (2024/10/25 01:12:41)

シャーロット・レイス ◆> こんばんは、咲夜さん   (2024/10/25 01:13:02)

エロガキ♂13J> え！？風邪引いてたの！？（ブランケットとティッシュに乗せた金平糖を用意し、机に置き）   (2024/10/25 01:13:30)

十六夜咲夜 ◆> いえ、大丈夫よー。   (2024/10/25 01:13:54)

エロガキ♂19b ◆> 何から何まで揃ってるのがここのいいところ～お代は堂主につけておこうね～   (2024/10/25 01:14:16)

エロガキ♂14C ◆> （昨日罰ゲーム中に寝落ちしちゃったんだよ、このおねーさん（ひそひそ））   (2024/10/25 01:14:16)

十六夜咲夜 ◆> 配分というかなんというか…   (2024/10/25 01:14:28)

十六夜咲夜 ◆> そ、それはあんなにするから…っ(言わなくていいのに自白)   (2024/10/25 01:14:55)

エロガキ♂13J> 【あー……なるへそ…それは色々気まずいですな……（ひそひそ、ジト目）】   (2024/10/25 01:15:14)

エロガキ♂13J> ほうほう、あんなにとは？（メモを片手にお傍で正座）   (2024/10/25 01:15:47)

エロガキ♂14C ◆> シャーロットおねーさんの口からも、咲夜おねーさんみたいに言わせてみたいなあ。タイミング見て勝負挑まなくちゃっ。   (2024/10/25 01:16:39)

エロガキ♂19b ◆> 寝落ちなんてここじゃ、最早あるあるだからあんまりきに...まぁ、なるか...   (2024/10/25 01:16:40)

エロガキ♂13J> 気になるね…気になりますよ……罰ゲーム逃げたみたくなるし…心中お察しします   (2024/10/25 01:17:51)

十六夜咲夜 ◆> 世の中には聞かなくていいこともあるのよ？(メモをナイフでテーブルに)   (2024/10/25 01:17:51)

シャーロット・レイス ◆> 時間にもよりますよ。寝落ちは私もありますし   (2024/10/25 01:17:54)

エロガキ♂14C ◆> 最初は甘えてすりすりしあってただけなのに、咲夜おねーさんったら火がついちゃったから……（責任ぶん投げスタイル）   (2024/10/25 01:18:04)

エロガキ♂14C ◆> 僕が寝落ちるのは基本おねーさんに添い寝してもらう時だけかなー？   (2024/10/25 01:18:45)

十六夜咲夜 ◆> ちょっと！？むしろ放火したのCくんの方じゃないっ！？   (2024/10/25 01:18:48)

エロガキ♂19b ◆> 俺なんて最近ほぼここで寝落ちしてる気がする？もう覚えてねえや   (2024/10/25 01:18:50)

シャーロット・レイス ◆> 寝落ちはよく…個室で   (2024/10/25 01:19:24)

エロガキ♂13J> ひっ！！？……DIO様のパクリ能力……（ボソッ）   (2024/10/25 01:19:35)

エロガキ♂14C ◆> 知らないなー？咲夜おねーさんが見られたがりなのはいつもでしょー？（にこにこ）   (2024/10/25 01:20:05)

エロガキ♂13J> ほうほう、見られたがりなのか…（メモメモ）   (2024/10/25 01:20:27)

エロガキ♂14C ◆> （ちなみに寝落ちて寝てる相手にするイタズラはとても楽しいよ、ってシャーロットおねーさんをちらり）   (2024/10/25 01:20:44)

十六夜咲夜 ◆> しかも色々と誤解招くことばっかり…(頬引っ張ってぐいぐい)   (2024/10/25 01:21:03)

エロガキ♂19b ◆> 今度咲夜ちゃん見かけたら遊びに行こうかな..最近譲ってばっかだし   (2024/10/25 01:21:13)

十六夜咲夜 ◆> あら…寝てる間に何されたのか知りたくもあり知りたくなくもあり…w   (2024/10/25 01:21:31)

エロガキ♂13J> ……睡眠…ムラムラするねぇ…   (2024/10/25 01:22:01)

エロガキ♂14C ◆> 寝てる間のイタズラは大体個室でやるから、相手が起きた時にはお部屋が閉じてるってオチだけどね！！！   (2024/10/25 01:22:22)

シャーロット・レイス ◆> まあ…寝てる間に何もされてないからいいのだけど…   (2024/10/25 01:22:36)
