/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 01時54分 ～ 2024年10月27日 20時51分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

蛍> 頼まれた事も済んだし…長く居座ってたから私もそろそろ出ないと(すっかり夜遅くなってる事に気が付いて、ちょっと欠伸出ちゃうそう。膝の上に寝かせてたパイモンが寝言零してるのは今日の夜ご飯が美味しかったから、その夢かも。パイモンを大事に抱き抱えて、ソファから立ち上がれば静かなお部屋後にして)
  (2024/10/27 01:54:04)

おしらせ> 蛍さんが退室しました。  (2024/10/27 01:54:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 02:14:52)

エロガキ♂19b ◆> くるくる～！！っと..こっちでお話し相手待ってみたり？   (2024/10/27 02:15:51)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 02:36:09)

ミミ ◆> わー！(扉ばん、)   (2024/10/27 02:36:22)

エロガキ♂19b ◆> わー！！！   (2024/10/27 02:37:00)

ミミ ◆> こんばんはー！   (2024/10/27 02:37:06)

エロガキ♂19b ◆> こんばんはー！！！まさか来るとは思わなかった！   (2024/10/27 02:37:49)

ミミ ◆> おにーさんずとすごーげんきー！(きゃっきゃっ、)ミミはお嬢のきょーもお嬢の抱き枕探しだぜっ   (2024/10/27 02:39:00)

ミミ ◆> (誤変換したー！)   (2024/10/27 02:39:29)

エロガキ♂19b ◆> お兄さんもなかなか寝付けなくてね...暇好きで石になるところだったよ～、   (2024/10/27 02:40:13)

ミミ ◆> 石になったらお嬢に言って売ったげる！   (2024/10/27 02:40:44)

エロガキ♂19b ◆> いくらで売れそう？   (2024/10/27 02:41:03)

ミミ ◆> んー、、分かんない！   (2024/10/27 02:41:35)

ミミ ◆> おにーさん遊びに行かないのー？(本部屋ちら、)   (2024/10/27 02:42:17)

ミミ ◆> あり、？おにーさん寝たー？(杖でつん、)   (2024/10/27 02:45:21)

ミミ ◆> だめぽいー？(飛び付いて後ろ向きに引っ張り倒して、上からじぃ、)   (2024/10/27 02:48:24)

ミミ ◆> おにーさんおやすみー、(ミミのローブお腹にかけてあげて、)   (2024/10/27 02:51:22)

おしらせ> カリオストロさんが入室しました♪  (2024/10/27 02:51:50)

ミミ ◆> こんばんはー！   (2024/10/27 02:52:03)

カリオストロ> はーい、居るかな？今晩は♡   (2024/10/27 02:52:18)

カリオストロ> もう一人は？   (2024/10/27 02:52:23)

ミミ ◆> おにーさんは寝てるぽいー？   (2024/10/27 02:52:38)

カリオストロ> 寝てるならいいのよね。   (2024/10/27 02:52:54)

カリオストロ> っていうか、初めましてよねー？   (2024/10/27 02:53:19)

ミミ ◆> 何するのー？(きょと、)   (2024/10/27 02:53:26)

ミミ ◆> たぶんー！   (2024/10/27 02:53:37)

カリオストロ> いえいえ、１９君に気になる事があったら、と思ってねー   (2024/10/27 02:53:59)

ミミ ◆> おにーさんよく居るからたまーに見るといいかもー？   (2024/10/27 02:54:27)

カリオストロ> うーんと、あれね、魔女が出て来るやつね。お嬢ちゃんは何なの？   (2024/10/27 02:54:41)

カリオストロ> よく居るわね本当に…何時間睡眠なのかしらね。   (2024/10/27 02:55:07)

ミミ ◆> ミミは三人兄弟のおねーちゃんだよ！(どやぁ、)   (2024/10/27 02:55:12)

カリオストロ> 三人兄弟は人間なの？   (2024/10/27 02:55:36)

