/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 20時51分 ～ 2024年10月28日 13時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18D ◆> (理解～～～！！お疲れ様です……)   (2024/10/27 20:51:52)

エロガキ♂17L ◆> (さ、忙しくなるか暇になるか、楽しみだ)   (2024/10/27 20:53:02)

エロガキ♂18D ◆> (一般的なら休日から平日、週始めですからねぇ……どうなるか……)   (2024/10/27 20:54:07)

エロガキ♂17L ◆> (今のうちにリセット使ってライフ回復させとくのも手かな……)   (2024/10/27 20:54:50)

エロガキ♂18D ◆> (自分だけにリセット使えたら楽ではあるんですけどねぇ)   (2024/10/27 20:55:33)

エロガキ♂17L ◆> (ほんとそれ)   (2024/10/27 20:56:05)

エロガキ♂18D ◆> (全世界適応なのが……中々ですしねぇ……)   (2024/10/27 20:56:46)

エロガキ♂17L ◆> (それなんよね、地味に厄介)   (2024/10/27 20:57:51)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 20:58:06)

ミミ ◆> わー！(扉ばん、)   (2024/10/27 20:58:15)

エロガキ♂18D ◆> (適応場所を選べたらいいんですが……)おや、ミミさん……   (2024/10/27 20:58:30)

ミミ ◆> ただいまー？   (2024/10/27 20:58:36)

エロガキ♂18D ◆> すぅ……(息を吸って……)おかえりーーー！！！   (2024/10/27 20:58:50)

ミミ ◆> うわ！おにーさんいっつも元気ー！(きゃっきゃっ、)   (2024/10/27 20:59:13)

ミミ ◆> ミミはそんなにずっといないけど来たよー！   (2024/10/27 20:59:48)

エロガキ♂17L ◆> こんばんはー!!(gameover、いつものようにcontinue)   (2024/10/27 20:59:48)

エロガキ♂18D ◆> 何しろ今日は運動してちょっと色々食べましたからねぇ……！！元気ですよ……！   (2024/10/27 21:00:08)

エロガキ♂18D ◆> (あぁ、またライフが一つ……これミミさんくる度にライフが尽きるのでは)   (2024/10/27 21:00:36)

ミミ ◆> おにーさんもめちゃ元気ー！(きゃっきゃっ、)   (2024/10/27 21:01:06)

