/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月30日 06時45分 ～ 2024年10月30日 20時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/30 06:45:09)

エロガキ♂11T> おはよう～ございます   (2024/10/30 06:45:21)

クラリス ◆> だ、だいじょうぶだよ、この感じだと戦ってたところしか見られてないよ！（あわあわ）   (2024/10/30 06:45:24)

キタサンブラック> どうも～おはようございます♪   (2024/10/30 06:45:35)

エロガキ♂11T> 二人の戦い、見てましたよ～(ニヤニヤ)   (2024/10/30 06:45:59)

キタサンブラック> ある意味、そのあとも戦いみたいなものだったような？（しれっと）   (2024/10/30 06:45:59)

クラリス ◆> 11くんおはよう！（すかさず復讐の念押しをスルー！）   (2024/10/30 06:46:11)

エロガキ♂11T> (罰部屋もね…(笑))クラリスお姉さん、復讐できたらいいね～   (2024/10/30 06:46:42)

クラリス ◆> 〜〜〜〜（机に突っ伏し）   (2024/10/30 06:46:43)

キタサンブラック> まぁ、でもやっぱり朝からだと体力つかいますね～♪　クラリスさんはこの後大丈夫ですか？   (2024/10/30 06:47:32)

エロガキ♂11T> クラリスお姉さん…大丈夫？…(わざと聞いて)   (2024/10/30 06:47:39)

エロガキ♂11T> (クラリスお姉さんの痴態を見てから、もうガチガチでヤバイんだよな…)   (2024/10/30 06:48:32)

クラリス ◆> うう、あんまり大丈夫じゃないかも、今日もししょーの研究につきあわなきゃだし…でも今ぐらいの時間しか開かないし【厳密には寝る前も開いてますけど眠気が…という】   (2024/10/30 06:49:53)

エロガキ♂11T> キタサンお姉さんのいじめかたは勉強になるな～   (2024/10/30 06:50:04)

エロガキ♂11T> クラリスお姉さん、忙しいんだね～   (2024/10/30 06:50:56)

キタサンブラック> まぁ、無理だけはしないようにね？……アタシも朝から挑んでおいてだけど……まぁ、体の休息と同じく心の補充も必要だから、こういうのも肝心だよね（特にアタシらみたいなタイプには……ね♪）   (2024/10/30 06:51:16)

クラリス ◆> キタちゃん、ほんとに疲れてる？ 逆につやつやしてない？（むー、って膨れながら頬つんつん）   (2024/10/30 06:52:00)

エロガキ♂11T> クラリスお姉さん…無理したらダメだよ…(クラリスお姉さんの頭をなでなで…)   (2024/10/30 06:52:10)

キタサンブラック> ん～アタシの？……そうかな～？男の人って基本ハメが中心なイメージが強いだけで、アタシにはそれがないだけだと思うよ～？   (2024/10/30 06:52:18)

キタサンブラック> ん～気持ちの上ではつやつや、でもやっぱりアタシもされたい側だから攻めは体力はつかうよ？ま、それでもしたいからこそ楽しめてるわけだけど♪   (2024/10/30 06:53:02)

エロガキ♂11T> キタサンお姉さん、そうなんだよ、それがないから違うところに意識行くからね～   (2024/10/30 06:53:06)

キタサンブラック> 特に、相手がクラリスさんみたいに加減しなくていいってわかってると、楽しくなっちゃってついついオーバーワーク気味なのは少し考えものかも？   (2024/10/30 06:53:32)

エロガキ♂11T> あ、それはわかるかも、相手がクラリスお姉さんだと、手加減なしに責めまくれるのはあるね   (2024/10/30 06:54:20)

キタサンブラック> アタシの場合、おちんちんが在ったら、気持ちいいんだろうな～って思う感情もなくはないけど……やっぱり自分が行くならこうされたいから～で動けるってのも、少しオスガキさんとはムーブの違いに出るのかな？   (2024/10/30
06:55:14)

クラリス ◆> そうなんだ…キタちゃんには負けっぱなしだし、一緒に負けたときも気丈な感じがしてたから、ちょっと意外かも≫されたい側   (2024/10/30 06:55:30)

エロガキ♂11T> キタサンお姉さん、違いはあると思うよ～   (2024/10/30 06:56:05)

クラリス ◆> ちょっとは手加減してね！？≫11くん   (2024/10/30 06:56:26)

キタサンブラック> 気丈というか……たぶんだけどその、単にあんまりこぉ、ね？（乗れてなかっただけのような気がする。乗ってるとすぐ蕩けるし）   (2024/10/30 06:56:29)

エロガキ♂11T> キタサンお姉さん、されたい側だよね～(とろとろにしてみたいもん)   (2024/10/30 06:56:51)

エロガキ♂11T> クラリスお姉さん…手加減無しのほうが好きなのに？   (2024/10/30 06:57:16)

キタサンブラック> ん～なんだろう、１１Tさんの言うクラリスさんだから～とアタシのクラリスさんだから～はニュアンスが少し違うかな～って   (2024/10/30 06:57:36)

エロガキ♂11T> そうだね、違うと思う…   (2024/10/30 06:58:09)

クラリス ◆> 時と場合によるよ！？（建前）≫【だから最近は支援参戦が多いんですよ（本音）】   (2024/10/30 06:58:46)

キタサンブラック> ある意味思い込みもあるけど……アタシは何となく自分に似てる、自分の物差しで基準を図れるから、クラリスさんならここまではやっても大丈夫が見やすいって意味で手加減しなくていい出会って、エロガキさんが言う手加減は、たぶんかなりクラリスさんがおおらかだから～って意味合いかな～って
  (2024/10/30 06:58:46)

エロガキ♂11T> (クラリスお姉さん、支援多いからちょっとさみしいのはあるかな)   (2024/10/30 06:59:48)

エロガキ♂11T> キタサンお姉さん基準の責めとエロガキがやりたい放題するのは、違うもんな…クラリスお姉さんが心広いってのもわかるかな   (2024/10/30 07:01:05)

クラリス ◆> ウチだって本当に嫌なことは嫌って言うからね！？（これは本当、罰部屋で【】意思表示もそこそこはあります）   (2024/10/30 07:01:09)

キタサンブラック> まぁだから……なんともなんだけどねぇ（キタクラとか名乗ってて、○○同盟なんて並べて貰ってるけど、アタシはたぶんクラリスさんほど大らかじゃない、乗れない条件も多いから、並べて貰っててなんか少しアタシでいいのかな～みたいな）  
(2024/10/30 07:01:23)

エロガキ♂11T> 基本的に嫌なことはしないから、そこは安心して欲しいかな   (2024/10/30 07:01:53)

エロガキ♂11T> スイッチ入る条件は人それぞれだから、それは仕方ないと思うよ～キタサンお姉さん   (2024/10/30 07:02:55)

クラリス ◆> そこは信用してる…（【】無視で押し通されたら流石に途中落ちですね、幸いまだ無いですけど）   (2024/10/30 07:03:27)

エロガキ♂11T> 意思表示されれば、即そういう行為はやめるし   (2024/10/30 07:03:41)

エロガキ♂11T> (無視されたら、即落ちでいいと思うよ)   (2024/10/30 07:04:17)

キタサンブラック> でも、またクラリスさんとはぜひ復讐は置いといても、お尻な食べたいよね～♪（決して肩ではない   (2024/10/30 07:04:32)

キタサンブラック> げふんげふんっ（お尻並べたい、な食べたいってなんだ！）   (2024/10/30 07:05:03)

おしらせ> サトノダイヤモンド ◆ktst/.ut8sさんが入室しました♪  (2024/10/30 07:05:21)

サトノダイヤモンド ◆> 安心して、キタちゃんはえっちだよ…♥（するりと侵入、するりと接近、するりと囁き。）   (2024/10/30 07:05:24)

エロガキ♂11T> (二人を並べて、いじめてみたい気持ちはある)   (2024/10/30 07:05:28)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/30 07:05:52)

エロガキ♂11T> キタサンお姉さん、そんなにクラリスお姉さんのお尻を…(笑)   (2024/10/30 07:05:58)

キタサンブラック> あ、ダイヤちゃんおは――！？ぶっ、ど、どどど、どこまで見られてるの、かな？（汗だらだらだら）   (2024/10/30 07:06:07)

エロガキ♂11T> 賑わってきたけど、そろそろ落ちないとなのがつらい   (2024/10/30 07:06:32)

クラリス ◆> はわっ！？（不意打ち登場のダイヤちゃんにびっくり）18さんも、お、おはようございますっ   (2024/10/30 07:06:44)

エロガキ♂18D ◆> おはようございます…朝から盛り上がってるようで。お邪魔いたします   (2024/10/30 07:06:48)

サトノダイヤモンド ◆> おはようございます、偶々覗いたらキタちゃんがいたので…少しだけ寄っちゃいました。（改めて皆さんに挨拶、ぺこり。）   (2024/10/30 07:06:50)

エロガキ♂11T> ダイヤお姉さんもエッチなの？…   (2024/10/30 07:06:55)

キタサンブラック> Dさんおはよーございまーす   (2024/10/30 07:07:02)

エロガキ♂18D ◆> ダイヤさんは初めまして、ですかね。何だかんだで……よろしくお願いいたします。(キタちゃん以外のウマ娘を初めて見た気がする)   (2024/10/30 07:07:45)

キタサンブラック> ま、前も何度かここに来たダイヤちゃん、かな？（まぁ、蕩け顔見られてる相手、っぽいな～って）   (2024/10/30 07:07:47)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/30 07:09:04)

クラリス ◆> ダイヤちゃんとも、また一緒に戦いたいなぁ（共闘して勝ったとき、おとなしい印象だったから罰ゲームで日和ったのが心残り）   (2024/10/30 07:09:13)

クラリス ◆> 17さんおはようございます！   (2024/10/30 07:09:59)

エロガキ♂18D ◆> おや、17さんも…おはようございます(よかった、今回は普通だ…！！)   (2024/10/30 07:09:59)

エロガキ♂17L ◆> おはようっと(ユニコーンガンダムから降りて入ってきた人)   (2024/10/30 07:10:03)

サトノダイヤモンド ◆> 私は…どうでしょう？キタちゃんやクラリスさんに比べたらまだまだです。（11さんの素朴な問いかけに照れながらお応えして。）   (2024/10/30 07:10:05)

キタサンブラック> どーもー、おはよーございまーす   (2024/10/30 07:10:34)

エロガキ♂18D ◆> (普通じゃなかった～～～！！)   (2024/10/30 07:10:47)

エロガキ♂11T> ダイヤお姉さん、そうなんだね…それなら今度、勝負させてね   (2024/10/30 07:10:48)

