/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 10時49分 ～ 2024年11月04日 19時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

花海佑芽> おはようございます！（眠そうなのに挨拶がうるさい）   (2024/11/4 10:49:11)

エロガキ♂17L ◆> 昨日の19時過ぎくらいから起きっぱだからね……眠いさ   (2024/11/4 10:49:40)

花海佑芽> （おっぱいの人よりは救いのある呼び方かも）   (2024/11/4 10:50:07)

エロガキ♂17L ◆> 元気な挨拶どうも……その元気分けて欲しいくらいだよ……   (2024/11/4 10:50:07)

エロガキ♂14C ◆> おっぱいの人より遥かに良くない？<コートの人   (2024/11/4 10:50:20)

エロガキ♂17L ◆> それはそうか＜コートの人   (2024/11/4 10:50:46)

エロガキ♂14C ◆> こほん。……こう、羞恥攻めとか好きだけど、佑芽おねーさんは思い切りがいいから脱ぐ時一気に脱いじゃうもんねー。   (2024/11/4 10:51:25)

花海佑芽> だって恥ずかしいじゃないですか！！（大声）   (2024/11/4 10:52:07)

篠澤広 ◆> 【ごめん、背後が忙しくなってきちゃった…。一度落ちるね。お相手ありがとう♪】   (2024/11/4 10:52:21)

おしらせ> 篠澤広 ◆CmCK1tn9X.さんが退室しました。  (2024/11/4 10:52:25)

エロガキ♂14C ◆> （まあ罰ゲームの時間の事考えるとある意味理想的なんだけどね。<一気に脱ぐ）   (2024/11/4 10:52:33)

エロガキ♂17L ◆> 【はーい、お疲れ様】   (2024/11/4 10:52:34)

花海佑芽> 【おつかれさまでした！】   (2024/11/4 10:52:42)

エロガキ♂14C ◆> 【おつかれさまー。またはなそーねー】   (2024/11/4 10:52:49)

エロガキ♂17L ◆> 【ちょい離席、風呂沸かしてくる】   (2024/11/4 10:53:18)

エロガキ♂14C ◆> じゃあ佑芽おねーさんの罰ゲームには少しずつ脱いだりとか、着替えるって罰ゲーム考えとくね。（にっこり）   (2024/11/4 10:53:26)

エロガキ♂14C ◆> 【いってらっしゃーい】   (2024/11/4 10:53:34)

花海佑芽> わーわーわー！！（完全に墓穴）   (2024/11/4 10:54:03)

花海佑芽> 【いってらっしゃいです！】   (2024/11/4 10:54:30)

エロガキ♂17L ◆> 【とりま戻った、少し時間できたくらいだけど】   (2024/11/4 10:54:37)

エロガキ♂14C ◆> ……佑芽おねーさん、なんていうかすごくわかりやすくて……うん。   (2024/11/4 10:55:00)

エロガキ♂17L ◆> つか……朝…いや、もうそろそろ昼か、どんな会話してんの、君ら……   (2024/11/4 10:55:18)

エロガキ♂14C ◆> 話振ってきたのは広おねーさんだし！僕悪くないし！   (2024/11/4 10:55:37)

花海佑芽> 14さんが煽るからです！！＞わかりやすい。   (2024/11/4 10:55:49)

花海佑芽> あたしが入ったら割とそんな雰囲気だったというか（友達は売れないので広ちゃんの名前は出しませんがお察し）＞なに話てんの   (2024/11/4 10:57:04)

エロガキ♂17L ◆> そういえば、最近ほとんど支援ばっかで罰まで行かないから誰がどんな感じなのか把握しきれてないな……(コーラゴクリ(どっから出した))   (2024/11/4 10:57:10)

エロガキ♂14C ◆> 歳下に煽られて冷静じゃなくなるよーじゃアイドルとしてはまだまだだと思うよ！僕的にはありがたいからそのままでいて欲しいけど。   (2024/11/4 10:57:30)

エロガキ♂14C ◆> 17Lにーさんも割とバトルジャンキーよりであまり罰ゲームに参加することないもんね。（お茶ずずず）   (2024/11/4 10:58:07)

エロガキ♂17L ◆> というか、煽られて冷静じゃなくなるのは、煽り耐性低すぎるだけじゃない？   (2024/11/4 10:58:20)

エロガキ♂17L ◆> まぁな、気が向いた時にしか罰参加しないし   (2024/11/4 10:58:38)

花海佑芽> うっうっうっ（的を射すぎてて何も言い返せないし否定できません！）   (2024/11/4 10:59:20)

エロガキ♂17L ◆> まぁ、別に誰がどんな会話してようが、あんま自分に関わらんから良いか……(スルースキル発動)   (2024/11/4 11:00:24)

エロガキ♂14C ◆> まあ僕も一部のおねーさんからの煽りには素直に反応しちゃうんだけどさ……。佑芽おねーさんの事言えないやつ。（誰からのとは言わないけど）   (2024/11/4 11:00:28)

エロガキ♂14C ◆> そして19bにーさんがゲーム部屋にいるね。この時間に他におねーさん降りてくるのかなあ。   (2024/11/4 11:01:20)

エロガキ♂17L ◆> 煽られても基本スルーしてるからあんま気にしてないな……   (2024/11/4 11:01:26)

花海佑芽> 【この時間からだとさすがにですね】   (2024/11/4 11:02:12)

エロガキ♂17L ◆> 【時々居るけどね〜】   (2024/11/4 11:02:48)

エロガキ♂14C ◆> 【エロガキ側の頭数だけ増やしてもどーしよーもないからきてくれるといいね、って見守ってる】   (2024/11/4 11:03:19)

花海佑芽> 【早めのお昼にするので一旦ぬけます！】   (2024/11/4 11:03:37)

エロガキ♂17L ◆> 【ほいほい、行ってらっしゃい〜】   (2024/11/4 11:03:50)

エロガキ♂14C ◆> 【はーい、おつかれさまー。またねー。】   (2024/11/4 11:03:53)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/4 11:03:59)

エロガキ♂14C ◆> それにしてもあまりやりすぎると、とは思ったりするけどたまーにこのガワを他のキャラをモチーフにしたガワにしたくなることがあるんだよね。エロガキかって聞かれるとビミョーなんだけど。   (2024/11/4 11:04:59)

エロガキ♂17L ◆> あ〜、わかるかも……その気持ちは、俺もこの口調の時は良いけど……丁寧口調の時はモチーフあったりするけど…あれは年齢一致してるから気にならんかな……   (2024/11/4 11:07:00)

エロガキ♂14C ◆> 元々僕自身キャラをやる事のほーが多かったからねー。とはいえ、そのガワだと甘えん坊ではなくなるから、仮にゲーム部屋いくなら完全に攻め側スイッチ入れないとなんだけど。   (2024/11/4 11:09:41)

エロガキ♂17L ◆> まぁ、也俺もキャラやってた事が多かったしな、口調の荒らさが変わるくらいで基本スタイルあんま変わらんし、スイッチ切り替えるとかあんま無いけどな   (2024/11/4 11:11:25)

エロガキ♂17L ◆> 【ダメだな、集中力切れかけてんな……悪い、レス蹴りになって悪いけど抜けるわ】   (2024/11/4 11:13:04)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/11/4 11:13:15)

エロガキ♂14C ◆> 【はーい、ゆっくりやすんでねー。】   (2024/11/4 11:13:22)

エロガキ♂14C ◆> ……ふう。静かになった。なんであんな盛り上がってたんだろ。（他人事）   (2024/11/4 11:14:19)

エロガキ♂14C ◆>    (2024/11/4 11:18:50)

エロガキ♂14C ◆> なんか、最近ルブルポンコツ気味？発言した覚えのない無言投稿が生まれてる…   (2024/11/4 11:19:23)

エロガキ♂14C ◆> まあいいや、僕もやることやりつつ気が向いたらゲーム部屋行こうかな。それじゃ、お邪魔しましたー。   (2024/11/4 11:19:49)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/4 11:20:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 12:08:45)

エロガキ♂19b ◆> 寝落ち真君19bがやってきましたよー(本当に申し訳ない！！)こんにちは～   (2024/11/4 12:09:48)

エロガキ♂19b ◆> ごはんたべてこよー   (2024/11/4 12:22:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 12:22:31)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/4 13:04:50)

エロガキ♂14C ◆> タイミングを逃したので観戦する事にした僕だよ。こんにちは。   (2024/11/4 13:05:08)

エロガキ♂14C ◆> あの人数の中入るとけっこー大変なことになるからねぇ。まだゲーム不慣れなおねーさん多そうだったし。   (2024/11/4 13:06:09)

エロガキ♂14C ◆> 【観戦用ドリンクラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/11/4 13:07:07)

エロガキ♂14C ◆> 1d6 → (6) = 6  (2024/11/4 13:07:11)

エロガキ♂14C ◆> ……いいんだけどね。（グラスに注いだ青汁をちびちび）   (2024/11/4 13:07:32)

エロガキ♂14C ◆> やっぱり人数がそれなりにいるといい感じに拮抗しやすいねー。ワンサイドはそれはそれで、だけどこのバランス感は遊んでる側としてはとても楽しいよ。   (2024/11/4 13:08:26)

エロガキ♂14C ◆> ……駄目だ、みてると乱入したくなる（うずうず）   (2024/11/4 13:09:51)

エロガキ♂14C ◆> まあ今のところエロガキサイドが優勢だし、万が一にもひっくり返りそうなら支援で行くのも……むむむ。   (2024/11/4 13:10:46)

エロガキ♂14C ◆> （青汁という名の鎮静剤ごくごく）   (2024/11/4 13:11:39)

エロガキ♂14C ◆> 44は強いなあ……！ユイおねーさんは強敵、と（メモメモ）   (2024/11/4 13:12:22)

エロガキ♂14C ◆> 一進一退だなあ。まさかの4-4だ。   (2024/11/4 13:14:19)

エロガキ♂14C ◆> エロガキサイドが負けちゃったみたいだね。残念でした、と。（青汁飲み切り）   (2024/11/4 13:16:03)

エロガキ♂14C ◆> 全員罰ゲーム部屋行きだろうし、暫くこっちには帰ってこないかな。……戦ってくれるおねーさんとか来てくれていいんだよ？（ちらっ）   (2024/11/4 13:17:04)

エロガキ♂14C ◆> まあそれなら直接ゲーム部屋行くよね、うん。（改めてお茶をずずず）   (2024/11/4 13:18:47)

エロガキ♂14C ◆> （このままいると常駐率トップの19bにーさんの後釜になりそうで少し怖い僕です）   (2024/11/4 13:20:05)

エロガキ♂14C ◆> ……とりあえず外出の準備でも裏ですすめとこーかな   (2024/11/4 13:20:50)

エロガキ♂14C ◆> えっちな罰ゲームしてくるおねーさんってそういう意味では少ないよね。……生殺し率が大半だけど！（ぶるぶる）   (2024/11/4 13:24:06)

おしらせ> エロガキ♂14Azさんが入室しました♪  (2024/11/4 13:29:52)

エロガキ♂14C ◆> 罰ゲーム部屋では出る杭はなんとやら…っとこんにちはー   (2024/11/4 13:30:22)

エロガキ♂14Az> おねーさんじゃなくってごめんな！ こんにちわーっ！　いやー、つよいねー！おねーさん陣！   (2024/11/4 13:30:27)

エロガキ♂14C ◆> ゲーム部屋ならともかく雑談なら誰がきても歓迎だよ、ましてやぼっちの時なんか……！（独り言吐き続ける変質者脱出！）   (2024/11/4 13:31:13)

エロガキ♂14Az> あはは！ でも罰ゲーム終わったあとってゲームの感想とか言い合うのにこっち人来そーじゃない？　……そういや罰ゲームだけどハードなことするお姉ちゃん少ないよね。結構意外だった！お尻とかフツーにされんのかなって！（にへへ♪）  
(2024/11/4 13:32:41)

エロガキ♂14C
◆> 罰ゲーム楽しみな面もあるけど、やっぱりゲームの方も強い方が楽しめるからね。……ああ、うん。それはあるかな。あとは支援オンリーな人なんかが来たりもするね。罰ゲームから僕らを（性的な意味で）可愛がってくれるおねーさんは殆どいないよー。えっちなこと、気持ちよくなれないのが罰みたいな節はある！
  (2024/11/4 13:34:03)

エロガキ♂14Az> 今回ユイ姉ちゃんがすっごかったよねー（うんうん）　でも一応接戦だったし善戦したよねー。負けちゃったけど。　まあお尻犯すー、っていうのは結構要求するほうも要求されるガキ側でも、ちょっとやめてー、っていう人多そうではあるのかもだよね。　でも「誰に何をするつもりだったか」っていうのは結構羞恥プレイ罰ゲーム感あったねー
  (2024/11/4 13:37:08)

エロガキ♂14C
◆> 44とか普通に越えられない壁だからね。逆境に強いタイプなのかも。僕もお尻はあんまり……な側だからねー。後はやっぱり罰ゲーム時間の事考えると、そこまでディープには出来ないからね。誰に何を、は確かに人によっては堪えるのかも。僕みたいに嗜好フルオープンしてると最早開き直っちゃうけどね！（ふんす）
  (2024/11/4 13:39:49)

エロガキ♂14C ◆> ん、罰ゲームも終わりみたい。……時間知らせるのにチャイムの音、斬新だ……！   (2024/11/4 13:42:33)

エロガキ♂14Az> 44とか出された日にはもーお手上げだよねー！（ばたーんって仰向け） あ、でも昨日初めてやって思ったんだけど20分～30分でも結構いろいろできるんだなー？
って思ったよー。前戯もあんまできないかなーって思ってたくらいだったから。　　同じく嗜好フルオープンだからボクも♪　　でも負けても一番楽しんでるの15Mくんだった感じ♪　ぴんぽんぱんぽん♪   (2024/11/4 13:43:34)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/4 13:44:22)

