/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 19時36分 ～ 2024年11月05日 02時53分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> (触れただけでびくびくって、)   (2024/11/4 19:36:11)

天音かなた> 僕も彼方呼びは黙認してますからね、おいイヌコロオラ！！   (2024/11/4 19:36:32)

栞葉るり> そんなだからブロックされるんですよ、インターネットやめちまえ！！   (2024/11/4 19:36:40)

キタサンブラック> ……感度3000倍まであと2990？   (2024/11/4 19:36:42)

胡桃 ◆> あれ、今胸の話しなかった…？(すん…)   (2024/11/4 19:36:52)

エロガキ♂13HL ◆> 胸の話してないよ！   (2024/11/4 19:37:11)

天音かなた> 胡桃ちゃん、こんな世界、いっしょに破壊してしまおう（）   (2024/11/4 19:37:20)

栞葉るり> 胸は一番人気キタサンブラック   (2024/11/4 19:37:29)

キタサンブラック> 胸は？！   (2024/11/4 19:37:43)

胡桃 ◆> (そこまで感度上げるなら…稲妻の彼女がいいかもと堂主は邪な考えをした、)   (2024/11/4 19:37:50)

胡桃 ◆> 乗った！！私とかなたさん…いや！かなたちゃんと一緒に暴れる回るから！(尚重撃のみな模様)   (2024/11/4 19:39:02)

キタサンブラック> 感度3000倍だとどうなるんでしょうね？とりあえず箪笥の角に小指ぶつけると悶絶死するくらいでしょうか？   (2024/11/4 19:39:20)

栞葉るり> 胸のことならダントツ一番人気かと！！その他は…いい勝負してますよ！   (2024/11/4 19:39:26)

エロガキ♂13HL ◆> 感度3000倍って確かにどれくらいなんだろう…   (2024/11/4 19:39:52)

胡桃 ◆> キタちゃんに対するとんでもないパスの仕方したるりはさすがとしか…(その他はいい勝負、この一言で私はこっそり部屋の隅で笑いを堪えた)   (2024/11/4 19:40:01)

栞葉るり> 良いんですか？破壊すると部屋を破壊しながら入ってくる人に注意できなくなりますよ？   (2024/11/4 19:40:12)

