/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月08日 02時20分 ～ 2024年11月08日 20時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、眠いからすぐ居なくなるよ？   (2024/11/8 02:20:44)

胡桃 ◆> こんばんは！   (2024/11/8 02:20:48)

胡桃 ◆> 19bさんも寝付きが良くなるといいね。(この時間に元気な人見ると夜行性でもない限り心配になるし、)   (2024/11/8 02:21:50)

胡桃 ◆> やば…昨日と同じ轍を踏みそう。その前には退散するけど…。   (2024/11/8 02:22:27)

エロガキ♂19b ◆> おっと！！まだねてないよ！   (2024/11/8 02:22:56)

胡桃 ◆> 少なくとも私の方が先に寝ると思うよ？今だって瞼重たいんだから。   (2024/11/8 02:23:43)

エロガキ♂19b ◆> って思ったら寝ちゃうのは胡桃ちゃんだね..寝顔とってもいい？   (2024/11/8 02:23:56)

胡桃 ◆> だーめ。寝る前にはちゃんと退室するからね〜！私の寝顔は個室で私が寝落ちした時しか見れないかも…？   (2024/11/8 02:24:33)

エロガキ♂19b ◆> あまりにも貴重が過ぎる！？   (2024/11/8 02:25:12)

エロガキ♂19b ◆> でもそれぐらいの価値がある最高の寝顔って訳だね～...みれるのはいつになるやら   (2024/11/8 02:25:51)

胡桃 ◆> 今なら私の眠たい顔くらいは拝めるよ、だって眠いし！(瞼下がり気味、)   (2024/11/8 02:26:29)

エロガキ♂19b ◆> めっっっっちゃ可愛いよ！目に焼き付けておくね！！   (2024/11/8 02:27:18)

エロガキ♂19b ◆> ちなみに寝つきがよくなるようにって祈り始めてからはや6年...安眠の時は訪れないのだ..でも～深夜には深夜の楽しみかたがあったりなかったり？   (2024/11/8 02:28:53)

胡桃 ◆> 楽しみ方って例えば？私の声を聞いてたりとかじゃないよね〜？   (2024/11/8 02:31:00)

胡桃 ◆> とか言ってるうちに、私は怪しくなってきたからお暇するね。19bさんもちゃんと寝るんだよ？(一応、額に腕伸ばして軽く撫でてから眠たそうに欠伸を零して、)   (2024/11/8 02:31:47)

エロガキ♂19b ◆> 了解了解ー、楽しみかたの話しはまたこんどー   (2024/11/8 02:32:12)

エロガキ♂19b ◆> 照れるじゃないか～...ま、、できるだけはやめには寝るよ～(もう遅い)   (2024/11/8 02:32:53)

胡桃 ◆> うん、また今度。風邪ひかないようにね。(くす、)   (2024/11/8 02:33:04)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 02:33:11)

エロガキ♂19b ◆> おやすみ～！！   (2024/11/8 02:33:22)

エロガキ♂19b ◆> この時間は皆眠くなるもね。俺としては胡桃ちゃんがこの時間に寝てくれてるというのがとても嬉しい嬉しい...   (2024/11/8 02:34:50)

エロガキ♂19b ◆> んんー！！でももうこっちにはこなさそうだよねぇ...最後に勝負部屋を覗いてから...そうしよう   (2024/11/8 02:38:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 02:38:49)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/11/8 05:30:59)

エロガキ♂18Z> おはよぉー(ノソノソ)   (2024/11/8 05:31:19)

エロガキ♂18Z> 多分7時間は寝たかなー。よく寝た気分   (2024/11/8 05:32:55)

エロガキ♂18Z> んで、寒いって思って温度計見たら9度で寒すぎっ！ってなった(がくぶる)   (2024/11/8 05:34:56)

エロガキ♂18Z> 本格的に冬が来た感じだなぁ。   (2024/11/8 05:36:05)

エロガキ♂18Z> カニの水揚げも解禁したみたいだし、カニ味噌が食べたいぜ〜。身につけて食べるのが好きー   (2024/11/8 05:38:20)

エロガキ♂18Z> フトンツムリになってるかな(モゾモゾ)   (2024/11/8 05:46:01)

エロガキ♂18Z> しかし、この時間か夜中が基本になってるから遭遇率があまり高くないのもあれだな〜   (2024/11/8 05:53:12)

エロガキ♂18Z> またきまーす。ではではー   (2024/11/8 05:58:34)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/11/8 05:58:36)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/8 06:42:58)

花海佑芽> おはようございます！（ペースト飯じゃない、一般の人でも大丈夫なお弁当の差し入れ）   (2024/11/8 06:44:03)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/8 06:46:22)

エロガキ♂12Ω ◆> おっすおっすー。   (2024/11/8 06:46:44)

