/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月11日 13時57分 ～ 2024年11月12日 22時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レモン・アーヴィン> えっと、大変なことってどんなことですか？   (2024/11/11 13:57:53)

エロガキ♀15kb> 貞操の危機というか、まぁ負けちゃうと犯されちゃう可能性高めなので？   (2024/11/11 13:58:19)

エロガキ♂19b ◆> それにレモンちゃん可愛いから皆群がっちゃうかも？   (2024/11/11 13:58:54)

レモン・アーヴィン> えっと、かかか、かまいませんよ　負けませんので、でも雑談でも大丈夫なんで、   (2024/11/11 13:59:01)

レモン・アーヴィン> ううう、私みたいなのに群がるなんて..   (2024/11/11 13:59:20)

エロガキ♀15kb> そこのデッカい人とか、アタシみたいな15歳以下でも平気で手を出そうとしますからね。（指さしつつ）   (2024/11/11 14:00:10)

エロガキ♂19b ◆> 俺は誰にでも手を出すよ～っと   (2024/11/11 14:01:20)

レモン・アーヴィン> ううう...、そんなに、ですか。でも魔法があればなんとかなります   (2024/11/11 14:01:21)

エロガキ♂19b ◆> あ、女の子と男の娘ならね！   (2024/11/11 14:01:41)

エロガキ♀15kb> まぁ負けちゃったら、よっぽどNGな内容以外受け入れ前提になるので……魔法で負けをチャラにはできないのもありまして   (2024/11/11 14:02:32)

レモン・アーヴィン> ううう..大丈夫です私は負けません   (2024/11/11 14:05:00)

エロガキ♂19b ◆> みんなそう言って負けていくんだよね...   (2024/11/11 14:05:29)

レモン・アーヴィン> 私はいってほうがいいんですか？   (2024/11/11 14:06:33)

エロガキ♀15kb> あー、勝負への参加は負けた場合の心の準備が出来てからでいいかな～とか、必要ならアタシは仮性……こほん、加勢しますよ？   (2024/11/11 14:07:26)

レモン・アーヴィン> 大丈夫です、いきましょう   (2024/11/11 14:08:25)

エロガキ♀15kb> と、言うことで申し込まれているみたいですが、とりあえず2対1ですかね   (2024/11/11 14:08:48)

エロガキ♂19b ◆> やるのならうけましょうー！   (2024/11/11 14:11:25)

エロガキ♂19b ◆> たぶんこっちはすぐに増えると思いますしおすし   (2024/11/11 14:11:38)

レモン・アーヴィン> 勝負部屋ってところでどこですか？   (2024/11/11 14:11:55)

エロガキ♀15kb> 「版権♀VSエロガキ 【仮】」ってお部屋ですね   (2024/11/11 14:12:53)

エロガキ♂19b ◆> こっちはすぐに増えるっていったけど...そういえば今はkbちゃんこっち側だった...ついつい忘れてしまうぜぇ   (2024/11/11 14:13:50)

エロガキ♀15kb> とりあえず、アタシは大丈夫ってことですが、人数次第で抜けか変化しますので～   (2024/11/11 14:14:31)

エロガキ♂19b ◆> 変化できるの便利だよねぇ...俺にはできない芸当だぁ   (2024/11/11 14:15:32)

エロガキ♀15kb> では、お二人で先に移動どうぞ～   (2024/11/11 14:15:49)

レモン・アーヴィン> わかったの、じゃあ移動するの   (2024/11/11 14:16:03)

おしらせ> レモン・アーヴィンさんが退室しました。  (2024/11/11 14:16:07)

エロガキ♂19b ◆> 了解～！レッツゴー！   (2024/11/11 14:16:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 14:16:15)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/11 14:16:34)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/11 15:05:06)

星 ◆> 少し時間ができたし、休憩しようかな。（ついでに観戦）   (2024/11/11 15:05:57)

星 ◆> お昼から賑わうのはいいことだ……、（もう夕方差し掛かってるけど、）   (2024/11/11 15:06:45)

おしらせ> エロガキ♂14MR ◆uG.g2yTTU2さんが入室しました♪  (2024/11/11 15:08:37)

エロガキ♂14MR ◆> こんにちはー！おっ、星お姉さんやっほー！   (2024/11/11 15:08:55)

星 ◆> なんだ、あんたか……。（軽く手だけ上げた、）   (2024/11/11 15:09:30)

エロガキ♂14MR ◆> なんか冷たくない？傷付くなー...。えい！（星お姉さんに抱きついちゃお！）   (2024/11/11 15:10:55)

削除> 削除  (2024/11/11 15:12:04)

削除> 削除  (2024/11/11 15:12:07)

星 ◆> そんなつもりはないけど……、（抱き着きはひらりと回避、普段から戦場に身を置く開拓者を舐めるな！）   (2024/11/11 15:12:13)

星 ◆> こんにちは、……でっか！（ママかなセンサー、）   (2024/11/11 15:12:36)

削除> 削除  (2024/11/11 15:13:05)

