/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月12日 22時15分 ～ 2024年11月13日 10時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラウンさんが入室しました♪  (2024/11/12 22:15:29)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 22:15:39)

エロガキ♂19H> こんばんは   (2024/11/12 22:15:44)

クラリス ◆> そうこうしてるうちに大盛況！   (2024/11/12 22:16:09)

エロガキ♂14C ◆> なんか怒涛の勢いで人がきたあ！？こんばんはーっ。   (2024/11/12 22:16:18)

クラウン> 騎士が多いのなら王である私はどうでしょうか？...賑わいがないというのは勘違いのようですね。こんばんは   (2024/11/12 22:16:23)

クラリス ◆> 皆さんこんばんは〜！   (2024/11/12 22:16:24)

中野 一花> 思ったよりも早く解放された - 。前のお部屋はお邪魔そうなので こっちに っ 。こんばんは っ ♡   (2024/11/12 22:16:30)

エロガキ♂19H> こんばんは～   (2024/11/12 22:16:35)

エロガキ♂14C ◆> （ログ見たら15分に10秒おきに1人ずつ入っててマジですごいってなってる）   (2024/11/12 22:16:58)

中野 一花> と 、14Cくん っ 。お相手を求めて るならわたしと どうだい ？♡   (2024/11/12 22:17:10)

エロガキ♂19H> ショタ好きかー   (2024/11/12 22:17:42)

エロガキ♂14C ◆> そして早速のお誘いだぁ！？僕はオッケーだよー！他の人も来るかなあ？   (2024/11/12 22:18:18)

エロガキ♂14C ◆> （騎士だったり王だったり1エロガキでしかない僕には縁のないお話だった！）   (2024/11/12 22:18:59)

中野 一花> よし っ 、じ ゃ あ 勝負だ っ ♡ .. お 、どうだろ ?   (2024/11/12 22:19:36)

クラウン> せっかくなら行きましょうか...しかし貴女には彼女をつれ行くのがいいでしょうか？(チケットヒラヒラ)   (2024/11/12 22:20:10)

エロガキ♂14C ◆> まあ来たい人はきっと来るし、いくならさくっと行っちゃおー！それじゃあ行ってきまーす！   (2024/11/12 22:20:11)

エロガキ♂14C ◆> （クラウンおねーさんのチケットにビクッと震えつつ退散っ）   (2024/11/12 22:20:35)

エロガキ♂19H> 俺も行くだけいきます   (2024/11/12 22:20:43)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 22:20:43)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/12 22:20:50)

クラリス ◆> （なんのチケットだろ？）   (2024/11/12 22:20:53)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 22:20:57)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/12 22:21:09)

中野 一花> （ ん .. なんのチケット ? ）行ってきま - す っ !!   (2024/11/12 22:21:24)

おしらせ> 中野 一花さんが退室しました。  (2024/11/12 22:21:26)

クラウン> (高級募集チケットですは...ガチャを引くための券だと思いくださいませ)   (2024/11/12 22:21:27)

クラリス ◆> （なるほど！）   (2024/11/12 22:21:52)

クラウン> どうせならすこし様子を見てから行きましょうか。私はクラリスさんにも興味があるのですよ   (2024/11/12 22:22:28)

クラリス ◆> 光栄ですっ（うちのゲームがいわゆるギルド戦期間なので雑談居住率高めです〜）   (2024/11/12 22:23:46)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/12 22:24:21)

クラリス ◆> こんばんは〜   (2024/11/12 22:24:34)

エロガキ♂15M ◆> こんばんにゃ〜♪   (2024/11/12 22:24:37)

クラウン> なるほど...私のところでいうレイドでしょうか...いずれは貴女と共に戦える日を待っておりますは   (2024/11/12 22:24:57)

エロガキ♂15M ◆> やっぱりこの時間は盛り上がり始めるねぇ♡ボクも様子見つつ、隙があったら入室しよっと♪(それまで待機〜、なんていいながらソファに深々と座り)   (2024/11/12 22:26:38)

クラウン> 15Mさんもこんばんはですわ。私はギリギリまで様子を見ておりますは   (2024/11/12 22:26:43)

クラリス ◆> （いつしかバトルジャンキーの称号を拝命しておりますので、遠からず機会はあると思います！）≫共に戦う   (2024/11/12 22:27:54)

