/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 10時19分 ～ 2024年11月13日 22時03分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ソフィナ・ブリビア> 悪いことしそうだから＞１５   (2024/11/13 10:19:00)

エロガキ♀15kb> 二対二と言ってもアタシは、あくまでも女性同士大丈夫な方限定戦力ですからね。   (2024/11/13 10:21:31)

エロガキ♀15kb> 悪いことって～暴力に暴力で返したらダメなんですよ！   (2024/11/13 10:21:52)

花海佑芽> そのへんのノウハウを聞いた気がするんですが忘れちゃいました！＞女性同士大丈夫   (2024/11/13 10:23:09)

エロガキ♀15kb> 大丈夫なお相手ならアタシは遠慮なく！ダメということなら支援や観戦……もしくはカード遊びでもして時間を過ごすとかですかね   (2024/11/13 10:23:58)

花海佑芽> ダメというよりは「やってみないとわからない」のが一番近そう   (2024/11/13 10:25:17)

エロガキ♂19H> 15kbちゃんなら受け入れられそうですけどね   (2024/11/13 10:25:24)

エロガキ♀15kb> まぁ、ある意味で竿もないですし道具使うのはあまりしないので、純潔ぶち抜かれる心配はない程度の保証があるくらいですかね   (2024/11/13 10:27:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/13 10:29:04)

エロガキ♂19b ◆> おはよう～！！寝落ちして無事寝坊をかました19b君です！(キラッ)   (2024/11/13 10:29:39)

花海佑芽> ぶち抜かれてはいるんですけど、そのあたりをどこまで引き継ぎながらロールすればいいのか掴みかねてます   (2024/11/13 10:30:13)

花海佑芽> おはようございます！   (2024/11/13 10:30:28)

エロガキ♀15kb> どうも～こんにちは～   (2024/11/13 10:31:33)

エロガキ♀15kb> ん～……引継ぎとかはその方次第というところなので、とはいえ、常に純潔再生だとやりにくい人も多いでしょうからね   (2024/11/13 10:31:56)

エロガキ♂19H> 19bくんこんにちは   (2024/11/13 10:32:01)

花海佑芽> ぶち抜かれてないと思ってる人に実はもうとかわざわざ説明しなくても、その場その場で合わせればいい感じなんでしょうか【朝からこんな話でごめんなさい！】   (2024/11/13 10:35:43)

エロガキ♀15kb> この部屋ですし、そういう会話でいいと思いますよ？　アタシは、表でしたことは表でしたことである程度連続性を持たせつつ、個室のモノは個室限り～みたいな感覚では話をするようにしてますね。   (2024/11/13 10:37:10)

ソフィナ・ブリビア> おはようございます   (2024/11/13 10:37:52)

ソフィナ・ブリビア> 私はどちらでもかまいませんよ   (2024/11/13 10:38:01)

花海佑芽> 相手ごとにどこまでされたか覚えておいてパラレルさせるのがいちばん無難な気がしますけど、なかなか個別に管理するのが難しくて   (2024/11/13 10:40:39)

エロガキ♂19b ◆> 人数も多いからその辺は仕方ないのかも？   (2024/11/13 10:41:22)

エロガキ♂19H> 自分は基本はその場のノリで覚えている方にはその流れで、忘れられていればはじめての感じでしますね   (2024/11/13 10:41:45)

エロガキ♀15kb> なので何となく覚えてる範囲で～ってくらいですかね。表のことは皆さん確認できるのでいいとして、裏のことはまぁ、裏でそれなりの自己判断、みたいな？   (2024/11/13 10:42:19)

花海佑芽> あとは個別管理できるとしても、進捗の違うAさんBさんと一対二で罰することになって、うわーってなったりとかですね   (2024/11/13 10:47:48)

エロガキ♀15kb> なので、同じ方でも個室のことは個室の事、表のことは表の事……って感じですかね。   (2024/11/13 10:48:58)

エロガキ♂19H> 2人とかになったら全く別ものでいいと思ってますよ   (2024/11/13 10:49:12)

エロガキ♀15kb> 初めてを経験したは、もう表で一貫しておいて、個室で例えばですが、プレゼントをもらった～とか求婚された～とかは表に持ち出ししないみたいな？   (2024/11/13 10:49:58)

花海佑芽> なるほど〜   (2024/11/13 10:50:42)

エロガキ♀15kb> 個室の方は、表から見える分にはどんなことをしていたとしても、デートをして楽しく遊んできただけで、それ以上にも以下でもない扱いにする感じですね   (2024/11/13 10:51:28)

エロガキ♀15kb> 逆に、個室で恋人に成ったとか求愛された、隷属契約したみたいなの、表で持ち出されても別の人には何の関係もない話で、わけがわからないことの方が大半ですからね？   (2024/11/13 10:52:13)

