/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月15日 17時52分 ～ 2024年11月16日 04時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、お部屋は用意できたよ。   (2024/11/15 17:52:38)

エロガキ♂19b ◆> いっておいで～、、悪いようにはされないさー！！   (2024/11/15 17:52:40)

澪> いっしゅんみつからなくて、すでに入っております   (2024/11/15 17:53:38)

エロガキ♂11T> いってらっしゃ～い   (2024/11/15 17:53:52)

胡桃 ◆> これが済んだら次はキミだからね。   (2024/11/15 17:54:00)

人造人間21号> 何と言われると、お尻が可愛い有能部屋主さんの貴重な逢引きシーン？   (2024/11/15 17:54:28)

澪> あいびき3秒でした。もどりました   (2024/11/15 17:54:45)

エロガキ♂18D ◆> ……はい。   (2024/11/15 17:54:50)

エロガキ♂19b ◆> 誰かロックオンされてる！！ってはや！！   (2024/11/15 17:55:02)

胡桃 ◆> さて行くよー。   (2024/11/15 17:55:03)

澪> ……ふぅ（正座してまったりゆったり）   (2024/11/15 17:56:10)

胡桃 ◆> じ、じゃあ私は一度失礼するね…   (2024/11/15 17:56:17)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/15 17:56:20)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/11/15 17:56:25)

澪> あ、いってらっしゃいませ   (2024/11/15 17:56:26)

エロガキ♂19b ◆> 忙しそうな胡桃ちゃんであった...こんど澪ちゃんの糸でぐるぐる巻きにしてでも休ませた方がいいのかもしれないね～   (2024/11/15 17:57:20)

人造人間21号> ん～と、何か大事、でもないのですかね？   (2024/11/15 17:57:23)

澪> 何事もなかったので大丈夫ですよ？ふむ……スパイダーシルクなどを編んでみましょうか。   (2024/11/15 17:58:25)

エロガキ♂19b ◆> 胡桃ちゃんの簀巻き～....そのまま棒にくくりつけて..これ以上はやめておこう、、後が怖いや   (2024/11/15 17:59:33)

澪> シルクの下着は履き心地がいいと聞きますし……スパイダーシルクの下着などプレゼントするのもいいかもしれませんね……こんな感じでしょうか（オープンくろっち且つTバックな下着を手から出した糸で編んでみて）   (2024/11/15 18:00:51)

エロガキ♂19b ◆> 21号ちゃん！判定をどうぞ！！女性もの下着は俺にはわからん！！   (2024/11/15 18:01:26)

エロガキ♂11T> オープンクロッチでTバックはエッチだな～   (2024/11/15 18:05:13)

