/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月17日 21時34分 ～ 2024年11月18日 13時25分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/17 21:34:34)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/17 21:41:43)

胡桃 ◆> たーのもー！(声は大きく、扉には優しく、)   (2024/11/17 21:42:03)

胡桃 ◆> さて…どうしてくれたものかな〜？   (2024/11/17 21:44:04)

胡桃 ◆> ほいっと。   (2024/11/17 21:44:20)

胡桃 ◆> わかるよ…！支援に行った時ってやけに出目が低いの！   (2024/11/17 21:45:11)

胡桃 ◆> み、ミラクルなスカだった…   (2024/11/17 21:45:44)

胡桃 ◆> あ！！アナザーにカッコイイ人がいる！！   (2024/11/17 21:47:44)

胡桃 ◆> おやおや…暫く離席かな。もし戻れなかったらごめんね！   (2024/11/17 21:49:43)

胡桃 ◆> (ぶっぶー。ギリギリアウト！)   (2024/11/17 22:09:09)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/17 22:09:14)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/11/17 22:29:16)

エロガキ♂18Z> こんばんはっと、珍しく早寝をしてないぜ(ノソノソ)   (2024/11/17 22:29:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/17 22:30:41)

エロガキ♂18Z> スタレの話題をしてる。ピノコニーならアベンチュリンのバリアが大活躍する場所だぜ……。こんばんはっと   (2024/11/17 22:31:09)

エロガキ♂19b ◆> マイフレンドのバリアはどこでも大活躍するよ！！こんばんは   (2024/11/17 22:31:37)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/17 22:32:27)

エロガキ♂18Z> 何処でも活躍はするけど！ピノコニーにはあれがいるじゃない！！(わかる人にはわかるあれ)   (2024/11/17 22:32:29)

エロガキ♂18Z> こんばんはー   (2024/11/17 22:32:38)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/17 22:32:39)

胡桃 ◆> こんばんは！私は暗闇に潜む闇だとでも思って雑談してて〜♪   (2024/11/17 22:32:51)

エロガキ♂18Z> こんばんはーー   (2024/11/17 22:33:02)

エロガキ♂12Ω ◆> 最近勝ててない気がするこの頃。おっすおっすー。   (2024/11/17 22:33:02)

エロガキ♂19b ◆> 暗殺者胡桃ちゃんっと(メモメモ)二人ともこんばんは～   (2024/11/17 22:33:22)

エロガキ♂18Z> 堂主が潜んでいたら不意打ちで棺桶アタックをされそう   (2024/11/17 22:33:51)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/17 22:34:59)

エロガキ♂18Z> こんばんはーーー   (2024/11/17 22:35:12)

ヒシミラクル> こにゃ、、こんばんわ……(フラフラと膣内に入ってくるミラ子)   (2024/11/17 22:35:27)

エロガキ♂19b ◆> どこにはいってるんですかねぇ....   (2024/11/17 22:35:44)

胡桃 ◆> (ナカ違い、)こんばんは〜！   (2024/11/17 22:35:49)

ヒシミラクル> (間違えた…中です)   (2024/11/17 22:35:53)

エロガキ♂18Z> (腟内に…？胎内回帰かしら)   (2024/11/17 22:35:53)

エロガキ♂12Ω ◆> まさかなドギツいプレイを見た。おっすおっすー。   (2024/11/17 22:36:24)

ヒシミラクル> (辞書登録でよくある事故ですね!)   (2024/11/17 22:36:29)

エロガキ♂18Z> (あるある)   (2024/11/17 22:36:50)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/17 22:36:52)

エロガキ♂18Z> こんばんはーーーー   (2024/11/17 22:37:01)

エロガキ♂17C ◆> （面白すぎて誤落下してしまった…！）   (2024/11/17 22:37:09)

ヒシミラクル> とりあえずお水をください…(力なく椅子に座って…)   (2024/11/17 22:37:19)

ヒシミラクル> こんばんみゃ〜…   (2024/11/17 22:37:26)

胡桃 ◆> ほいっ(普通にお水、ミラクルさんにあげよう。)   (2024/11/17 22:37:42)

胡桃 ◆> 17C君こんばんは！   (2024/11/17 22:37:51)

エロガキ♂18Z> はい、水(1蜂蜜水、2唐辛子水)   (2024/11/17 22:37:56)

エロガキ♂19b ◆> 沢山吹いたもんねぇ...あっ！、撮り忘れてた！！不覚....   (2024/11/17 22:38:02)

ヒシミラクル> 1d2 → (2) = 2  (2024/11/17 22:38:12)

