/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月19日 16時06分 ～ 2024年11月21日 03時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> おはようエロガキ君。このテープは自動的に爆発する！   (2024/11/19 16:06:21)

エロガキ♂17C ◆> （テープ蹴飛ばし）   (2024/11/19 16:06:39)

エロガキ♂13Al> ああっ！　今どきはビンテージでむしろ人気があるのに！   (2024/11/19 16:07:15)

エロガキ♂17C ◆> 悪いね、生憎足癖がな。お悩みの様子だと思って足を運んで来てみたけど……お邪魔だったかい？   (2024/11/19 16:07:43)

エロガキ♂13Al> 人がいてくれた方がログが早く流れて助かる……（よわいいきもの）   (2024/11/19 16:08:37)

エロガキ♂17C ◆> ……まあ、うん。たまによくある事だろうし悪気のないことなら誰も責めないだろうさ。（溜息）   (2024/11/19 16:09:20)

エロガキ♂17C ◆> で、だ。何故サイコロの出目が18に対して、発言が8分まで、なのか。答えは単純だよ、サイコロを振った時刻は何分だったかな。   (2024/11/19 16:10:07)

エロガキ♂13Al> ため息するほど幸せが逃げていくんだぜ……（誰のせいだ）   (2024/11/19 16:10:42)

エロガキ♂13Al> あっ……！　ボクはバカだ……！　こんなことにも気付かないなんて……！　時間の長さじゃなくて時刻のことだったのか！   (2024/11/19 16:11:09)

エロガキ♂17C ◆> ご心配どうも。生憎時間の女神様には見放されてる悪運の尽きないやつなんで今更なんだよ。   (2024/11/19 16:12:01)

エロガキ♂17C ◆> ん、理解が追いついたようで何より。大体皆何分まで、って言うから時刻が繰り越す場合も省略することがあるってだけの話さ。   (2024/11/19 16:12:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/19 16:14:41)

エロガキ♂13Al> 悪運って運が悪いって意味じゃないよ……（こっそり）   (2024/11/19 16:14:50)

エロガキ♂19b ◆> まーけーたー！！！(壁バーン！！)   (2024/11/19 16:15:01)

エロガキ♂17C ◆> （蹴飛ばし）   (2024/11/19 16:15:15)

エロガキ♂13Al> なるほどなー。時かんんいげんみつに勧める必要があるのだなーと思った（感想）　お疲れ様ー。二対一じゃあね……   (2024/11/19 16:16:04)

エロガキ♂19b ◆> ゴフッ   (2024/11/19 16:16:06)

エロガキ♂17C ◆> 寝起きでまーだ頭回ってない部分もあるんだ、誤爆入室流したんだから勘弁してくれ。厳密、とまでは言わない、大凡の目安感はあるけどね。とらいえ、後からゲーム部屋に入った組が移動出来ずに差し支えることもあるかね。   (2024/11/19
16:17:50)

エロガキ♂17C ◆> にしても黒、茶、灰と気付いたら地味色だらけに。   (2024/11/19 16:19:44)

エロガキ♂13Al> やっぱり後から始まったのが入れずに渋滞することがあるんだなー   (2024/11/19 16:20:54)

エロガキ♂19b ◆> んま、それはしゃーない   (2024/11/19 16:21:22)

エロガキ♂13Al> モノクロのほうがかっこいいまであるし……（ローティーン特有のこじらせ）   (2024/11/19 16:21:23)

エロガキ♂17C ◆> 最近じゃあまり見かけない状況だけど、一時期はそういう事も少なからずはあったりもしたんだ。   (2024/11/19 16:21:48)

エロガキ♂17C ◆> にしてもログ見たらういママ来てたんだな。ビーム撃ったら落ちてくるんだろうか。   (2024/11/19 16:24:14)

エロガキ♂13Al> ふむー。流れが決まっている以上はある程度仕方ないか……   (2024/11/19 16:27:00)

エロガキ♂17C ◆> 親方、空から女の子が！って勢いで女性が降って来るんなら漏れなくゲーム未経験の13AIくんのゲーム童貞奪わせて身体で覚えてもらえるんだけどな。（横暴）   (2024/11/19 16:27:21)

エロガキ♂19b ◆> 今はそんなこともないからねぇ、、   (2024/11/19 16:30:09)

エロガキ♂13Al> でも見ていてある程度流れはわかったぜ！（ダメそうな発言）   (2024/11/19 16:30:23)

エロガキ♂17C ◆> ま、そもそもこの時間に稼働すること自体が珍しいっていうか。どうせオレも夕方から用事あるから適当な頃合に落ちる前提で来てるし。   (2024/11/19 16:30:46)

エロガキ♂19b ◆> あと30分もすればまた頭を下げにいかないと...というわけで俺は一足先に落ちるぜー！！夜になったらヒョコっと現れるからまたね～   (2024/11/19 16:32:56)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/19 16:33:10)

エロガキ♂17C ◆> ……ホント忙しないやつだな。お疲れ様。   (2024/11/19 16:33:39)

エロガキ♂13Al> あとは慣れるしかないかもしれない……どういう状況下よくわからないけどお疲れ様ー。   (2024/11/19 16:34:44)

エロガキ♂17C ◆> ゲームそのものは5d10振りまくって、デカい数字出した組が1ポイント、5ポイント先取した組の勝利、ってなんともざっくりとしたルールになるんだがね。   (2024/11/19 16:36:20)

エロガキ♂13Al> ふむむ……。とりあえず席を外すことになりそうだからこっちも出よう！　ありがとうね！   (2024/11/19 16:38:03)

エロガキ♂17C ◆> お疲れ様。まあどっかのタイミングで乱入して揉まれるのが1番早いと思うよ。   (2024/11/19 16:38:56)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/11/19 16:39:10)

エロガキ♂17C ◆> ……さて、また一気に静かになった。   (2024/11/19 16:39:31)

エロガキ♂17C ◆> 流石にオレ一人で誤爆のログ流せるほど、独り言のネタ持ち合わせてもいないんだけどな。やれやれ。   (2024/11/19 16:41:50)

エロガキ♂17C ◆> ま、余程ヤバいものを誤爆した訳でなし、必死に流す理由もないと言えばないんだけどさ。   (2024/11/19 16:43:45)

エロガキ♂17C ◆> 日が沈んできた途端寒くなってきたな。……そろそろ用事にいかないとだし落ちるか。お邪魔しました、と。   (2024/11/19 16:51:01)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/19 16:51:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/19 19:48:59)

エロガキ♂14C ◆> 僕のログが続いてる…！こんばんはー   (2024/11/19 19:49:27)

エロガキ♂14C ◆> 最近逆転勝ちする事が多いなあ。   (2024/11/19 19:49:48)

エロガキ♂14C ◆> うーん、今日はもう一戦しておねーさんに甘えたいなー（ごろごろ）   (2024/11/19 19:53:41)

エロガキ♂14C ◆> ってこうやってうだうだしてても仕方ないんだけどさー！   (2024/11/19 20:00:14)

エロガキ♂14C ◆> いいや、一旦でよーっと！   (2024/11/19 20:07:38)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/19 20:07:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/19 21:23:02)

エロガキ♂19b ◆> こんばんはー   (2024/11/19 21:23:22)

エロガキ♂19b ◆> んー....風呂が沸くまでのんびりといさせて貰おうかな...   (2024/11/19 21:28:38)

エロガキ♂19b ◆> おし...行きますかね..   (2024/11/19 21:39:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/19 21:40:00)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/11/19 22:26:56)

常闇トワ ◆> こんやっぴ〜   (2024/11/19 22:29:46)

常闇トワ ◆> いなさそうだし他の部屋行ってくるかな〜   (2024/11/19 22:37:02)

常闇トワ ◆> じゃあねぇ〜   (2024/11/19 22:37:16)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/11/19 22:37:20)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/19 23:41:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/19 23:42:25)

ヒシミラクル> おばんでぇ〜すぅ〜……って、あぇ？誰もおりゃんのですか？   (2024/11/19 23:42:30)

エロガキ♂19b ◆> 俺がおるぞ！！(お尻パーン！)   (2024/11/19 23:42:50)

ヒシミラクル> ぎゃぴぃ！？いつのまに背後に！？   (2024/11/19 23:43:03)

エロガキ♂19b ◆> ...んー、、朝から？   (2024/11/19 23:43:33)

ヒシミラクル> こわっ！背後霊か何かですか！？   (2024/11/19 23:43:49)

エロガキ♂19b ◆> ミラ子がトレーニングの合間にばれないようにスイーツ食べてたとことか、、着替えてるときとかずーーーっと、後ろにいたよ！！...なーんてね！そんなことできるわけないじゃないかー   (2024/11/19 23:44:44)

ヒシミラクル> …………。一部、わたしの行動を把握してる上で発言してるようにも聞こえるんですけどっ！   (2024/11/19 23:46:07)

ヒシミラクル> でも、スイーツはちょーっと食べましたけど、本格的に食べるのはこれからなんですよー   (2024/11/19 23:46:35)

エロガキ♂19b ◆> いまから？   (2024/11/19 23:46:48)

エロガキ♂19b ◆> こんな夜遅くに...スイーツを食べる？...そんなことしてるから、、脇腹の部分が少しぷにゅってなってるんじゃないの～？   (2024/11/19 23:47:57)

ヒシミラクル> そうです。では本邦初公開！見てください。この超巨大なくそでかどら焼き！時●さんの有名なでっかいどら焼きです！何とどら焼き20人前分の超ボリューム！(じゃーん！両手にでっかいどら焼きを持って！)   (2024/11/19 23:48:01)

ヒシミラクル> どうせ明日トレーナーさんに嫌というほどプールで扱かれるからいいんですよぉ！！   (2024/11/19 23:48:21)

エロガキ♂19b ◆> 朝と昼はプールで扱かれて...夜はベットの上でチンポにわからされるんですね！！   (2024/11/19 23:49:07)

エロガキ♂19b ◆> ってまて...20人前分はカロリーがやばくないか！？   (2024/11/19 23:49:37)

ヒシミラクル> トレーナーさんとわたしは至って健全な関係ですよ！プライベートで付き合ったとしてもお好み焼き屋さんに一緒に行くくらいですっ！   (2024/11/19 23:50:21)

ヒシミラクル> カロリーはまぁ和菓子ということでそれなりにー。おや？もしかして分けて欲しいですか？ぐふふぅ〜♡なんですかなんですかー？物欲しそうな顔をしおってー♡少しだけ分けてあげてもいいんですよ？   (2024/11/19 23:50:54)

エロガキ♂19b ◆> それじゃあ、1口貰っていい？(ニコニコ)   (2024/11/19 23:51:21)

