/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月23日 01時32分 ～ 2024年11月23日 10時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15R ◆> ぼくはあんまり罰部屋の方は見ないので……   (2024/11/23 01:32:35)

エロガキ♂14MR ◆> 紳士ぶるなよー！じゃあ今回は僕に付き合うと思って一緒に見よ？   (2024/11/23 01:33:07)

エロガキ♂15R ◆> 自分で勝ち取る派っ！   (2024/11/23 01:33:07)

エロガキ♂14MR ◆> と言うか随分前からここに来てるの眺めてて誰も指摘しないし本人も何も言わないからいいのかもしれないけどさー...あれAIじゃなくてALだよね？   (2024/11/23 01:35:14)

エロガキ♂14MR ◆> ちょうど言ってた...。   (2024/11/23 01:35:31)

エロガキ♂14MR ◆> どんなことするんだろ、楽しみー！   (2024/11/23 01:36:46)

エロガキ♂15R ◆> ほんとだっ…！言われるまで気が付かなかった…！   (2024/11/23 01:36:55)

エロガキ♂14MR ◆> あっは！まあエロガキの名前なんていちいちそこまで気ぃー遣う人いないか！   (2024/11/23 01:37:32)

エロガキ♂15R ◆> あんまり居ない…かも…？   (2024/11/23 01:39:06)

エロガキ♂14MR ◆> 悲しいなぁ...僕たちは女の子に覚えてもらえるくらいエロいことしよーね！15R！   (2024/11/23 01:39:48)

エロガキ♂14MR ◆> 見てるのかなー...。   (2024/11/23 01:40:14)

エロガキ♂14MR ◆> エロい胡桃お姉さん見てるはずなのにプリンと腹筋すっごいノイズなんだけど！ウケるー！   (2024/11/23 01:47:41)

エロガキ♂15R ◆> …はっ……！   (2024/11/23 01:48:14)

エロガキ♂14MR ◆> どしたの？寝てた？   (2024/11/23 01:48:33)

エロガキ♂15R ◆> (ウトウトしてたら通知音で目が覚めたっ！)   (2024/11/23 01:48:47)

エロガキ♂14MR ◆> おはよ！ほら一緒に見よ見よ！もしくは寝てきなさい！   (2024/11/23 01:49:24)

エロガキ♂15R ◆> …やめとくっ！目が覚めちゃったしもう少し起きとくっ！(鋼の意志)   (2024/11/23 01:51:56)

エロガキ♂14MR ◆> よし！じゃあほら、罰の参考になるかもしれないし目を見開いて見よー！   (2024/11/23 01:52:34)

エロガキ♂14MR ◆> 駄目やん、寝てるなこれ！（15Rを部屋の隅にころころ～ぽいっ）   (2024/11/23 02:01:01)

