/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月27日 11時40分 ～ 2024年11月29日 16時31分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 気合いと根性で勝つよ～！(負け続き)   (2024/11/27 11:40:35)

クラリス ◆> この時間だと支援のみでしか入れませんからね！≫デザート   (2024/11/27 11:41:07)

エロガキ♂19b ◆> そして待機にいってもたぶん誰もいないのが目に見えてわかる！！だって平日だもの！   (2024/11/27 11:41:58)

クラリス ◆> 最近はなかなか早起きできなくて朝活できないし、夜は逆にテンション高過ぎておかしくなりそうなんですよね（だから可能ならメスガキで入りたい）   (2024/11/27 11:43:24)

エロガキ♂19b ◆> 早起きは難しいもんねー、俺も寝落ちしてギリギリに起きて自転車爆走が日常になってるし....テンションは俺はいつも高いな...メスガキちゃん、、待ってます！！   (2024/11/27 11:45:26)

クラリス ◆> 早寝してください！ そのうち事故りますよ！！≫自転車爆走   (2024/11/27 11:46:26)

エロガキ♂19b ◆> 俺がここに来なくなったら...そのときは！！！(オバケの真似)   (2024/11/27 11:47:32)

クラリス ◆> それ絶対だめなやつ！！！   (2024/11/27 11:48:00)

エロガキ♂19b ◆> んま、最低限気を付けてるから問題ないよ～(慢心)クラリスちゃんは安心してヤらせてくれれは...！！   (2024/11/27 11:49:21)

クラリス ◆> （血も涙もないこと言います…轢かれて天に召されるのは自己責任ですが、轢く側になって人生詰んで生き地獄を過ごす場合もあるので…）   (2024/11/27 11:49:56)

エロガキ♂19b ◆> (ほんとに血も涙もねえや！！、、まぁまぁ...ルールは守ってるから大丈夫...だよな？お兄さん少し怖くなってきたぞ！？)   (2024/11/27 11:51:49)

クラリス ◆> （起きるときは起きるのが事故なので！ 歩行者の飛び出しもありますし、ほんと気をつけてくださいね！！）   (2024/11/27 11:52:54)

エロガキ♂19b ◆> (うっす！！)   (2024/11/27 11:53:31)

クラリス ◆> （なぜかお説教タイムになってしまいましたが）お昼休み終了なので、戻りますね〜   (2024/11/27 11:54:30)

エロガキ♂19b ◆> はーい！行ってらっしゃ～い！！   (2024/11/27 11:54:45)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/27 11:55:16)

エロガキ♂19b ◆> さてさて...俺もお昼の準備しよ～っと、、今日は何にしようかな～   (2024/11/27 11:56:33)

エロガキ♂19b ◆> よーし、、できたし食べてこよっと！   (2024/11/27 12:14:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/27 12:14:07)

おしらせ> 銀狼さんが入室しました♪  (2024/11/27 14:48:58)

銀狼> アカウント凍結...何時になっても解除されないんだけど！！もうっ.....   (2024/11/27 14:50:10)

銀狼> はぁ...もうこれ直接いって、やったほうが速そう...話す相手もいないしゲームしてようかな。今日はカフカもホタルも居ないし   (2024/11/27 14:57:34)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/27 15:19:27)

エロガキ♂14C ◆> ふらっと覗いてみたら銀狼おねーさんがいる。こんにちはー。でもかなり時間経ってるし、このホログラムも残像かなー？（すかすか）   (2024/11/27 15:20:03)

銀狼> こんにちは。誰かきたら自動的に通知が来るようにしてるから残像ではないよ。あ、でも残像を残しておくのも悪くはないかも...今度ホタルに試してみよう♪   (2024/11/27 15:22:15)

銀狼> あれ...動かなくなっちゃった....なら癖毛を増やしておいてあげるね。(エーテル編集で14C君の癖毛を増やして)これでよし...お礼入らないよ。それじゃあ私はばれる前に退散...バイバイっ   (2024/11/27 15:34:31)

おしらせ> 銀狼さんが退室しました。  (2024/11/27 15:34:34)

