/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月01日 11時59分 ～ 2024年12月04日 23時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ナリタトップロード> 地獄じゃないじゃないですか！   (2024/12/1 11:59:26)

ナリタトップロード> 1:うどん　2:そば　3:ラーメン　4:ザーメン　5：パスタ   (2024/12/1 12:00:13)

エロガキ♂13uc> 遊びに来たけど、なんか回線重いし、みんな雑談雰囲気、なのかな？   (2024/12/1 12:00:14)

ナリタトップロード> 1d5 → (1) = 1  (2024/12/1 12:00:17)

ナリタトップロード> ここはうどんですね！   (2024/12/1 12:00:28)

エロガキ♂19b ◆> 悪行の方ね！？...地獄の方はね～、、6時間ほど拘束されて間に休憩があって～...いろんな人からガミガミ言われるあれみたいな！   (2024/12/1 12:00:32)

エロガキ♂15R ◆> 1.うどん2.お蕎麦3.ラーメン4.うどん5.うどん6.うどん   (2024/12/1 12:00:44)

エロガキ♂19b ◆> 何気にザーメンあるの面白すぎるだろ...   (2024/12/1 12:00:55)

エロガキ♂15R ◆> 1d6 → (1) = 1  (2024/12/1 12:01:04)

エロガキ♂15R ◆> うどんっ！   (2024/12/1 12:01:12)

ナリタトップロード> 失礼しました、やらかし罪の方ですね！   (2024/12/1 12:01:16)

ナリタトップロード> うどんがかなりお好きなのは伝わりました…はい！   (2024/12/1 12:01:34)

エロガキ♂15R ◆> 女の子を入れるのを失念していましたっ…！   (2024/12/1 12:02:26)

ナリタトップロード> 花●るうどんでも行ってきますよー！   (2024/12/1 12:02:34)

エロガキ♂15R ◆> ぼくは◯亀うどんっ！   (2024/12/1 12:02:52)

ナリタトップロード> 女の子だと性欲は満たせても食欲は満たせませんが大丈夫でしょうかっ！？   (2024/12/1 12:03:19)

ナリタトップロード> ●亀さんも結構好きです♪   (2024/12/1 12:03:45)

エロガキ♂19b ◆> 女の子を食べてその後いっしょにご飯を食べればいいと思います！！   (2024/12/1 12:03:48)

エロガキ♂19b ◆> ちなみにお兄さんはうどんは麺から作る派！   (2024/12/1 12:04:36)

ナリタトップロード> ただのデートですね、大当たりですね！   (2024/12/1 12:04:51)

エロガキ♂13uc> そっちのお姉ちゃんは麺類が好きって話、なんかな？（麺類の話が続いてるけど？って）   (2024/12/1 12:05:06)

ナリタトップロード> うどんをふみふみふみぃ〜することから始めると！   (2024/12/1 12:05:15)

エロガキ♂15R ◆> それだっ…！女の子入れれば良かった…！   (2024/12/1 12:05:29)

ナリタトップロード> 麺類すごくすごい好きですよ〜！麺類がないと世界に絶望してタヒぬまであります   (2024/12/1 12:06:04)

エロガキ♂19b ◆> 俺のお昼ごはんは～...1.うどん　2.ラーメン　3　パスタ　4.女の子　5.蕎麦   (2024/12/1 12:06:54)

エロガキ♂19b ◆> 1d5 → (5) = 5  (2024/12/1 12:07:03)

