/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月10日 07時01分 ～ 2024年12月11日 13時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂17L ◆> 容量？＞17C   (2024/12/10 07:01:53)

胡桃 ◆> ラミィさんはゆっくり休んでていいからね？(にひひ、)   (2024/12/10 07:02:21)

エロガキ♂17C> ……やれやれ。なんだ、添い寝希望ですか。頑張って我慢してるんですかー。   (2024/12/10 07:02:45)

エロガキ♂17C> 容量もだけど単純にゲームやる気力がねー…<余裕   (2024/12/10 07:03:23)

エロガキ♂17L ◆> あ〜ね？   (2024/12/10 07:03:34)

エロガキ♂18Z> (違うって一蹴されたら可哀想になる展開だ)   (2024/12/10 07:03:49)

雪花ラミィ> 難しいもんだいだして、！！   (2024/12/10 07:03:55)

花海佑芽> （よくできてるなーって思います！＞クセつよかわいい学マス組）   (2024/12/10 07:04:01)

エロガキ♂17L ◆> そして寒すぎて歩くスピードが遅くなる……   (2024/12/10 07:04:09)

星 ◆> （私は佑芽ちゃんのお姉ちゃんが好き！全員好きだけど、）＞学マス   (2024/12/10 07:04:40)

エロガキ♂18Z> 問題)黒い犬と白い犬、おとなしくて全然吠えない犬はどっち？   (2024/12/10 07:04:43)

エロガキ♂17C> （それなぞなぞでは）   (2024/12/10 07:04:55)

星 ◆> （なぞなぞだ、）   (2024/12/10 07:05:02)

エロガキ♂17L ◆> 難しい問題か……フェルマーの最終定理とかいうくっそムズいの出すか？(鬼)   (2024/12/10 07:05:12)

エロガキ♂18Z> (問題には変わりないもん！)   (2024/12/10 07:05:20)

雪花ラミィ> 黙   (2024/12/10 07:05:52)

胡桃 ◆> (！？)   (2024/12/10 07:06:01)

エロガキ♂18Z> くっ。正解   (2024/12/10 07:06:04)

星 ◆> 正解するんだ……、   (2024/12/10 07:06:10)

雪花ラミィ> ふふん。EZ。   (2024/12/10 07:06:13)

エロガキ♂17C> じゃあとりあえずさっきの応用で1×（2+3）÷4ね。   (2024/12/10 07:06:22)

エロガキ♂18Z> 2・木に64個あるものなんだ？   (2024/12/10 07:06:46)

雪花ラミィ> 1.25！   (2024/12/10 07:07:23)

エロガキ♂17C> コイツ眠たいのかそうじゃねーのかわからねえな！？   (2024/12/10 07:07:44)

エロガキ♂18Z> おー   (2024/12/10 07:07:51)

雪花ラミィ> はち？はっぱ？ってコト？   (2024/12/10 07:08:01)

エロガキ♂18Z> もしかしたらググっている？(怪しむ←)   (2024/12/10 07:08:11)

雪花ラミィ> ラミィ、そこいらのなぞかけ趣味で全部知っとるからねｗ   (2024/12/10 07:08:30)

エロガキ♂18Z> 葉っぱだね、(8‪✕‬8＝64)   (2024/12/10 07:08:40)

雪花ラミィ> あ、眠気ないなった。あんがとさん。   (2024/12/10 07:08:43)

星 ◆> （お酒以外に趣味あるんだって顔、）   (2024/12/10 07:08:53)

エロガキ♂18Z> なん、だと……？   (2024/12/10 07:08:54)

エロガキ♂18Z> じゃあこれは？   (2024/12/10 07:09:10)

エロガキ♂17C> 脳トレやってた訳じゃないんだが…（溜息）   (2024/12/10 07:09:18)

花海佑芽> （お姉ちゃんも、もっとプロデュースしたいけど、ついついデッキ使い回せるロジックに傾いちゃいます！　というわけで準メインはことねちゃんです＞星さん）   (2024/12/10 07:09:34)

星 ◆> 14C（17C）って成長するとやれやれ系だよね、   (2024/12/10 07:09:53)

エロガキ♂17L ◆> (て、手が……悴んでまともに文字が打てない(´；ω；｀))   (2024/12/10 07:10:26)

雪花ラミィ> 理系のラミィに、数学で問題を出そうとするのが間違いなのさ……（キメ顔）   (2024/12/10 07:10:28)

星 ◆> （すごいわかる……好印象型は安定感強くてついメモリー周回の時とか選んじゃうし……。）＞佑芽ちゃん   (2024/12/10 07:10:31)

エロガキ♂18Z> いつもアルコールを飲んでいるぺぇがでかい人のフルネームは？(問題とは   (2024/12/10 07:10:38)

エロガキ♂17C> どうにも、ね。ある意味で自分に近しいからってのはあるんだけどさ。<やれやれ系   (2024/12/10 07:10:55)

エロガキ♂18Z> (温めよう)   (2024/12/10 07:10:59)

エロガキ♂17C> （歩いてる時くらい携帯見ないの）   (2024/12/10 07:11:08)

エロガキ♂17L ◆> (それ言われたらぐうの音も出ないわ)   (2024/12/10 07:11:25)

雪花ラミィ> んー、不知火フレア（かたくなエルフ）   (2024/12/10 07:11:40)

エロガキ♂18Z> 不正解   (2024/12/10 07:11:52)

雪花ラミィ> せいかいだろ！！！！！   (2024/12/10 07:12:14)

エロガキ♂18Z> かたくなすぎるぜ……   (2024/12/10 07:12:15)

エロガキ♂18Z> フレアがアルコールを常に飲むのは想像出来ないw   (2024/12/10 07:12:46)

星 ◆> ……さて、私はこの人数にびっくりして来ただけだから一旦出るね。朝のこと色々しなくちゃ。   (2024/12/10 07:12:54)

エロガキ♂17C> （なんかキメ顔にイラッとした）   (2024/12/10 07:13:02)

星 ◆> お疲れ様、眠い子は寝るんだよ。   (2024/12/10 07:13:04)

エロガキ♂18Z> 行ってらっしゃいー   (2024/12/10 07:13:05)

エロガキ♂17C> お疲れ様ー。   (2024/12/10 07:13:07)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/12/10 07:13:11)

エロガキ♂17L ◆> A:雪花ラミィ＞18Z   (2024/12/10 07:13:16)

エロガキ♂18Z> 正解！   (2024/12/10 07:13:22)

エロガキ♂17L ◆> お疲れ様＞星   (2024/12/10 07:13:53)

雪花ラミィ> 星しゃまおつらみぃ〜〜！！   (2024/12/10 07:13:57)

雪花ラミィ> 微積分を持ってきて出直してきな（）   (2024/12/10 07:14:06)

エロガキ♂18Z> 正解したからプレゼントはラミィさんの秘蔵のお酒をプレゼント   (2024/12/10 07:14:14)

胡桃 ◆> 星はお疲れさま、またねー。   (2024/12/10 07:14:20)

エロガキ♂17L ◆> 酒は要らんわ……   (2024/12/10 07:14:55)

エロガキ♂17C> ここぞとばかりにリケジョアピールしてやがる…。けど、佑芽さんが頭オーバーヒートしそうだから勘弁しておこう。   (2024/12/10 07:15:10)

雪花ラミィ> きみは　げきりんに　ふれた   (2024/12/10 07:15:14)

花海佑芽> 星さんおつかれさまです！   (2024/12/10 07:15:18)

エロガキ♂18Z> まさか、連れ出されてバトルを挑まれる…！？(ポケモンバトルみたいに)   (2024/12/10 07:15:50)

エロガキ♂18Z> プレゼントのお酒は親御さんにプレゼントをして親孝行をしたらお小遣いも貰えてハッピーになれるぜ   (2024/12/10 07:17:03)

胡桃 ◆> (ふわぁ、)   (2024/12/10 07:17:17)

エロガキ♂17C> （布団ずずず）   (2024/12/10 07:17:26)

エロガキ♂18Z> 堂主眠たそう   (2024/12/10 07:17:28)

花海佑芽> （ゲーム内でも中学生レベルの勉強やり直してる描写ありますね！　さすがに四則計算は出来るはず＞17Cさん）   (2024/12/10 07:17:35)

エロガキ♂17L ◆> 胡桃？眠いなら無理しないうちに寝な？   (2024/12/10 07:17:37)

エロガキ♂17C> （絶対座学<<<体育な子だから…あと、そこのキメ顔エルフが言ってるような微積分持ち出したら絶対大変なことになるから…>佑芽さん）   (2024/12/10 07:18:48)

エロガキ♂17L ◆> (帰宅!!)   (2024/12/10 07:19:16)

雪花ラミィ> 堂主はしっかり寝るんですよー。いつも頑張ってるんですからね、暖かくしてくださいん。   (2024/12/10 07:19:49)

エロガキ♂18Z> (おつおつ)   (2024/12/10 07:20:05)

花海佑芽> （ポケポケは基本ほのおデッキ使いですが、ときどき無性にゴルーグのダブルラリアット撃ちたくなります、0か200のロマン砲！）   (2024/12/10 07:20:21)

エロガキ♂18Z> そして爆睡をしましょ   (2024/12/10 07:20:27)

胡桃 ◆> (最近は本当に何もしてないよ、)   (2024/12/10 07:20:31)

エロガキ♂17C> （学力自慢なメスガキを学力でわからせるとかいう謎の展開が脳裏を過った。）   (2024/12/10 07:20:47)

エロガキ♂18Z> (おや、良いねー。ゴルーグ決まれば気持ち良いから撃ちたくなる気持ちは分かる)   (2024/12/10 07:21:08)

エロガキ♂17L ◆> (ポケポケか〜、メインで使ってるの水だわ……)   (2024/12/10 07:21:40)

花海佑芽> （間違いなく、ぷしゅーって頭から煙ふいちゃいますね！＜微分積分＞17Cさん）   (2024/12/10 07:22:35)

