/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月11日 13時23分 ～ 2024年12月13日 00時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> せめてご飯を食べた方がいいかも。いや、ご飯を食べて眠くなって横になったらよくないか…？（むむむ）んんん！あまり構うことで起き続ける理由を与えるのもいつか寝落ちする前振りをし続けることになりそうだから俺はゆこう…戦いの荒野へ！あとはまかせた！
  (2024/12/11 13:23:53)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/11 13:23:58)

おしらせ> エロガキ♂11さんが入室しました♪  (2024/12/11 13:25:08)

エロガキ♂17C> いってらっしゃい。ま、直球に誘ってダメならダメ、OKならOKで潔く判断に委ねるのが一番だと思うんだがね。   (2024/12/11 13:25:17)

おしらせ> エロガキ♂11さんが退室しました。  (2024/12/11 13:25:20)

おしらせ> エロガキ♂11bさんが入室しました♪  (2024/12/11 13:25:30)

エロガキ♂17C> （溜息）   (2024/12/11 13:25:35)

エロガキ♂11b> ...なんだか、内なる自分に呼び起こされた気がするよっ！...初めまして！赤の貴公子であり、永遠を生きる男！11bだよっ！！   (2024/12/11 13:27:20)

雪花ラミィ> ラミィの身体が終わってるタイミングが多くてすまんの〜…おつらみぇ…。……うーん、この…（）   (2024/12/11 13:27:22)

エロガキ♂17C> 託児されても面倒は見ねーぞ、と布石だけは打っておくか……。   (2024/12/11 13:27:33)

エロガキ♂17C> それこそ最初から寝落ち前提の添い寝として引き受けてやれば良いだろうに。下手にサービス精神効かして半端な所で終わるよりは余程マシだとは思うぞ、オレは。   (2024/12/11 13:29:01)

雪花ラミィ> ラミィ、超高校級の寝落ちキャラだけど、あんまし人の前で眠れねえんだよネ〜…いや、どの口がって思うかもやけど、ラミィ基本収録終わってドっ疲れでここ来てるから…。（）   (2024/12/11 13:31:25)

エロガキ♂17C> そいつはまた難儀なもんで。収録疲れ引っ張ったままで来てればそうなるのも無理はないとは思うけどさ。……寝る前提で誰かが傍にいるのは落ち着かない、けど誰かと話していたいってところかね。   (2024/12/11 13:34:03)

エロガキ♂17C> そしてポンコツくんの生まれ変わりは滑りまくって泣いてるとみた。（しれっ）   (2024/12/11 13:34:46)

雪花ラミィ> 正解！！！！！！！   (2024/12/11 13:35:14)

雪花ラミィ> 【悲報】永遠を生きる貴公子、ドスベリ   (2024/12/11 13:35:36)

エロガキ♂11b> いいもん！！(グスッ)   (2024/12/11 13:35:54)

エロガキ♂17C> メンタリストやってるんじゃねえぞこちとら。だったら寝落ちしても恨みっこなしで遊ぶ、ってのも相手次第でアリなんじゃあないかね。（ぽんぽん）   (2024/12/11 13:36:49)

エロガキ♂17C> 刺しに行くなあ……。   (2024/12/11 13:37:07)

雪花ラミィ> のが良いのかね〜…ラミィがめんどくさいから、身体が大丈夫かなあ。（）   (2024/12/11 13:37:39)

雪花ラミィ> はいはい、よちよち。ラミィお姉さん言いすぎたね。よちよち。   (2024/12/11 13:37:56)

エロガキ♂17C> 流石リスナーから面倒くさい女判定されるだけあるな。オレはそれでも構わないけど、寝落ちたら相応に仕込みはするかな。（くつくつ）   (2024/12/11 13:39:13)

エロガキ♂11b> 子供扱いするなぁ！！(ウガァァァ！)僕だって...やるときは...やるんだから！(顔真っ赤)   (2024/12/11 13:39:34)

エロガキ♂17C> よかったな、ガキになったからラミィお姉さんが優しくしてくれて。滑ってるけど。   (2024/12/11 13:39:39)

エロガキ♂17C> ……履こうと思っていたズボンが見当たらない（PON）   (2024/12/11 13:40:19)

雪花ラミィ> 誰がめんどくさい女だ…？はいはい、そうですよ！！ラミィはせいぜいめんどくさくて都合のいい女ですよ！！そうだよね！！ラミィは酒だけ飲んで酔ってれば良いんだよね！！   (2024/12/11 13:40:41)

雪花ラミィ> 滑る辛さは分かるからラミィは優しくするよ。滑るのしんどいよね。滑るの。   (2024/12/11 13:41:03)

雪花ラミィ> パンイチマジか。   (2024/12/11 13:41:23)

エロガキ♂11b> だーかーらー！！子供扱いしないでくれる！！そういう君だって子供...(17cを見上げて)子供？....   (2024/12/11 13:42:24)

