/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月15日 16時15分 ～ 2024年12月18日 02時45分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> それでは！   (2024/12/15 16:15:15)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/15 16:15:16)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/15 17:12:49)

エロガキ♂19b ◆> よいしょっと、、こんばんは、かな？....だーれもいなさげ？(キョロキョロ)   (2024/12/15 17:13:59)

エロガキ♂19b ◆> いなさげ、だねぇ...どうせなら待機してみるか！！...いこーう！！   (2024/12/15 17:28:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/15 17:28:23)

おしらせ> エロガキ♂16ukさんが入室しました♪  (2024/12/15 19:12:27)

エロガキ♂16uk> こんばんはー。負けたがりの♀を軽く一捻りできて、連戦って訳にもいかないからね。少しお邪魔するよ   (2024/12/15 19:14:47)

エロガキ♂16uk> また20時くらいに勝負部屋覗いてみよっか。それまで誰か雑談しない？なんてね   (2024/12/15 19:17:50)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16ukさんが自動退室しました。  (2024/12/15 19:43:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/15 20:15:25)

エロガキ♂19b ◆> こんばんは～！！...誰かおるか～！！おらんか(n回目)   (2024/12/15 20:15:50)

エロガキ♂19b ◆> だーれもいないね！！( ;´･ω･`)、、皆ご飯食べてたり～？   (2024/12/15 20:26:27)

エロガキ♂19b ◆> またもや用事が生えてくる～...俺に安息はないのか？というわけで、、一旦撤退！！話せる人もいないしね！   (2024/12/15 20:34:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/15 20:34:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/15 20:56:45)

エロガキ♂14C ◆> こんばんはーっ。むぅ、夕方に負けたのがすごくすごく悔しい…！（びたんびたん）   (2024/12/15 20:57:26)

エロガキ♂14C ◆> ……すごくどうでもいいんだけど、ログに残ってる19bにーさんの誰かおるかー？に加えて、昼間に来てたらしいねねちとの組み合わせのせいで、ポルカおるかー？って聞こえてくる……コンボ攻撃……（幻聴）   (2024/12/15
21:00:50)

エロガキ♂14C ◆> 今度こそ勝って甘えたいんだけど、流石に多分この時間はおねーさんもあまりいなさそーなんだよねー。むむむ。   (2024/12/15 21:07:06)

