/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年01月04日 10時57分 ～ 2025年01月15日 21時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> よし！！いこうー！！何だかんだお昼の用意もしないと！！   (1/4 10:57:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/4 10:57:32)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/4 17:03:24)

エロガキ♂19b ◆> よっと...こんにちはー！誰もいなさげだね～。   (1/4 17:03:52)

エロガキ♂19b ◆> はっ！！寝かかってた...まったく、、何か最近は危ないってのに...   (1/4 17:20:14)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (1/4 17:50:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/5 00:51:59)

エロガキ♂19b ◆> ...まさか夕方に寝落ちするとは完全に予想外すぎて頭が痛いぜ...こんばんは～   (1/5 00:52:25)

エロガキ♂19b ◆> ま、おかげさまで今は完全覚醒っと...眠れない夜になってしまったわけだ！！畜生～！   (1/5 00:53:52)

エロガキ♂19b ◆> 最近はほんと1人でごろごろしてる時間が長い～...その分身体はやすめれてるからいいんだけど冬休みの終わりが刻一刻と近づいてきてるんだよね...嫌だなぁー！！   (1/5 01:02:19)

エロガキ♂19b ◆> っと...突然用事が生えてきた、、こんな時間に...やんなきゃ、、というわけで去らば！！お休みなさい～！(寝ないけどね！)   (1/5 01:05:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/5 01:05:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/5 11:23:03)

エロガキ♂19b ◆> こんにちはー？それともおはよう～？またまた微妙～なじかんにきてしまったー！！みた感じ昨日はほぼ俺しかいなかったと...今日も今日とて暇だからね、、そう！日曜日！！サンデーは休みなのだ！！   (1/5 11:24:56)

エロガキ♂19b ◆> 適当にお昼の準備でも～、、今日何にしよう？...うーん、、くっそなやむ   (1/5 11:37:32)

エロガキ♂19b ◆> よしっ...お昼食べてこよっと！！さーらば！！   (1/5 11:52:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/5 11:52:12)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/5 19:55:06)

エロガキ♂14C ◆> こんばんはー、明日からは平日だね。やっぱりそーなると人はいない、のかな。21時くらいにはゲーム部屋行きたいんだけどなー。   (1/5 19:55:40)

エロガキ♂14C ◆> 正直、部屋には時々顔は出してだものの本当に落ち着かない年末年始でかなりぐったり気味な件。   (1/5 19:56:32)

エロガキ♂14C ◆> とはいえ、皆明日に備えてあまり遊ばなかったりもするかも、か。うーん。   (1/5 19:59:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/5 20:00:49)

エロガキ♂19b ◆> やあやあ～、冬休みの終わりが近づいてきて元気が3%ぐらいなくなってる19bだぞー、こんばんは   (1/5 20:01:35)

エロガキ♂14C ◆> 冬休みとか僕には正直あまり関係ないけどね。こんばんは。   (1/5 20:02:20)

エロガキ♂19b ◆> ま、休みが終わってもお兄さんのやることは変わらないんだけどね。そろそろ寝る時間を調整しないと遅刻祭りになるから...っていいながら深夜も起きて鳴潮してるんだけど～、、   (1/5 20:04:02)

エロガキ♂14C ◆> その生活リズムは見直した方がいいと思うんだけどなあ……。あまり他人には干渉するつもりはないけど、絶対後悔すると思うんだ、僕。   (1/5 20:06:04)

エロガキ♂19b ◆> ゲームが楽しくてね～...頑張って治してるんだけど...ま、後悔はしないようにするさ！！ところで最近なにか収穫はあったかい？お兄さんタイミングが悪くてぜんぜん勝負できなくてね～   (1/5 20:08:47)

エロガキ♂14C ◆> ゲームかあ…ぶっちゃけゲームする余裕がなかったなあ、年末年始。収穫って言われると…うーん、まあ2戦1勝1敗かな？勝ち分は甘えて、負け分はお部屋の説明させられて終わり。   (1/5 20:10:20)

エロガキ♂19b ◆> 珍しいの混ざってんね！？2戦か～、、やっぱり年明けだしやることもあるからあんまりって感じかな？昨日なんてほぼ俺がぶつぶつ言ってただけですしー、、もう毎日来てるの俺ぐらいじゃね？   (1/5 20:11:54)

エロガキ♂14C ◆> そもそもが最近は年末年始抜きにしてもマッチングすらしないことの方が多いし、仕方ないなーと思ってるよ。19bにーさんはある意味皆勤賞だよね、ホント。   (1/5 20:13:19)

