/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]


https://pcmax.jp/?ad_id=rm176481
2025年01月25日 03時05分 ～ 2025年02月02日 06時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12d> 起きちゃったから覗いてみたんだー   (1/25 03:05:08)

十六夜咲夜 ◆> (画面まじまじと)   (1/25 03:05:26)

十六夜咲夜 ◆> …はっ、こんばんは。   (1/25 03:05:37)

エロガキ♂12d> しょーしゃなメイドさんこんばんはー   (1/25 03:06:04)

エロガキ♂12d> アイドルさんは寝てそう…？   (1/25 03:06:41)

エロガキ♂19b ◆> そんなマジマジみなくてもいいのに～、そんなによかった？(ケラケラ)   (1/25 03:06:50)

十六夜咲夜 ◆> ええ、お嬢様と妹様はいかなる時も…(お惚気？)   (1/25 03:09:29)

エロガキ♂19b ◆> いつかレミリアちゃんやフランちゃんともしてみたいものだけどね～...   (1/25 03:11:34)

十六夜咲夜 ◆> …手は出させませんわよ？   (1/25 03:12:31)

エロガキ♂19b ◆> そろそろ毛布の準備を～...   (1/25 03:12:42)

エロガキ♂19b ◆> 咲夜ちゃんがその分相手を？(エロマンガみたい？)   (1/25 03:12:58)

十六夜咲夜 ◆> (私の相手でお嬢様が来ればそれはよしですわね…)   (1/25 03:13:26)

十六夜咲夜 ◆> …エロ同人？な展開だと本当にそうなりそうなのよね…(2人まとめて、なパターンもありえますが)   (1/25 03:14:53)

雪花ラミィ> 寝ちゃってた…、   (1/25 03:14:58)

エロガキ♂19b ◆> やっぱ寝てるじゃないか！！   (1/25 03:15:07)

エロガキ♂19b ◆> 正直咲夜ちゃんはその展開がすごくにあうきがする   (1/25 03:17:06)

十六夜咲夜 ◆> おはようー？   (1/25 03:17:36)

十六夜咲夜 ◆> …まあ、立場的にそうなりがちなのよね…   (1/25 03:17:58)

十六夜咲夜 ◆> 逆にdくんは寝ちゃったかしらね？   (1/25 03:18:17)

エロガキ♂19b ◆> まさかの寝ちゃったかぁ...ね、、メイドさんってそういう立場多いよね～それにすごくいい身体だし   (1/25 03:19:22)

十六夜咲夜 ◆> まあ、褒めても何も出ないわよ？   (1/25 03:21:23)

エロガキ♂19b ◆> んー？事実をいったまでよ～...その大きなおっぱいやお尻、整った顔つきとか...魅力的だしね   (1/25 03:22:33)

十六夜咲夜 ◆> ちょっ…言い方…っ   (1/25 03:24:41)

エロガキ♂19b ◆> おっと、、恥ずかしいのかな？なら...こうの方がいいかなー？整った顔つきに、いつ見てもシワ1つないメイド服、それをカンペキに着こなしてる可憐な姿、何てね～   (1/25 03:26:20)

エロガキ♂19b ◆> そしてどうやらこの毛布は12d君に使うことになりそうだねぇ...ま、こーんな遅い時間だから仕方ないか！   (1/25 03:28:50)

十六夜咲夜 ◆> ストレートに言われるとね…まったくもう…   (1/25 03:28:50)

十六夜咲夜 ◆> …酒乱のアイドルさんは起きてるのか寝てるのか分からないわね…   (1/25 03:29:17)

エロガキ♂19b ◆> だってそんな着こなしてる人なんてなかなかいないよ～、スカートめくりしたいぐらい...咲夜ちゃんの隙をついてね   (1/25 03:29:54)

エロガキ♂19b ◆> たぶん寝てると思う...もう3時半だしさすがに起こすのはやめてあげよう～   (1/25 03:30:26)

おしらせ> 無言時間が25分を超えたため、エロガキ♂12dさんが自動退室しました。  (1/25 03:31:43)
