/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年03月11日 06時46分 ～ 2025年03月15日 03時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 少しだけ待ってみよかな   (3/11 06:46:21)

おしらせ> 常闇トワ ◆VucylpWxwwさんが退室しました。  (3/11 06:54:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/11 07:31:00)

エロガキ♂19b ◆> おっはようー！！...朝早くに起きれると少しいい気分かも？...ん？もう遅いって？まっさかー！！   (3/11 07:31:37)

エロガキ♂19b ◆> 朝に来るのは何だかんだ久しぶりかも？...普段起きるのが遅いわけでは....ないはずだけど！   (3/11 07:42:30)

エロガキ♂19b ◆> さて、やっぱり朝は誰もいなさげっぽいねー   (3/11 07:55:16)

エロガキ♂19b ◆> 試しにいってみるかぁ！！うぉぉぉ！！   (3/11 08:08:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/11 08:08:03)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/11 18:34:36)

エロガキ♂13Al> わいわい！（賑わいの表現）　夜になってきた……。   (3/11 18:34:55)

エロガキ♂13Al> 遊んでもらえることが多くてうれしいということを表明しておこうかと……空振りもあるけど、まあチャットはそういうものなので！   (3/11 18:50:19)

エロガキ♂13Al> またねー！   (3/11 19:35:21)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/11 19:35:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/11 23:49:53)

エロガキ♂19b ◆> こんばんはー！！！...誰かおるか～？(バンッ！)   (3/11 23:50:13)

エロガキ♂19b ◆> ふ～む、いない！...ならばゴロゴロしてよっと！！(グデー)   (3/12 00:03:33)

エロガキ♂19b ◆> というか勝率が悪い！！...現状3連敗...次こそは勝ちたいんだけど～....   (3/12 00:15:01)

エロガキ♂19b ◆> というかあれなきがする！...なんというか、週の後半の方が人が集まる？...そりゃそうか   (3/12 00:35:58)

エロガキ♂19b ◆> さーてそろそろ行こうかな？...様子を見てもう1回ぐらいは遊びにいくかもしれないけどね！   (3/12 00:48:42)

エロガキ♂19b ◆> うしっ！！行きますか～！   (3/12 01:04:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/12 01:04:49)

おしらせ> 雪花ラミィさんが入室しました♪  (3/12 21:40:47)

雪花ラミィ> や゛ーー…よーやくラミィの周りにも暖かさが見え始めた（まだ寒いけど）こんらみぃ〜。今母国に帰ったら確実に凍り散らかす自信がある、肌が順応しちまったゆきはなです。   (3/12 21:41:53)

雪花ラミィ> 粉雪舞う季節すれ違い散らかしてんですけど外ぉ！？暖房で全く気付かんかった…！   (3/12 21:44:35)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/12 21:46:58)

エロガキ♂13Al> はー寒い寒い。あっあんなところに挟まれたら温かそうな太ももが！　おじゃましまーす（スライディング）   (3/12 21:47:38)

雪花ラミィ> じゃかしいわ！！（日本酒ガード）はい、おつらみー。ラミィもサイコロ振り行こうかおもたけど、時には奮闘を見守ったっていい。   (3/12 21:49:42)

エロガキ♂13Al> ぐわー！　酒蔵の思いがこもった成果物に何かあったら申し訳が立たない！（ぎゅいんとコース変更して壁にぶち当たる）安全なところから他人がひりついているところを見るのがいちばんの安心という説もある……急ぐと罰部屋がパンパンになるかもしれないし。（逆の壁から入ってくる）
  (3/12 21:51:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/12 21:52:04)

雪花ラミィ> そんなに誠実なら太もも狙ってスライディングしてんじゃないよばかたれが。罰部屋のスパンがあんなに短いのもラミィ久しぶりに見るかもー。盛り上がりを見せとんのやね。   (3/12 21:52:48)

エロガキ♂19b ◆> こんばんは！！...お二人さん～...脳が焼かれかけてる僕です！   (3/12 21:53:02)

エロガキ♂13Al> こんばんはー。かわいそうに、脳をやられてしまったんだ……   (3/12 21:54:06)

エロガキ♂13Al> 万が一挟まれる可能性を諦めたらもう二度と挟まれなくなるかもしれないと思うとやるしかなかったよね（？）　人が増えてわいわいやっている……のかも？   (3/12 21:54:46)

雪花ラミィ> こんらみいー。脳破壊ってヤツ、ラミィはもう取り返しのつかないところまで（闇深）よりによってなんで太ももやねんもうちょいあった……いや、無いです。   (3/12 21:56:28)

エロガキ♂19b ◆> 西風...西風...うぅ....(パタリ)   (3/12 21:57:24)

エロガキ♂13Al> 他のところに挟まれるのはちゃんとゲームに勝ってからって約束だから……（してない）   (3/12 21:58:32)

雪花ラミィ> おいたわしや……。太ももだったらフリーで挟まれると思ってんじゃないよ！高級品だよどこもかしこも！！   (3/12 21:59:54)

エロガキ♂13Al> タダで挟まれることはできないということか……肩甲骨にも……！？   (3/12 22:01:41)

エロガキ♂19b ◆> 太もももいいけど、やっぱ生脚の方が好き...勝ったときに脚コキとかして貰おうかな....恥ずかしそうにしてくれるのが一番美味しくて好きなんだけど...   (3/12 22:02:03)

雪花ラミィ> 待って待って、肩甲骨挟みとかいうニッチなもんやらせるん…？いや、挟まらんやろアレ……！華奢ながら肉付きもいいエルフなんだかんね（自負）ほなT◯Revolution呼んでくるか……！！   (3/12 22:04:30)

エロガキ♂13Al> 背中も愛でていきたい、20回ぐらい連勝したらそういう”世界”にも到達するかもしれない（そんなに勝ってないけど）　生足魅惑のマーメイドってマーメイドだったら生足ないんじゃない？（ファンタジー脳）   (3/12 22:05:53)

エロガキ♂19b ◆> 生足魅惑のマーメイド？...全身にガムテープまいてないそれ？   (3/12 22:06:24)

雪花ラミィ> どんだけ弱いんだよラミィ。流石に五回は勝ちたい（低い願望エルフ）あー確かに……マーメイドに生足がない場合は、どうしてもという場合はアニキにやってもらうしか……。   (3/12 22:07:33)

