/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月15日 22時11分 ～ 2025年07月19日 14時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> 優しくしてねって言っておけば優しくしてくれる子も多いよ！   (7/15 22:11:53)

音乃瀬奏> きついお仕置きって具体的には…電波に乗せられる範囲で教えてください先輩！（ごくっ）   (7/15 22:12:44)

尾丸ポルカ> そんな知りたがりな僕には良いことを教えてあげよう。目の前には何がある？そう、パソコンだ。古のネット住民たちはこう言ったらしいぞ。「ググレカス」と。エロガキならセーフティーサーチの解除の仕方も知ってるんじゃないかねー。   (7/15
22:13:34)

尾丸ポルカ> え〝。それ聞いちゃうの？うーん……ア、アレだよアレ。目の前に美味しそうなお菓子があるのに我慢させられるとか。   (7/15 22:14:48)

尾丸ポルカ> ポルカたちが入る前はエロライブなんて言われた事もあったんだってなあ……コンプラ意識でエロライブないなった。   (7/15 22:15:44)

エロガキ♂13Al> エロガキは本当は答えが知りたいんじゃないの、微妙に困ったときの顔が見たいだけなの。（うるうるポーズ）   (7/15 22:16:17)

音乃瀬奏> それは確かにキツ過ぎます、奏ちゃん食らったら絶望で泣いちゃいます！（真に受けた）   (7/15 22:16:44)

尾丸ポルカ> そっかそっか、可愛いねぇ。……いやいやいや、ならんわ。   (7/15 22:17:47)

音乃瀬奏> そういうことかー、さてはこの子エロガキというよりクソガキだー！？（指さして叫ぶ）   (7/15 22:17:51)

尾丸ポルカ> （クソガキがエロガキをクソガキ呼ばわり……？）   (7/15 22:18:20)

エロガキ♂17L ◆> (吹いたわww)   (7/15 22:18:43)

エロガキ♂13Al> 本当のお仕置きが知りたければ勝負をするのが一番。のぼっておいでよ、エロガキのステージまで（？）   (7/15 22:18:49)

音乃瀬奏> つまり勝負しろってことかな（ごくっ。）   (7/15 22:19:59)

ヤン・ナリ> なんだか、かっこよく言ってるけど、かっこよくないだよ、すごい、（じ、）   (7/15 22:20:21)

尾丸ポルカ> ま、生憎ポルカは人に誘われて初めて来てみただけなんよね。そんな訳で勝負はお預けなんだわ。   (7/15 22:20:21)

エロガキ♂13Al> 勝負する部屋のおまけの雑談する部屋だからね！　無理なときには勧めないけど、遊べる人とは遊びたいと思っているよ！   (7/15 22:21:28)

エロガキ♂13Al> こんなところに誘う人いるんだ……なんかその事実がエロいな……（ごくり）   (7/15 22:21:52)

エロガキ♂17L ◆> 今日は行くとしても支援にしか回らないからな〜俺は(手ヒラヒラ)   (7/15 22:22:31)

尾丸ポルカ> まあ雑談、ってだけならちょうど良いんじゃないかなあって。他にも部屋あるかもだけど。   (7/15 22:23:34)

音乃瀬奏> うぅ、先輩が無理なら、まおうさまは～？（一人で戦う度胸はないらしい）   (7/15 22:25:23)

ヤン・ナリ> わ、わがはい､⁉︎（えぅ、）   (7/15 22:26:07)

尾丸ポルカ> ……奏、もしかしてヤる気なの！？恐ろしい子…！   (7/15 22:26:09)

エロガキ♂13Al> まあここならエロガキはエロいことは言うけど強引に迫ることはないから……たぶん……。   (7/15 22:26:32)

エロガキ♂13Al> ナリちゃんはかんたんなことばのほうがいい？　おしゃべりするほうがたのしい人もいるから、ここにいてもOKだよ。   (7/15 22:27:39)

音乃瀬奏> ここにいてもいいなら、奏ちゃんも留守番するです（しがみつく）   (7/15 22:29:30)

ヤン・ナリ> ぉわ、お気遣い、？感謝だよ､! ぅーん、わがはいはここにいるかなぁ、   (7/15 22:30:05)

エロガキ♂13Al> もちろんいいよ！　やれって言われたらいかなきゃいけないことじゃないから……   (7/15 22:30:17)

おしらせ> 雪花ラミィさんが入室しました♪  (7/15 22:30:30)

尾丸ポルカ> はいはい、奏ちゃんいい子いい子。……流石に魔王様にこれやったら不敬罪かなあ。   (7/15 22:30:33)

ヤン・ナリ> ふけいざい、じゃないと思うですよ､!   (7/15 22:31:15)

尾丸ポルカ> こ〝ん〝ら〝み〝ぃ〝ぃ〝ぃ〝い〝い〝い〝！！！（終身栄誉雪民）   (7/15 22:31:17)

エロガキ♂17L ◆> oh......chaos……   (7/15 22:32:11)

音乃瀬奏> ラミィ先輩だ、こんのせー！（はしゃぐキッズ）   (7/15 22:32:46)

エロガキ♂17L ◆> んじゃ俺はこの辺で……サラダバー   (7/15 22:32:52)

ヤン・ナリ> こんばんわだよ、！ホロさんがいっぱいだよぉ、（目ぐるぐる、）   (7/15 22:32:55)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (7/15 22:32:55)

おしらせ> ラプラス・ダークネスさんが入室しました♪  (7/15 22:33:02)

エロガキ♂13Al> このかもされた糀のにおいは……タキシード仮面様！   (7/15 22:33:02)

尾丸ポルカ> そっか。だったら奏ちゃんと一緒にポルカのところにおいでおいで。（手招き）素直な子ならポルカもある程度は受け入れるんだけどさあ。   (7/15 22:33:04)

ラプラス・ダークネス> マジか…。吾輩以外にもこんなところに誰かを突き落とすやつが居るとは…！さては悪魔だな！！   (7/15 22:33:28)

尾丸ポルカ> ガキが減ってガキが増えた！？   (7/15 22:33:43)

ラプラス・ダークネス> エルフマジで許さん、リノセウス削除されろ(私怨)   (7/15 22:33:44)

ヤン・ナリ> いきます､!（ぎゅー、？）   (7/15 22:33:46)

雪花ラミィ> ほうほう、ほうほうほう。これはね、何処から突っ込んだ方が良いかね。ラミィは久しぶりに顔を出そうと思ったのに、知ってるメンツから知らねえメンツまでよ……じゃあ、皆んなで酒を呑もうぜ！！こ゛ん゛ら゛み゛ーーー！   (7/15 22:34:02)

エロガキ♂13Al> お疲れ様、そしてこんばんは。これはさすがにガキか……   (7/15 22:34:31)

