/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月31日 21時07分 ～ 2025年08月09日 23時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

夜見れな> 拡散しないよ ~ ? あたしだけが見るの ~ ‼︎ （ふす、）   (7/31 21:07:44)

エロガキ♂17L ◆> いや〜、背後取ったらいい反応してくれそうだったからついね〜(クスクス)   (7/31 21:07:52)

尾丸ポルカ> ……詳しくは語らないけど、要は #ポルカ寝るか って訳だ。   (7/31 21:08:10)

尾丸ポルカ> 見てどーすんのさ、そんな癒されるもんでもないと思うんだけど？（プレートを首から外して指でぶらぶら）   (7/31 21:09:12)

夜見れな> 絶対ポルちゃんの方がいい反応するからやるなら次はポルちゃんね ~ ?（指差し､）   (7/31 21:09:20)

エロガキ♂14S> なるほど、つまり寝ちゃいけないタイミングで盛大に魂抜けしちゃったわけか。コーヒーゼリーでも食べる？（保冷バッグから出てくるカップ入りコーヒーゼリー×３）   (7/31 21:09:21)

エロガキ♂17L ◆> そうかな？まぁ、今度やってみるよ〜(頷いて)   (7/31 21:10:19)

夜見れな> 癒される癒される! もうすっごい面白くてかわいいよ､‼︎ （ふす、）   (7/31 21:10:27)

夜見れな> やってみて ~ ! （うんうん、）コーヒーゼリー? もらえるなら食べる ~ !   (7/31 21:11:14)

尾丸ポルカ> ポルカの背後に立ったら漏れなく尻尾で全力スイングするから覚悟するように。……気持ちは嬉しいけど、ちょっと今お腹いっぱいでさ……。   (7/31 21:11:27)

尾丸ポルカ> ……一枚だけだぞ。拡散したられなを着せ替え人形にしてやるからな。   (7/31 21:12:34)

エロガキ♂14S> じゃあれな姉ちゃんどうぞ～。使ってる珈琲豆はコナとキリマンのブレンドだって父ちゃんが言ってた。（上に生クリームが乗っているカップと小さなスプーンを渡して）   (7/31 21:12:59)

夜見れな> やった ~ ‼︎ やっぱりポルカちゃん最高だよね ~ 。（にこにこでスマホ取り出し､1枚だけ写真撮って､）後でポルカちゃんにも送っとくね ~ !   (7/31 21:13:51)

エロガキ♂17L ◆> 尻尾フルスイングされてもモフモフしてて痛くなさそうなんだよな〜(一時期何故か使われてたカウンターに向かうと3人分の冷たいお茶を入れ始める)   (7/31 21:14:26)

尾丸ポルカ> ……何がそんなに嬉しいのか、ポルカには分からないよ。（スマホ向けられては一応表情作ってポーズもとって）いらないから！何処にも出さずにそのスマホにだけ残しといて！？   (7/31 21:15:22)

夜見れな> 美味しそう､‼︎ ありがと ~ ! （受け取れば､ 椅子に腰掛け一口､）あ、美味し!   (7/31 21:15:28)

尾丸ポルカ> ふむ。ならばマリン直伝の回し蹴りの方がいいか。   (7/31 21:16:24)

エロガキ♂17L ◆> 紅茶飲む人〜(アイスティーをお盆に載せ運んできて)   (7/31 21:16:39)

夜見れな> めちゃくちゃ嬉しいよ ~ ? かわいい ~ 、（スマホ見つめて、）じゃあ夜見だけのポルカちゃんってこと ~ ⁇ （んふ、）   (7/31 21:16:40)

エロガキ♂14S> 今日は夜更かししたいし飲もうかな。兄ちゃんもコーヒーゼリーどう？料理人一家仕込みの自作だよ？   (7/31 21:17:47)

夜見れな> 飲む ~ ! （ぴし、と手あげ、）   (7/31 21:17:56)

エロガキ♂17L ◆> んじゃ貰おうかな〜(夜見と14Sに1つづつ紅茶を渡して)   (7/31 21:18:40)

尾丸ポルカ> ん、紅茶なら貰おうかな。……れなだけのポルカ、って響き、なんかすごく怪しいと思うんだ？   (7/31 21:19:35)

夜見れな> コーヒーゼリーと紅茶とか、優雅に過ごしちゃってる‥ （えへ、）え？怪し ~い? なんでかな~ ? （つんつん、）   (7/31 21:20:03)

エロガキ♂14S> 怪しいっていうより妖しい・・・？   (7/31 21:20:12)

