/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年09月21日 21時50分 ～ 2025年09月23日 22時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雪泉 ◆qtse8iJjbUさんが入室しました♪  (9/21 21:50:13)

雪泉 ◆> こんばんは。雑談を軽くしようかと思いますが・・・誰もいませんね   (9/21 21:51:16)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが入室しました♪  (9/21 22:02:29)

エロガキ♂12KI ◆> おいっすー！   (9/21 22:03:05)

エロガキ♂12KI ◆> 久し振りに駄弁りに来たらもう落ちちまってんのかねー   (9/21 22:06:41)

雪泉 ◆> 【ただいま戻りました】   (9/21 22:11:59)

雪泉 ◆> こんばんは。はじめましてでしょうか？   (9/21 22:12:12)

エロガキ♂12KI ◆> 【おかえりー】   (9/21 22:12:22)

エロガキ♂12KI ◆> はじめましてかねー？姉ちゃんが他の奴にお尻触られたりセクハラ受けてる所見たことがあるような無いような？   (9/21 22:12:55)

雪泉 ◆> 覗きはよろしくないですよ？もっとも、それはここではなく罰部屋での話でしょうが   (9/21 22:15:32)

エロガキ♂12KI ◆> さぁ、どうだったかね？ゲーム始まる前の時間だったかも知れんけど。姉ちゃんの作品そういう毛色が多いし気持ちも分からんでもない   (9/21 22:16:27)

雪泉 ◆> 確かに私は頻繁に脱げたりしますが・・・私は真面目に忍務にあたってるつもりなんですよ？   (9/21 22:21:38)

エロガキ♂12KI ◆> 真面目にあんな格好してるなら天然物の痴女じゃん…。私服がビキニとかそんなレベルでしょいつも。   (9/21 22:25:44)

雪泉 ◆> あれは先生方(メタだとプレイヤー)の趣味ですので・・・私の本気はコレ(白の和服)ですよ？   (9/21 22:29:04)

エロガキ♂12KI ◆> でもコラボとかしてる時大抵水着だよね…。ゲームとか商品とかグッズだけに限らず露出多くないと駄目な風潮出しまくってない？   (9/21 22:30:33)

雪泉 ◆> グッズはグッズです。まぁ、おかげで人気ランキングトップ常連なんでしょうけども・・・   (9/21 22:32:42)

エロガキ♂12KI ◆> 文字通り眼福だもんなぁ。姉ちゃんもここじゃ相手に困んないだろ？   (9/21 22:35:46)

おしらせ> グレイさんが入室しました♪  (9/21 22:37:14)

エロガキ♂12KI ◆> おぉ、両手に花だなー。グレイ姉ちゃんおっすおっすー   (9/21 22:37:50)

グレイ> こんばんはですっ   (9/21 22:37:58)

雪泉 ◆> あらこんばんは。   (9/21 22:39:46)

雪泉 ◆> あ、グレイさん。仲良しのS君からもう言われたとは思いますが・・・ランキング2位、おめでとうございます♡   (9/21 22:40:42)

エロガキ♂12KI ◆> ランキング？   (9/21 22:42:29)

グレイ> ありがとうございます。いつ言われても嬉しいですし、水着が待ち遠しいです……♪   (9/21 22:42:57)

雪泉 ◆> ええ、グレイさんの出身のボンバーガール。先月後半をまるっと使って、人気投票を行っていたんです。上位三人は新しい水着を作ってくれる、というお触れで。   (9/21 22:43:52)

グレイ> （要点を説明してくれてありがとう、といった雰囲気でうんうんと頷いている）   (9/21 22:44:50)

エロガキ♂12KI ◆> おぉー、そらおめでたい！   (9/21 22:44:50)

エロガキ♂12KI ◆> つまりグレイ姉ちゃんもあられもない格好で素肌を晒すんだな！(最低な言い回し)   (9/21 22:45:24)

グレイ> そ、そんな投票じゃありませんからね？少なくとも……えっちな所は確実に出しませんから（恥ずかしそうに目を逸らしつつ）   (9/21 22:46:47)

雪泉 ◆> その2位がグレイさんで、1位は確か同級生のウルシさんでしたか。3位はセピアさんですよね、凄いお胸の。   (9/21 22:47:41)

エロガキ♂12KI ◆> でも調べてみたら一回グレイ姉ちゃんも水着着てるみたいだなー？   (9/21 22:47:43)

おしらせ> エロガキ♂14Sさんが入室しました♪  (9/21 22:48:31)

グレイ> 普通の水着ですよ、普通の。隠す必要がある所がギリギリ隠れてる、なんて代物ではないですから。   (9/21 22:48:44)

エロガキ♂14S> 俺参上！というわけでこんばんは～。   (9/21 22:48:50)

グレイ> こんばんは♪   (9/21 22:48:59)

エロガキ♂12KI ◆> ちぇ、そういうのは雪泉姉ちゃんを見習えよな～   (9/21 22:49:34)

エロガキ♂12KI ◆> おっすおっすー   (9/21 22:49:38)

雪泉 ◆> あらこんばんは。   (9/21 22:49:46)

エロガキ♂12KI ◆> 雪泉姉ちゃん何かむっちむちのぼいんぼいんなのにとんでもない奴着てる事多いんだから   (9/21 22:50:04)

雪泉 ◆> あれは不本意なんです！中には水着といっていいか微妙なものもありますけど！   (9/21 22:51:31)

エロガキ♂14S> まぁ、雪泉姉ちゃんはメンバーの中でもぶっちぎりの人気を誇るからね～・・・途中参戦なのにカルト的人気ってそうとうでしょ   (9/21 22:52:53)

エロガキ♂14S> で、グレイちゃん。今日はこんなの作ってみたよ。（と、香ばしい匂いのする焼き菓子が入った袋を出して）   (9/21 22:53:30)

エロガキ♂12KI ◆> 不本意と言いつつ結構笑顔でポーズ決めてるグラドルも裸足で逃げ出す絶世の美女が何か言ってらぁ   (9/21 22:54:09)

グレイ> もうっ……白っぽい髪といえど、一緒にしないでくださると助かります……（めっちゃ恥ずかしそうな様子）   (9/21 22:54:54)

エロガキ♂12KI ◆> わー、今の雪泉姉ちゃんに遠回しだけど盛大な痴女認定してる奴だわ   (9/21 22:56:06)

雪泉 ◆> なんだか、グレイさんとは仲良くなれそうな気がします。【私もボンガユーザーですので】   (9/21 22:56:32)

エロガキ♂12KI ◆> でもぶっちゃけボンバーガールも大差無いよね、あれはあれで性癖が煮凝ってるイメージ   (9/21 22:57:03)

グレイ> どれどれ……？（と袋を受け取って開ければ、予想していた通り香ばしい匂いが。説明を聞くまでもなく、焼き菓子一つを口に運び）＞１４S   (9/21 22:58:10)

